t,x,y
1621,1.07,4.873
1622,1.4,4.874
1623,1.72,4.884
1624,2.05,4.891
1625,2.4,4.898
1626,2.74,4.897
1627,3.07,4.889
1628,3.39,4.876
1629,3.73,4.892
1630,4.08,4.897
1631,4.43,4.897
1632,4.79,4.898
1633,5.13,4.899
1634,5.47,4.905
1635,5.82,4.907
1636,6.16,4.904
1637,6.52,4.902
1638,6.87,4.909
1639,7.22,4.909
1640,7.58,4.909
1641,7.94,4.908
1642,8.3,4.907
1643,8.65,4.91
1644,9.01,4.911
1645,9.36,4.91
1646,9.72,4.91
1647,10.09,4.91
1648,10.45,4.913
1649,10.81,4.914
1650,11.18,4.913
1651,11.55,4.912
1652,11.91,4.92
1653,12.28,4.915
1654,12.65,4.913
1655,13.03,4.918
1656,13.4,4.923
1657,13.78,4.918
1658,14.16,4.922
1659,14.53,4.931
1660,14.91,4.938
1661,15.3,4.941
1662,15.67,4.946
1663,16.05,4.945
1664,16.44,4.952
1665,16.83,4.962
1666,17.21,4.977
1667,17.6,4.979
1668,17.99,4.984
1669,18.38,4.984
1670,18.77,4.991
1671,19.17,5.003
1672,19.56,5.012
1673,19.97,5.017
1674,20.37,5.022
1675,20.76,5.036
1676,21.16,5.048
1677,21.57,5.049
1678,21.96,5.053
1679,22.37,5.062
1680,22.78,5.075
1681,23.18,5.084
1682,23.59,5.089
1683,23.99,5.093
1684,24.4,5.11
1685,24.4,5.115
1686,24.8,5.121
1687,25.21,5.125
1688,25.62,5.131
1689,26.03,5.145
1690,26.44,5.153
1691,26.85,5.157
1692,27.25,5.162
1693,27.66,5.167
1694,28.07,5.177
1695,28.48,5.191
1696,28.9,5.192
1697,29.32,5.197
1698,29.72,5.2
1699,30.14,5.204
1700,30.55,5.21
1701,30.96,5.225
1702,31.38,5.227
1703,31.8,5.232
1704,32.21,5.235
1705,32.62,5.246
1706,33.04,5.256
1707,33.47,5.261
1708,33.89,5.266
1709,34.3,5.293
1710,34.72,5.294
1711,35.15,5.298
1712,35.57,5.3
1713,36.0,5.299
1714,36.43,5.31
1715,36.85,5.32
1716,37.28,5.323
1717,37.7,5.328
1718,38.13,5.33
1719,38.57,5.331
1720,39.01,5.332
1721,39.44,5.339
1722,39.88,5.336
1723,40.33,5.336
1724,40.77,5.339
1725,41.21,5.335
1726,41.66,5.333
1727,42.1,5.343
1728,42.54,5.338
1729,42.99,5.335
1730,43.43,5.335
1731,43.88,5.335
1732,44.33,5.333
1733,44.78,5.335
1734,45.22,5.333
1735,45.68,5.333
1736,46.13,5.332
1737,46.58,5.331
1738,47.02,5.333
1739,47.47,5.331
1740,47.92,5.331
1741,48.37,5.331
1742,48.81,5.33
1743,49.27,5.33
1744,49.71,5.33
1745,50.16,5.329
1746,50.62,5.329
1747,51.08,5.33
1748,51.52,5.329
1749,51.97,5.331
1750,52.43,5.33
1751,52.88,5.33
1752,53.34,5.329
1753,53.8,5.327
1754,54.26,5.328
1755,54.72,5.328
1756,55.18,5.325
1757,55.63,5.327
1758,56.09,5.327
1759,56.54,5.327
1760,57.0,5.326
1761,57.46,5.327
1762,57.92,5.328
1763,58.38,5.329
1764,58.84,5.329
1765,59.3,5.324
1766,59.76,5.327
1767,60.22,5.337
1768,60.67,5.343
1769,61.15,5.363
1770,61.61,5.365
1771,62.07,5.338
1772,62.55,5.325
1773,63.01,5.328
1774,63.48,5.327
1775,63.95,5.327
1776,64.42,5.328
1777,64.89,5.33
