t,x,y,v,a
285,1.19,1.925,,
286,1.34,1.929,4.279,
287,1.48,1.934,4.33,3.718
288,1.62,1.954,4.189,2.6210000000000004
289,1.76,1.962,4.2139999999999995,3.0
290,1.9,1.963,4.244,3.262
291,2.04,1.975,4.271,1.412
292,2.19,1.988,4.269,2.8369999999999997
293,2.32,1.992,4.186,1.8130000000000002
294,2.47,1.997,4.256,1.1909999999999998
295,2.61,2.003,4.246,0.7509999999999999
296,2.75,2.009,4.295,2.588
297,2.89,2.016,4.336,0.917
298,3.04,2.03,4.246,2.181
299,3.18,2.033,4.184,3.785
300,3.32,2.041,4.2330000000000005,0.9359999999999999
301,3.46,2.038,4.252,2.129
302,3.6,2.047,4.258,1.27
303,3.74,2.041,4.32,2.238
304,3.89,2.049,4.342,3.9
305,4.03,2.059,4.263999999999999,1.665
306,4.17,2.067,4.243,0.882
307,4.31,2.071,4.249,2.827
308,4.45,2.08,4.272,2.108
309,4.6,2.096,4.207,1.93
310,4.73,2.103,4.232,1.285
311,4.88,2.109,4.343,2.384
312,5.02,2.129,4.256,2.372
313,5.16,2.138,4.1819999999999995,3.145
314,5.3,2.145,4.165,1.5519999999999998
315,5.44,2.155,4.2669999999999995,1.31
316,5.58,2.164,4.295,1.473
317,5.72,2.173,4.231,1.131
318,5.87,2.177,4.2410000000000005,3.5869999999999997
319,6.01,2.187,4.308,1.661
320,6.15,2.206,4.355,1.41
321,6.3,2.21,4.272,2.398
322,6.44,2.222,4.263999999999999,1.77
323,6.58,2.228,4.296,0.843
324,6.72,2.242,4.235,1.462
325,6.86,2.248,4.19,0.943
326,7.0,2.258,4.287,2.187
327,7.15,2.27,4.346,1.8880000000000001
328,7.29,2.279,4.247,2.395
329,7.43,2.284,4.185,1.406
330,7.57,2.295,4.258,1.5290000000000001
331,7.71,2.306,4.3,2.036
332,7.85,2.314,4.216,1.808
333,7.99,2.319,4.203,3.091
334,8.13,2.326,4.2989999999999995,1.4269999999999998
335,8.28,2.321,4.2860000000000005,2.86
336,8.42,2.328,4.317,4.279
337,8.57,2.34,4.252,1.5919999999999999
338,8.7,2.348,4.216,2.853
339,8.85,2.351,4.253,1.161
340,8.99,2.356,4.1739999999999995,1.931
341,9.12,2.367,4.217,2.506
342,9.27,2.359,4.237,2.267
343,9.41,2.365,4.295,4.176
344,9.55,2.376,4.364,0.97
345,9.7,2.381,4.265,2.259
346,9.84,2.386,4.207,0.7340000000000001
347,9.98,2.392,4.244,3.05
348,10.12,2.397,4.309,0.585
349,10.27,2.394,4.3069999999999995,1.0979999999999999
350,10.41,2.402,4.273,2.372
351,10.55,2.406,4.33,1.109
352,10.69,2.414,4.232,1.371
353,10.83,2.418,4.189,2.149
354,10.97,2.423,4.235,1.44
355,11.11,2.423,4.25,0.32
356,11.26,2.427,4.242,0.764
357,11.4,2.43,4.258,2.259
358,11.54,2.428,4.378,0.503
359,11.69,2.43,4.306,2.394
360,11.83,2.431,4.178999999999999,1.663
361,11.97,2.429,4.348,1.311
362,12.12,2.426,4.28,2.372
363,12.25,2.432,4.093,4.103
364,12.39,2.428,4.45,6.768
365,12.55,2.444,4.592,0.852
366,12.7,2.455,4.387,5.983
367,12.84,2.456,4.313,1.7169999999999999
368,12.98,2.46,4.269,3.339
369,13.13,2.467,4.34,2.544
370,13.27,2.479,4.378,1.923
371,13.42,2.49,4.268,1.22
372,13.56,2.491,4.295,1.4909999999999999
373,13.7,2.504,4.314,4.4510000000000005
374,13.84,2.503,4.486000000000001,2.5180000000000002
375,14.0,2.52,4.578,0.38799999999999996
376,14.15,2.528,4.413,4.123
377,14.3,2.533,4.385,1.528
378,14.44,2.542,4.394,2.414
379,14.59,2.554,4.293,2.6519999999999997
380,14.73,2.562,4.195,2.417
381,14.87,2.566,4.3180000000000005,2.02
382,15.01,2.57,4.329,2.36
383,15.16,2.574,4.316,3.21
384,15.3,2.588,4.452,3.391
385,15.45,2.598,4.552,3.967
386,15.6,2.602,4.426,3.216
387,15.75,2.604,4.321000000000001,4.484
388,15.89,2.608,4.404,3.13
389,16.04,2.628,4.379,1.943
390,16.18,2.634,4.27,2.722
391,16.32,2.64,4.274,1.345
392,16.47,2.65,4.3069999999999995,1.5819999999999999
393,16.61,2.66,4.203,0.8079999999999999
394,16.75,2.671,4.263999999999999,2.1319999999999997
