t,x,y
1602,0.42,3.997
1603,0.8,4.001
1604,1.16,4.016
1605,1.54,4.03
1606,1.91,4.026
1607,2.32,4.029
1608,2.69,4.035
1609,3.08,4.05
1610,3.46,4.063
1611,3.85,4.07
1612,4.24,4.082
1613,4.63,4.101
1614,5.02,4.109
1615,5.42,4.112
1616,5.82,4.132
1617,6.22,4.137
1618,6.63,4.148
1619,7.03,4.164
1620,7.44,4.178
1621,7.85,4.194
1622,8.27,4.206
1623,8.68,4.213
1624,9.1,4.237
1625,9.51,4.243
1626,9.93,4.264
1627,10.36,4.275
1628,10.78,4.285
1629,11.21,4.308
1630,11.63,4.316
1631,12.06,4.324
1632,12.49,4.344
1633,12.93,4.349
1634,13.36,4.37
1635,13.8,4.384
1636,14.25,4.392
1637,14.68,4.403
1638,15.12,4.42
1639,15.56,4.431
1640,16.02,4.45
1641,16.47,4.46
1642,16.92,4.466
1643,17.38,4.487
1644,17.83,4.499
1645,18.29,4.514
1646,18.75,4.528
1647,19.21,4.535
1648,19.67,4.556
1649,20.14,4.567
1650,20.61,4.589
1651,21.09,4.596
1652,21.56,4.621
1653,22.03,4.632
1654,22.51,4.64
1655,22.99,4.659
1656,23.46,4.67
1657,23.95,4.696
1658,24.42,4.703
1659,24.9,4.728
1660,25.38,4.735
1661,25.86,4.753
1662,26.36,4.771
1663,26.83,4.779
1664,27.32,4.8
1665,27.81,4.811
1666,28.3,4.835
1667,28.78,4.845
1668,29.27,4.869
1669,29.76,4.879
1670,30.25,4.898
1671,30.74,4.917
1672,31.23,4.925
1673,31.74,4.938
1674,32.24,4.952
1675,32.74,4.975
1676,33.23,4.985
1677,33.73,4.998
1678,34.24,5.011
1679,34.74,5.029
1680,35.25,5.048
1681,35.75,5.056
1682,36.28,5.077
1683,36.79,5.089
1684,37.3,5.097
1685,37.3,5.095
1686,37.83,5.121
1687,38.34,5.132
1688,38.86,5.149
1689,39.39,5.164
1690,39.92,5.171
1691,40.46,5.185
1692,40.99,5.2
1693,41.52,5.208
1694,42.05,5.229
1695,42.6,5.239
1696,43.14,5.261
1697,43.68,5.27
1698,44.23,5.293
1699,44.77,5.303
1700,45.31,5.324
1701,45.87,5.34
1702,46.41,5.349
1703,46.96,5.37
1704,47.51,5.382
1705,48.05,5.404
1706,48.61,5.412
1707,49.16,5.43
1708,49.71,5.446
1709,50.26,5.477
1710,50.82,5.482
1711,51.37,5.497
1712,51.93,5.51
1713,52.49,5.521
1714,53.05,5.543
1715,53.61,5.557
1716,54.16,5.57
1717,54.73,5.593
1718,55.29,5.61
1719,55.86,5.621
1720,56.43,5.64
1721,56.99,5.657
1722,57.56,5.663
1723,58.15,5.685
1724,58.72,5.699
1725,59.3,5.707
1726,59.87,5.725
1727,60.46,5.752
1728,61.03,5.765
1729,61.61,5.767
1730,62.2,5.79
1731,62.77,5.803
1732,63.36,5.81
1733,63.95,5.835
1734,64.54,5.839
1735,65.13,5.852
