t,x,y,v,a
1724,0.76,1.882,,
1725,0.97,1.886,6.44,
1726,1.19,1.886,6.436,3.056
1727,1.4,1.891,6.359,2.806
1728,1.61,1.903,6.345,2.119
1729,1.82,1.909,6.442,2.327
1730,2.04,1.911,6.465,1.4569999999999999
1731,2.25,1.918,6.484,4.155
1732,2.47,1.924,6.721,3.9130000000000003
1733,2.7,1.918,6.693,0.909
1734,2.92,1.918,6.6370000000000005,1.9909999999999999
1735,3.14,1.925,6.818,1.7
1736,3.37,1.922,6.727,3.45
1737,3.59,1.922,6.555,2.391
1738,3.81,1.923,6.7139999999999995,3.188
1739,4.04,1.929,6.827999999999999,1.244
1740,4.27,1.924,6.681,1.015
1741,4.49,1.925,6.771,0.884
1742,4.72,1.925,6.821000000000001,3.556
1743,4.94,1.922,6.914,0.467
1744,5.18,1.925,6.919,1.4809999999999999
1745,5.4,1.923,6.893,1.518
1746,5.64,1.922,6.9510000000000005,2.8939999999999997
1747,5.86,1.921,6.947,2.533
1748,6.1,1.927,6.886,2.279
1749,6.32,1.927,6.9639999999999995,2.126
1750,6.56,1.924,7.017,3.455
1751,6.79,1.924,6.928,1.456
1752,7.03,1.935,7.016,3.968
1753,7.26,1.93,7.031000000000001,2.2969999999999997
1754,7.5,1.924,7.126,3.8989999999999996
1755,7.73,1.929,7.224,0.642
1756,7.98,1.929,7.186,2.622
1757,8.21,1.927,7.104,1.69
1758,8.45,1.924,7.103,2.541
1759,8.69,1.928,7.245,1.7280000000000002
1760,8.93,1.924,7.2620000000000005,2.937
1761,9.17,1.928,7.132000000000001,4.841
1762,9.41,1.94,7.167999999999999,2.424
1763,9.65,1.951,7.284,4.144
1764,9.89,1.951,7.347,3.332
1765,10.14,1.955,7.399,1.486
1766,10.39,1.955,7.456,2.513
1767,10.64,1.96,7.332999999999999,0.935
1768,10.88,1.969,7.354,2.635
1769,11.13,1.965,7.459,2.4659999999999997
1770,11.37,1.968,7.4670000000000005,4.434
1771,11.62,1.978,7.513,0.66
1772,11.87,1.988,7.506,2.5839999999999996
1773,12.12,1.99,7.472,0.841
1774,12.37,1.994,7.447,2.8560000000000003
1775,12.62,2.004,7.449,1.214
1776,12.87,2.014,7.457000000000001,2.035
1777,13.12,2.023,7.507999999999999,2.9739999999999998
1778,13.37,2.027,7.621,1.214
1779,13.62,2.033,7.49,4.167
1780,13.87,2.043,7.545,3.693
1781,14.13,2.061,7.83,3.531
1782,14.39,2.066,7.71,3.285
1783,14.64,2.074,7.569,2.9360000000000004
1784,14.89,2.086,7.587000000000001,0.759
1785,15.15,2.095,7.528,2.35
1786,15.39,2.104,7.691,3.177
1787,15.66,2.115,7.8020000000000005,1.614
1788,15.91,2.13,7.6610000000000005,2.211
1789,16.17,2.143,7.888,2.206
1790,16.44,2.161,7.879,3.238
1791,16.69,2.167,7.602,1.295
1792,16.95,2.178,7.902,3.437
1793,17.22,2.198,7.937,2.667
1794,17.47,2.207,7.897,1.365
1795,17.74,2.229,7.981,1.46
1796,18.0,2.241,7.737,1.6640000000000001
1797,18.26,2.253,7.914,1.7169999999999999
1798,18.53,2.269,7.962999999999999,3.326
1799,18.79,2.277,7.954,2.125
1800,19.06,2.302,7.942,3.588
1801,19.32,2.31,8.019,1.901
1802,19.59,2.334,8.046,2.099
1803,19.85,2.344,7.957999999999999,3.355
1804,20.12,2.366,7.945,3.9789999999999996
1805,20.38,2.381,8.041,1.7590000000000001
1806,20.66,2.405,8.068999999999999,0.615
1807,20.92,2.416,7.943,1.516
1808,21.19,2.438,8.2,2.553
1809,21.46,2.452,8.122,1.767
1810,21.73,2.474,8.045,0.5660000000000001
1811,22.0,2.487,8.156,1.014
1812,22.27,2.506,8.082,2.145
1813,22.54,2.522,8.152000000000001,1.757
1814,22.81,2.545,8.047,1.383
1815,23.07,2.561,8.075,3.0180000000000002
1816,23.35,2.584,8.292,1.415
1817,23.62,2.595,8.119,1.723
1818,23.89,2.621,8.131,1.53
1819,24.16,2.635,8.243,2.801
1820,24.44,2.656,8.052999999999999,0.922
1821,24.7,2.669,8.133,1.055
1822,24.98,2.69,8.238,1.965
1823,25.25,2.706,8.116,2.165
1824,25.52,2.729,8.175,2.467
1825,25.79,2.74,8.276,1.82
1826,26.07,2.76,8.283,2.425
1827,26.34,2.774,8.222000000000001,1.245
1828,26.62,2.798,8.232999999999999,1.099
1829,26.89,2.809,8.291,1.48
1830,27.17,2.827,8.258,3.4730000000000003
1831,27.44,2.842,8.429,0.596
1832,27.73,2.863,8.356,2.062
1833,28.0,2.88,8.222000000000001,1.857
1834,28.28,2.903,8.384,3.721
1835,28.55,2.915,8.43,1.601
1836,28.84,2.939,8.42,1.7590000000000001
1837,29.11,2.95,8.337,1.431
1838,29.39,2.962,8.378,2.349
1839,29.67,2.98,8.498,3.488
1840,29.96,2.987,8.611,2.302
1841,30.25,3.009,8.651,0.669
1842,30.53,3.018,8.591000000000001,1.271
1843,30.82,3.028,8.55,1.129
1844,31.1,3.049,8.538,0.68
1845,31.39,3.055,8.501,0.512
1846,31.67,3.071,8.519,2.9189999999999996
1847,31.95,3.088,8.527000000000001,0.29100000000000004
1848,32.24,3.105,8.521,3.47
1849,32.52,3.12,8.526,3.3789999999999996
1850,32.8,3.124,8.535,0.9229999999999999
1851,33.09,3.134,8.544,3.105
1852,33.37,3.15,8.636000000000001,4.072
1853,33.66,3.161,8.811,2.07
1854,33.96,3.167,8.786,1.022
1855,34.25,3.183,8.715,1.46
1856,34.54,3.192,8.753,2.468
1857,34.83,3.197,8.625,1.411
1858,35.12,3.207,8.73,2.674
1859,35.42,3.218,8.883,1.189
1860,35.71,3.228,8.717,2.45
1861,36.0,3.235,8.705,3.179
1862,36.29,3.245,8.934,1.331
1863,36.59,3.255,8.863999999999999,1.9040000000000001
1864,36.88,3.262,8.838,2.003
1865,37.18,3.266,8.974,1.7169999999999999
1866,37.48,3.27,8.899,2.665
1867,37.77,3.279,8.966000000000001,0.902
1868,38.07,3.291,8.937000000000001,2.7960000000000003
1869,38.37,3.297,9.044,1.34
1870,38.68,3.303,9.04,3.011
1871,38.97,3.309,9.056000000000001,1.7630000000000001
1872,39.28,3.324,9.076,1.901
1873,39.58,3.33,9.045,3.8489999999999998
1874,39.88,3.337,9.036,2.6889999999999996
1875,40.18,3.339,9.109,4.636
1876,40.49,3.346,9.402999999999999,4.882
1877,40.81,3.359,9.402999999999999,2.5860000000000003
1878,41.12,3.363,9.479,2.424
1879,41.44,3.367,9.392000000000001,3.502
1880,41.74,3.372,9.177,1.171
1881,42.05,3.377,9.347999999999999,3.585
1882,42.37,3.377,9.47,3.5269999999999997
1883,42.68,3.381,9.502,3.182
1884,43.0,3.379,9.437999999999999,3.855
1885,43.31,3.392,9.478,1.5859999999999999
1886,43.63,3.403,9.503,5.417000000000001
1887,43.94,3.408,9.564,2.819
1888,44.27,3.407,9.709,1.682
1889,44.59,3.412,9.61,0.677
1890,44.91,3.411,9.664,1.415
1891,45.23,3.412,9.591000000000001,2.2840000000000003
1892,45.55,3.411,9.57,3.6639999999999997
1893,45.87,3.42,9.633,1.3659999999999999
1894,46.19,3.431,9.551,2.633
1895,46.51,3.435,9.617,1.52
1896,46.83,3.437,9.615,1.001
1897,47.15,3.442,9.516,2.44
1898,47.47,3.445,9.497,1.8090000000000002
1899,47.78,3.454,9.536,2.154
1900,48.1,3.464,9.639,3.09
1901,48.43,3.469,9.674,1.827
1902,48.75,3.471,9.572000000000001,0.81
1903,49.06,3.477,9.649,0.823
1904,49.39,3.477,9.661,2.0669999999999997
1905,49.71,3.478,9.484,0.5920000000000001
1906,50.02,3.479,9.645,1.09
1907,50.35,3.477,9.642000000000001,3.804
1908,50.67,3.478,9.716000000000001,3.656
1909,51.0,3.487,9.888,2.1919999999999997
1910,51.32,3.494,9.769,2.185
1911,51.65,3.501,9.772,1.198
1912,51.98,3.505,9.833,1.4069999999999998
1913,52.3,3.511,9.86,4.098
1914,52.63,3.514,10.03,3.449
1915,52.97,3.51,10.11,2.035
1916,53.31,3.511,9.859,4.156000000000001
1917,53.63,3.512,9.799,2.8939999999999997
1918,53.96,3.512,10.07,5.5729999999999995
1919,54.3,3.512,10.22,0.04949
1920,54.64,3.513,10.05,4.673
1921,54.97,3.512,9.879,1.399
1922,55.3,3.513,10.11,4.515
1923,55.65,3.512,10.28,1.464
1924,55.98,3.513,10.03,1.188
1925,56.31,3.518,10.24,6.649
1926,56.67,3.511,10.57,1.3519999999999999
1927,57.02,3.508,10.31,4.998
1928,57.35,3.51,10.2,0.8140000000000001
1929,57.7,3.511,10.4,2.658
1930,58.05,3.511,10.37,2.4130000000000003
1931,58.39,3.509,10.21,0.7290000000000001
1932,58.73,3.509,10.37,4.381
1933,59.08,3.51,10.58,2.545
1934,59.43,3.506,10.51,1.96
1935,59.78,3.508,10.45,3.305
1936,60.13,3.509,10.32,1.986
1937,60.47,3.508,10.28,1.1179999999999999
1938,60.82,3.51,10.42,1.715
1939,61.16,3.509,10.4,0.948
1940,61.51,3.508,10.36,0.826
1941,61.86,3.506,10.38,1.0759999999999998
1942,62.2,3.504,10.4,2.967
1943,62.55,3.505,10.52,2.057
1944,62.9,3.494,10.4,5.431
1945,63.24,3.491,10.69,4.185
1946,63.61,3.476,10.87,3.451
1947,63.97,3.475,10.59,6.827999999999999
1948,64.32,3.478,10.53,1.482
1949,64.67,3.474,10.54,3.903
1950,65.02,3.471,10.74,
1951,65.38,3.463,,
