t,x,y
1639,0.97,3.816
1640,1.29,3.82
1641,1.61,3.821
1642,1.93,3.819
1643,2.25,3.834
1644,2.58,3.85
1645,2.91,3.853
1646,3.24,3.858
1647,3.57,3.871
1648,3.91,3.886
1649,4.23,3.895
1650,4.57,3.901
1651,4.9,3.914
1652,5.24,3.926
1653,5.57,3.933
1654,5.92,3.942
1655,6.25,3.957
1656,6.6,3.971
1657,6.95,3.984
1658,7.29,3.994
1659,7.63,4.005
1660,7.98,4.02
1661,8.33,4.03
1662,8.68,4.041
1663,9.03,4.052
1664,9.39,4.067
1665,9.74,4.082
1666,10.1,4.096
1667,10.46,4.101
1668,10.81,4.123
1669,11.17,4.133
1670,11.52,4.138
1671,11.88,4.157
1672,12.25,4.168
1673,12.62,4.176
1674,12.98,4.19
1675,13.34,4.206
1676,13.71,4.213
1677,14.08,4.218
1678,14.45,4.231
1679,14.82,4.241
1680,15.19,4.252
1681,15.56,4.267
1682,15.94,4.277
1683,16.31,4.282
1684,16.69,4.294
1685,16.69,4.286
1686,17.07,4.306
1687,17.44,4.313
1688,17.82,4.318
1689,18.21,4.335
1690,18.6,4.346
1691,18.98,4.351
1692,19.37,4.358
1693,19.76,4.371
1694,20.15,4.381
1695,20.54,4.395
1696,20.94,4.395
1697,21.33,4.407
1698,21.72,4.418
1699,22.11,4.423
1700,22.5,4.432
1701,22.89,4.444
1702,23.28,4.453
1703,23.69,4.459
1704,24.08,4.468
1705,24.48,4.48
1706,24.87,4.489
1707,25.27,4.495
1708,25.66,4.505
1709,26.05,4.518
1710,26.45,4.523
1711,26.85,4.529
1712,27.24,4.536
1713,27.64,4.547
1714,28.04,4.556
1715,28.44,4.564
1716,28.84,4.57
1717,29.23,4.584
1718,29.63,4.592
1719,30.04,4.597
1720,30.44,4.602
1721,30.83,4.618
1722,31.24,4.627
1723,31.64,4.631
1724,31.96,4.651
1725,32.37,4.657
1726,32.78,4.658
1727,33.18,4.675
1728,33.59,4.685
1729,33.99,4.687
1730,34.4,4.69
1731,34.81,4.7
1732,35.22,4.697
1733,35.64,4.709
1734,36.05,4.717
1735,36.47,4.724
1736,36.89,4.727
1737,37.31,4.728
1738,37.73,4.737
1739,38.15,4.741
1740,38.58,4.75
1741,39.01,4.757
1742,39.43,4.761
1743,39.86,4.765
1744,40.29,4.764
1745,40.72,4.772
1746,41.14,4.78
1747,41.58,4.786
1748,42.02,4.79
1749,42.45,4.797
1750,42.89,4.801
1751,43.33,4.809
1752,43.76,4.813
1753,44.21,4.812
1754,44.64,4.827
1755,45.08,4.834
1756,45.52,4.831
1757,45.96,4.841
1758,46.4,4.836
1759,46.84,4.85
1760,47.28,4.855
1761,47.72,4.865
1762,48.17,4.869
1763,48.61,4.877
1764,49.05,4.875
1765,49.49,4.869
1766,49.93,4.88
1767,50.37,4.885
1768,50.81,4.893
1769,51.26,4.895
1770,51.7,4.901
1771,52.14,4.9
1772,52.6,4.9
1773,53.05,4.907
1774,53.49,4.903
1775,53.95,4.903
1776,54.38,4.909
1777,54.84,4.907
1778,55.29,4.905
1779,55.75,4.899
1780,56.19,4.905
1781,56.65,4.911
1782,57.11,4.906
1783,57.55,4.912
1784,58.01,4.928
1785,58.46,4.93
1786,58.92,4.932
1787,59.38,4.932
1788,59.84,4.931
1789,60.29,4.93
1790,60.75,4.937
1791,61.21,4.937
1792,61.67,4.929
1793,62.14,4.923
1794,62.61,4.942
1795,63.08,4.939
1796,63.54,4.937
1797,64.0,4.935
1798,64.47,4.931
1799,64.94,4.932
