t,x,y,v,a
1735,0.4,2.796,,
1736,0.62,2.797,6.494,
1737,0.83,2.798,6.465,1.135
1738,1.05,2.802,6.517,2.2319999999999998
1739,1.27,2.804,6.642,2.513
1740,1.49,2.803,6.636,1.213
1741,1.71,2.802,6.567,1.406
1742,1.93,2.802,6.529,1.4169999999999998
1743,2.15,2.802,6.657,2.61
1744,2.37,2.8,6.735,0.8420000000000001
1745,2.6,2.8,6.598,0.9590000000000001
1746,2.81,2.8,6.735,1.925
1747,3.04,2.797,6.831,2.478
1748,3.27,2.798,6.547999999999999,3.4330000000000003
1749,3.48,2.802,6.605,2.972
1750,3.71,2.805,6.757000000000001,1.932
1751,3.93,2.798,6.646,2.9789999999999996
1752,4.15,2.801,6.551,2.488
1753,4.37,2.801,6.515,2.261
1754,4.58,2.801,6.643,3.878
1755,4.81,2.798,6.809,2.303
1756,5.04,2.8,6.791,0.723
1757,5.26,2.799,6.755,1.465
1758,5.49,2.796,6.72,2.681
1759,5.71,2.797,6.585,3.2880000000000003
1760,5.93,2.797,6.53,2.088
1761,6.15,2.802,6.715,3.136
1762,6.38,2.798,6.771,0.555
1763,6.6,2.798,6.685,1.3730000000000002
1764,6.82,2.799,6.699,1.443
1765,7.04,2.795,6.77,0.8
1766,7.27,2.797,6.697,0.509
1767,7.49,2.798,6.718999999999999,0.9129999999999999
1768,7.72,2.796,6.772,0.39399999999999996
1769,7.94,2.795,6.642,2.199
1770,8.16,2.796,6.638999999999999,2.073
1771,8.38,2.797,6.772,2.761
1772,8.61,2.796,6.858,2.0540000000000003
1773,8.84,2.797,6.872999999999999,2.302
1774,9.07,2.794,6.757999999999999,2.359
1775,9.29,2.798,6.665,0.7190000000000001
1776,9.52,2.799,6.827000000000001,5.912999999999999
1777,9.75,2.797,7.015,1.6780000000000002
1778,9.98,2.792,6.97,1.077
1779,10.21,2.795,6.915,2.103
1780,10.45,2.792,6.917999999999999,2.124
1781,10.67,2.795,6.997000000000001,1.05
1782,10.91,2.794,6.955,1.456
