t,x,y,v,a
1703,0.52,4.136,,
1704,0.73,4.133,6.62,
1705,0.96,4.133,6.85,6.587999999999999
1706,1.19,4.135,7.074,0.321
1707,1.43,4.135,6.905,1.619
1708,1.65,4.136,6.859,3.44
1709,1.89,4.136,7.202999999999999,2.8739999999999997
1710,2.13,4.134,7.099,4.434
1711,2.36,4.136,6.82,1.187
1712,2.58,4.135,7.026,5.135
1713,2.83,4.132,7.2379999999999995,4.587
1714,3.07,4.134,7.2620000000000005,0.33899999999999997
1715,3.31,4.138,7.242000000000001,1.589
1716,3.55,4.134,7.313,1.429
1717,3.8,4.137,7.229,1.801
1718,4.03,4.136,7.121,1.9569999999999999
1719,4.27,4.14,7.371,2.9960000000000004
1720,4.52,4.136,7.362,0.5489999999999999
1721,4.76,4.137,7.327999999999999,2.16
1722,5.01,4.136,7.53,2.665
1723,5.27,4.137,7.518,1.7280000000000002
1724,5.51,4.134,7.391,1.819
1725,5.76,4.139,7.401,2.592
1726,6.01,4.136,7.558,2.655
1727,6.26,4.137,7.615,1.306
1728,6.52,4.138,7.598,1.328
1729,6.77,4.136,7.71,1.253
1730,7.03,4.136,7.7010000000000005,3.424
1731,7.28,4.137,7.858,2.443
1732,7.55,4.141,7.949,1.1159999999999999
1733,7.81,4.136,7.789,1.089
1734,8.07,4.137,7.886,1.5730000000000002
1735,8.34,4.14,7.9079999999999995,1.7269999999999999
1736,8.6,4.139,7.9110000000000005,0.996
1737,8.87,4.138,8.0,1.6269999999999998
1738,9.13,4.138,7.997000000000001,2.428
1739,9.4,4.137,7.871,0.08782999999999999
1740,9.66,4.139,7.932,0.272
1741,9.93,4.138,7.956,2.9210000000000003
1742,10.19,4.138,8.006,0.584
1743,10.46,4.137,8.075,1.345
1744,10.73,4.138,8.005,2.8089999999999997
1745,11.0,4.138,7.962000000000001,1.5759999999999998
1746,11.26,4.14,8.029,2.715
1747,11.53,4.139,8.213,2.105
1748,11.8,4.138,8.142000000000001,1.469
1749,12.07,4.142,8.099,1.879
1750,12.34,4.139,8.244,3.0239999999999996
1751,12.62,4.138,8.338,2.124
1752,12.9,4.143,8.337,0.888
1753,13.18,4.14,8.326,1.985
1754,13.45,4.14,8.21,1.393
1755,13.73,4.141,8.252,3.0460000000000003
1756,14.01,4.143,8.442,3.091
1757,14.29,4.14,8.463,0.925
1758,14.57,4.139,8.365,0.878
1759,14.85,4.139,8.48,1.6840000000000002
1760,15.13,4.138,8.498,1.3459999999999999
1761,15.41,4.143,8.485,0.5429999999999999
1762,15.7,4.141,8.592,1.511
1763,15.99,4.145,8.562999999999999,0.9640000000000001
1764,16.27,4.147,8.542,1.906
1765,16.56,4.144,8.579,0.9359999999999999
1766,16.84,4.143,8.586,1.974
1767,17.13,4.148,8.533,2.62
1768,17.41,4.149,8.461,1.618
1769,17.69,4.156,8.493,0.828
1770,17.98,4.164,8.533,5.604
1771,18.26,4.168,8.767000000000001,5.122000000000001
1772,18.56,4.169,8.962,0.643
1773,18.86,4.172,8.754,0.568
1774,19.15,4.173,8.876,1.3
1775,19.45,4.174,8.943999999999999,2.563
1776,19.74,4.18,8.814,1.2329999999999999
1777,20.04,4.189,8.98,1.094
1778,20.34,4.183,8.861,4.152
1779,20.63,4.192,8.687000000000001,2.9589999999999996
1780,20.92,4.205,9.0,4.668
1781,21.23,4.207,9.071,4.3839999999999995
1782,21.52,4.216,8.994,2.0580000000000003
1783,21.83,4.209,9.003,1.729
1784,22.12,4.221,9.025,4.026
1785,22.43,4.217,8.924,1.6130000000000002
1786,22.72,4.231,8.996,2.562
1787,23.03,4.237,9.094,4.274
1788,23.33,4.247,9.1,4.363
1789,23.63,4.249,8.993,1.328
1790,23.92,4.27,8.987,0.9
1791,24.23,4.274,9.096,5.579
1792,24.53,4.283,9.087,4.466
1793,24.84,4.284,9.05,2.8489999999999998
1794,25.13,4.307,9.096,3.19
1795,25.44,4.313,9.32,2.512
1796,25.75,4.315,9.013,3.9019999999999997
1797,26.05,4.331,9.081,0.889
1798,26.36,4.344,9.181000000000001,3.93
1799,26.66,4.351,9.104,2.16
1800,26.97,4.358,9.357999999999999,2.324
1801,27.28,4.366,9.189,1.7630000000000001
1802,27.58,4.382,9.128,2.7489999999999997
1803,27.89,4.386,9.308,1.524
1804,28.2,4.389,9.112,3.823
1805,28.5,4.411,9.161,3.3930000000000002
1806,28.81,4.419,9.396,2.187
1807,29.12,4.423,9.059,3.4760000000000004
1808,29.41,4.443,9.076,3.64
1809,29.73,4.452,9.44,6.693
1810,30.04,4.456,9.352,4.075
1811,30.35,4.461,9.2,3.2310000000000003
1812,30.65,4.479,9.283,3.1
1813,30.97,4.488,9.437999999999999,4.503
1814,31.28,4.493,9.427,1.304
1815,31.6,4.499,9.5,3.34
1816,31.92,4.506,9.345,2.287
1817,32.22,4.519,9.256,0.614
1818,32.53,4.527,9.46,4.453
1819,32.85,4.536,9.52,1.5490000000000002
1820,33.17,4.542,9.426,1.198
1821,33.48,4.546,9.459,0.857
1822,33.8,4.553,9.545,0.466
1823,34.11,4.559,9.454,1.8519999999999999
1824,34.43,4.563,9.474,3.065
1825,34.75,4.564,9.609,1.702
1826,35.07,4.564,9.616,4.169
1827,35.39,4.57,9.457,2.6239999999999997
1828,35.7,4.583,9.548,2.608
1829,36.02,4.589,9.673,2.556
1830,36.34,4.593,9.49,1.764
1831,36.66,4.597,9.546,0.831
1832,36.98,4.598,9.546,2.02
1833,37.29,4.601,9.552,0.72
1834,37.62,4.6,9.607000000000001,1.695
1835,37.93,4.604,9.568999999999999,0.552
1836,38.26,4.603,9.671,1.521
1837,38.58,4.602,9.619,1.8
1838,38.9,4.601,9.56,1.874
1839,39.21,4.604,9.604,0.736
1840,39.54,4.608,9.616,2.533
1841,39.86,4.604,9.578,1.085
1842,40.18,4.602,9.613999999999999,1.781
1843,40.5,4.601,9.589,1.025
1844,40.81,4.602,9.618,0.499
1845,41.14,4.602,9.611,2.156
1846,41.46,4.601,9.641,0.632
1847,41.78,4.61,9.658,4.545
1848,42.1,4.607,9.707,4.163
1849,42.43,4.596,9.908999999999999,3.177
1850,42.76,4.598,9.828,3.734
1851,43.08,4.599,9.72,2.492
1852,43.41,4.601,9.968,2.379
1853,43.75,4.598,9.966000000000001,2.358
1854,44.07,4.599,9.721,0.816
1855,44.4,4.6,9.936,2.963
1856,44.73,4.594,10.01,1.855
1857,45.06,4.597,9.775,3.447
1858,45.39,4.599,9.81,2.66
1859,45.72,4.601,9.945,1.101
1860,46.05,4.597,9.866,1.6569999999999998
1861,46.37,4.599,9.809,1.9969999999999999
1862,46.7,4.601,9.991,1.419
1863,47.04,4.593,9.949,2.343
1864,47.37,4.598,10.04,1.64
1865,47.71,4.594,10.05,0.539
1866,48.04,4.596,9.89,1.0390000000000001
1867,48.37,4.599,10.04,1.188
1868,48.71,4.594,9.972000000000001,1.854
1869,49.03,4.597,9.921,1.5819999999999999
1870,49.37,4.59,10.04,4.535
1871,49.7,4.596,10.21,1.2
1872,50.05,4.593,10.1,2.255
1873,50.38,4.595,10.03,1.9580000000000002
1874,50.72,4.591,10.1,4.63
1875,51.05,4.596,10.26,0.92
1876,51.4,4.594,10.19,2.8169999999999997
1877,51.73,4.597,10.05,6.686
1878,52.07,4.59,10.54,7.704
1879,52.43,4.573,10.59,5.751
1880,52.78,4.563,10.16,6.855
1881,53.11,4.569,10.19,1.696
1882,53.46,4.561,10.35,0.545
1883,53.8,4.556,10.16,2.812
1884,54.13,4.559,10.17,2.3609999999999998
1885,54.48,4.556,10.38,0.738
1886,54.82,4.555,10.22,3.321
1887,55.16,4.559,10.14,7.501
1888,55.5,4.545,10.68,6.577999999999999
1889,55.87,4.542,10.68,2.528
1890,56.21,4.526,10.35,9.515
1891,56.56,4.524,10.2,3.407
1892,56.89,4.525,10.2,3.78
1893,57.24,4.522,10.54,2.206
1894,57.6,4.522,10.36,8.112
1895,57.93,4.524,10.67,5.933
1896,58.31,4.494,10.85,6.726
1897,58.65,4.492,10.09,26.13
1898,58.98,4.489,9.214,8.022
1899,59.27,4.489,10.01,24.64
1900,59.65,4.514,11.14,7.627999999999999
1901,60.01,4.549,10.17,9.917
1902,60.32,4.568,10.59,13.17
1903,60.71,4.563,11.33,12.58
1904,61.08,4.578,11.03,19.18
1905,61.45,4.568,10.29,18.29
1906,61.76,4.578,9.54,7.227
