t,x,y,v,a
1921,51.55,5.721,11.83,0.42
1922,51.94,5.728,11.86,3.133
1923,52.34,5.735,11.98,1.268
1924,52.74,5.736,11.95,2.227
1925,53.13,5.741,11.93,2.158
1926,53.54,5.737,12.13,2.634
1927,53.94,5.739,12.11,2.5580000000000003
1928,54.34,5.743,11.95,2.6430000000000002
1929,54.74,5.741,11.93,3.069
1930,55.14,5.741,12.12,1.425
1931,55.55,5.736,12.06,3.233
1932,55.94,5.74,12.21,2.1590000000000003
1933,56.36,5.74,12.35,1.05
1934,56.77,5.738,12.11,4.004
1935,57.17,5.738,12.1,1.972
1936,57.57,5.737,12.24,1.514
1937,57.99,5.737,12.21,1.775
1938,58.39,5.74,12.27,1.7619999999999998
1939,58.8,5.735,12.24,1.443
1940,59.2,5.734,12.25,1.867
1941,59.62,5.735,12.27,2.235
1942,60.02,5.734,12.28,1.335
1943,60.44,5.735,12.45,2.846
1944,60.85,5.735,12.41,3.864
1945,61.27,5.73,12.54,1.1640000000000001
1946,61.69,5.72,12.54,5.81
1947,62.1,5.723,12.51,3.799
1948,62.52,5.733,12.43,5.053999999999999
1949,62.93,5.73,12.26,2.605
1950,63.34,5.724,12.52,3.452
1951,63.77,5.728,12.55,3.054
1952,64.18,5.729,12.57,2.028
1953,64.6,5.72,12.64,2.784
1954,65.02,5.721,12.47,
1955,65.43,5.727,,
