t,x,y,v,a
1703,0.98,1.875,,
1704,1.2,1.874,6.825,
1705,1.44,1.872,6.93,3.67
1706,1.66,1.876,6.914,3.111
1707,1.9,1.873,6.8660000000000005,2.945
1708,2.12,1.876,6.612,0.46399999999999997
1709,2.34,1.881,6.859,2.853
1710,2.58,1.878,6.871,2.571
1711,2.8,1.88,6.853,3.7969999999999997
1712,3.03,1.875,6.933,2.9530000000000003
1713,3.26,1.89,6.962000000000001,4.611000000000001
1714,3.5,1.879,6.815,1.8330000000000002
1715,3.72,1.9,6.855,2.5869999999999997
1716,3.95,1.906,6.928999999999999,6.4110000000000005
1717,4.18,1.911,6.933,4.743
1718,4.42,1.912,6.874,3.068
1719,4.63,1.934,6.922999999999999,2.138
1720,4.88,1.937,6.922999999999999,5.606
1721,5.1,1.946,6.947,2.171
1722,5.34,1.948,7.215,3.003
1723,5.58,1.95,6.914,5.205
1724,5.8,1.971,6.935,0.499
1725,6.04,1.979,7.05,4.559
1726,6.27,1.987,7.062,5.867000000000001
1727,6.51,1.995,6.816,0.196
1728,6.72,2.014,6.895,6.478
1729,6.97,2.017,7.332000000000001,3.012
1730,7.21,2.019,7.028,5.521
1731,7.44,2.046,6.996,3.6310000000000002
1732,7.68,2.053,7.315,8.67
1733,7.92,2.056,7.365,3.873
1734,8.17,2.062,7.345,2.628
1735,8.41,2.082,7.312,4.814
1736,8.65,2.088,7.12,1.551
1737,8.89,2.112,7.144,3.515
1738,9.13,2.125,7.4079999999999995,4.457
1739,9.38,2.132,7.406000000000001,1.364
1740,9.62,2.151,7.419,3.5260000000000002
1741,9.87,2.162,7.457000000000001,1.6369999999999998
1742,10.12,2.187,7.45,0.451
1743,10.37,2.195,7.452999999999999,2.003
1744,10.61,2.214,7.546,1.506
1745,10.87,2.233,7.5889999999999995,1.311
1746,11.12,2.245,7.5120000000000005,4.171
1747,11.37,2.263,7.72,2.95
1748,11.63,2.265,7.73,3.24
1749,11.88,2.293,7.723,4.197
1750,12.15,2.309,7.731,5.492999999999999
1751,12.4,2.332,7.772,1.157
1752,12.66,2.338,7.781000000000001,2.904
1753,12.92,2.366,7.815,3.0469999999999997
1754,13.18,2.372,7.949,2.471
1755,13.44,2.4,7.915,1.945
1756,13.71,2.418,8.01,3.892
1757,13.98,2.423,7.874,2.565
1758,14.23,2.443,7.888999999999999,3.9389999999999996
1759,14.5,2.462,8.055,2.6860000000000004
1760,14.77,2.482,8.033,1.556
1761,15.04,2.503,8.087,1.835
1762,15.31,2.516,8.132,3.137
1763,15.58,2.545,8.236,1.859
1764,15.86,2.552,8.289,3.083
1765,16.13,2.574,8.336,5.4510000000000005
1766,16.41,2.588,8.24,1.1640000000000001
1767,16.68,2.619,8.198,1.831
1768,16.95,2.636,8.336,6.65
1769,17.23,2.65,8.443999999999999,0.7090000000000001
1770,17.52,2.664,8.381,2.3
1771,17.79,2.683,8.48,2.174
1772,18.08,2.697,8.615,2.424
1773,18.36,2.72,8.524,2.6689999999999996
1774,18.65,2.73,8.57,0.773
