t,x,y,v,a
3531,0.58,2.845,,
3532,0.98,2.861,11.95,
3533,1.38,2.871,12.11,0.85
3534,1.78,2.88,12.04,4.4830000000000005
3535,2.18,2.898,11.86,1.455
3536,2.57,2.917,11.94,2.5660000000000003
3537,2.98,2.926,12.05,1.002
3538,3.38,2.945,11.93,2.198
3539,3.77,2.955,12.1,1.889
3540,4.18,2.973,12.18,1.169
3541,4.58,2.987,11.93,0.826
3542,4.98,3.0,12.19,1.882
3543,5.39,3.017,12.15,4.095
3544,5.79,3.023,11.79,2.65
3545,6.18,3.044,12.01,3.9189999999999996
3546,6.59,3.048,12.13,3.259
3547,6.99,3.058,11.93,3.133
3548,7.38,3.063,12.12,3.2760000000000002
3549,7.8,3.082,12.23,1.2570000000000001
3550,8.2,3.092,12.1,1.726
3551,8.6,3.098,12.26,3.386
3552,9.02,3.112,12.26,0.828
3553,9.42,3.129,12.14,1.632
3554,9.82,3.134,12.35,0.731
3555,10.24,3.158,12.21,3.8680000000000003
3556,10.64,3.164,12.0,3.9219999999999997
3557,11.04,3.168,12.18,5.434
3558,11.45,3.178,12.34,2.086
3559,11.86,3.188,12.27,3.855
3560,12.27,3.2,12.28,2.322
3561,12.68,3.224,12.25,3.883
3562,13.08,3.233,12.23,2.722
3563,13.5,3.238,12.29,3.1289999999999996
3564,13.9,3.253,12.23,2.094
3565,14.31,3.268,12.2,3.803
3566,14.72,3.271,12.25,4.323
3567,15.13,3.279,12.49,2.225
3568,15.55,3.302,12.33,3.282
3569,15.95,3.305,12.21,1.883
3570,16.36,3.315,12.46,3.28
3571,16.78,3.329,12.41,1.5190000000000001
3572,17.19,3.34,12.36,2.804
3573,17.6,3.345,12.35,2.33
3574,18.01,3.355,12.4,2.185
3575,18.43,3.369,12.55,2.562
3576,18.85,3.377,12.41,2.47
3577,19.26,3.38,12.37,2.5380000000000003
3578,19.67,3.402,12.55,3.912
3579,20.09,3.407,12.64,3.905
3580,20.51,3.413,12.63,3.293
3581,20.94,3.421,12.69,2.5780000000000003
3582,21.36,3.438,12.75,4.133
3583,21.79,3.447,12.46,4.207
3584,22.19,3.454,12.36,1.91
3585,22.61,3.469,12.57,3.3339999999999996
3586,23.03,3.481,12.56,3.6889999999999996
3587,23.45,3.487,12.42,0.598
3588,23.86,3.494,12.52,2.802
3589,24.28,3.504,12.58,0.324
3590,24.69,3.518,12.46,3.4760000000000004
3591,25.11,3.523,12.44,1.113
3592,25.52,3.53,12.41,2.205
3593,25.94,3.547,12.51,2.496
3594,26.36,3.554,12.57,1.578
3595,26.78,3.561,12.6,3.01
3596,27.2,3.579,12.45,2.559
3597,27.6,3.587,12.35,2.763
3598,28.02,3.596,12.45,5.101
3599,28.43,3.603,12.64,0.07553
3600,28.86,3.617,12.55,2.781
3601,29.27,3.623,12.36,3.3489999999999998
3602,29.69,3.628,12.43,5.535
3603,30.1,3.635,12.64,1.347
3604,30.53,3.649,12.53,2.9189999999999996
3605,30.94,3.655,12.35,5.42
3606,31.35,3.658,12.35,0.799
3607,31.76,3.661,12.23,1.026
3608,32.17,3.667,12.42,2.52
3609,32.59,3.667,12.36,3.656
3610,32.99,3.665,12.34,4.618
3611,33.41,3.685,12.54,2.391
3612,33.83,3.69,12.48,4.593999999999999
3613,34.24,3.695,12.47,0.7170000000000001
3614,34.66,3.698,12.47,1.254
3615,35.07,3.703,12.51,0.899
3616,35.49,3.709,12.57,3.5660000000000003
3617,35.91,3.71,12.69,3.032
3618,36.34,3.715,12.83,2.248
3619,36.77,3.721,12.74,2.064
3620,37.19,3.729,12.68,1.949
3621,37.61,3.73,12.72,2.6510000000000002
3622,38.04,3.732,12.8,1.7409999999999999
3623,38.46,3.732,12.83,0.313
3624,38.89,3.731,12.78,1.1340000000000001
3625,39.32,3.734,12.75,0.47200000000000003
3626,39.74,3.734,12.77,0.836
3627,40.17,3.734,12.79,0.23399999999999999
3628,40.59,3.734,12.79,0.257
3629,41.02,3.733,12.78,1.001
3630,41.45,3.733,12.85,1.209
3631,41.88,3.732,12.85,2.7569999999999997
3632,42.3,3.736,12.97,2.78
3633,42.74,3.731,13.11,0.483
3634,43.18,3.735,12.98,2.475
3635,43.61,3.734,12.92,2.465
3636,44.04,3.733,12.85,0.657
3637,44.46,3.734,12.88,1.239
3638,44.9,3.734,12.98,2.211
3639,45.33,3.733,13.0,1.7730000000000001
3640,45.76,3.733,12.89,2.366
3641,46.19,3.733,12.84,0.907
3642,46.62,3.738,12.88,0.9259999999999999
3643,47.05,3.736,12.82,2.8080000000000003
3644,47.47,3.743,12.73,1.85
3645,47.9,3.738,12.72,2.032
3646,48.32,3.738,12.86,0.74
3647,48.75,3.745,12.77,3.0210000000000004
3648,49.17,3.739,12.81,2.708
3649,49.61,3.734,13.0,3.549
3650,50.04,3.734,12.95,1.99
3651,50.47,3.735,12.9,1.942
3652,50.9,3.735,12.83,0.564
3653,51.33,3.735,12.84,2.576
3654,51.76,3.735,12.99,3.175
3655,52.19,3.74,13.06,1.8730000000000002
3656,52.63,3.738,12.94,2.503
3657,53.05,3.736,12.87,2.476
3658,53.48,3.737,12.82,0.278
3659,53.91,3.732,12.82,2.456
3660,54.34,3.732,13.0,3.187
3661,54.78,3.734,13.04,0.376
3662,55.21,3.732,12.98,1.327
3663,55.64,3.732,12.96,0.503
3664,56.07,3.733,12.96,0.86
3665,56.5,3.733,13.01,1.75
3666,56.94,3.732,13.08,0.7959999999999999
3667,57.38,3.731,13.06,0.759
3668,57.81,3.729,13.01,1.607
3669,58.24,3.729,13.0,2.094
3670,58.68,3.723,12.93,1.261
3671,59.11,3.73,12.92,1.6219999999999999
3672,59.54,3.727,12.92,2.926
3673,59.97,3.732,13.04,2.7260000000000004
3674,60.41,3.73,13.17,1.01
3675,60.85,3.73,13.05,2.859
3676,61.28,3.73,12.97,1.548
3677,61.71,3.73,12.98,2.201
3678,62.14,3.727,13.11,1.781
3679,62.58,3.727,12.98,0.306
3680,63.01,3.731,12.98,0.6609999999999999
3681,63.45,3.726,13.08,2.0580000000000003
3682,63.88,3.728,13.04,2.696
3683,64.32,3.729,13.28,1.8430000000000002
3684,64.77,3.727,13.2,
3685,65.2,3.725,,
