t,x,y,v,a
1791,1.16,6.911,,
1792,1.43,6.914,8.36,
1793,1.71,6.915,8.529,4.746
1794,2.0,6.917,8.581,2.4419999999999997
1795,2.28,6.926,8.677,2.383
1796,2.57,6.931,8.447000000000001,1.443
1797,2.85,6.94,8.5,2.02
1798,3.14,6.946,8.63,1.935
1799,3.42,6.946,8.522,0.875
1800,3.71,6.952,8.593,2.456
1801,4.0,6.953,8.668,2.47
1802,4.28,6.962,8.717,2.693
1803,4.58,6.959,8.724,1.1179999999999999
1804,4.87,6.956,8.764,6.013999999999999
1805,5.16,6.965,8.971,1.579
1806,5.46,6.975,8.914,3.924
1807,5.76,6.973,8.714,0.489
1808,6.05,6.977,8.881,4.843999999999999
1809,6.35,6.983,9.089,2.471
1810,6.65,6.981,8.987,2.1
1811,6.95,6.982,8.93,2.533
1812,7.25,6.981,9.166,0.457
1813,7.56,6.982,9.041,0.33399999999999996
1814,7.85,6.982,9.03,1.6019999999999999
1815,8.16,6.983,9.276,2.1180000000000003
1816,8.47,6.982,9.134,1.653
1817,8.77,6.982,9.128,0.593
1818,9.08,6.983,9.217,1.6669999999999998
1819,9.38,6.983,9.221,2.016
1820,9.69,6.983,9.339,1.5190000000000001
1821,10.01,6.982,9.363,0.42200000000000004
1822,10.32,6.983,9.276,2.1519999999999997
1823,10.62,6.983,9.236,1.7469999999999999
1824,10.93,6.982,9.359,3.509
1825,11.25,6.983,9.521,2.905
1826,11.57,6.983,9.529,0.182
1827,11.88,6.982,9.514,0.825
1828,12.2,6.983,9.566,1.294
1829,12.52,6.982,9.626,0.581
1830,12.84,6.982,9.592,0.608
1831,13.16,6.982,9.651,0.563
1832,13.49,6.982,9.6,0.431
1833,13.8,6.982,9.61,1.156
1834,14.13,6.982,9.715,2.9530000000000003
1835,14.45,6.985,9.764,1.641
1836,14.78,6.984,9.85,1.026
1837,15.11,6.985,9.797,0.7090000000000001
1838,15.43,6.984,9.8,1.037
1839,15.76,6.986,9.875,2.25
1840,16.09,6.988,9.94,2.741
1841,16.42,6.987,10.04,2.6660000000000004
1842,16.76,6.985,10.12,1.725
1843,17.1,6.985,10.15,2.146
1844,17.43,6.986,10.22,1.385
1845,17.78,6.989,10.11,1.584
1846,18.11,6.99,10.09,1.212
1847,18.45,6.987,10.26,2.073
1848,18.79,6.991,10.22,0.8390000000000001
1849,19.13,6.991,10.26,0.76
1850,19.48,6.988,10.29,2.677
1851,19.82,6.99,10.35,1.4780000000000002
1852,20.17,6.993,10.45,3.678
1853,20.51,6.99,10.5,1.859
1854,20.87,6.987,10.49,1.101
1855,21.21,6.997,10.41,2.5580000000000003
1856,21.56,6.991,10.41,2.005
1857,21.91,6.989,10.49,6.143
1858,22.26,7.002,10.6,2.019
1859,22.61,7.01,10.59,2.997
1860,22.96,7.014,10.52,2.7960000000000003
1861,23.31,7.019,10.43,2.6319999999999997
1862,23.66,7.02,10.63,2.677
1863,24.02,7.02,10.7,1.244
1864,24.37,7.024,10.63,1.7630000000000001
1865,24.73,7.023,10.66,1.173
1866,25.08,7.03,10.6,0.701
1867,25.44,7.035,10.61,2.197
1868,25.79,7.035,10.73,1.3119999999999998
1869,26.15,7.042,10.71,1.145
1870,26.51,7.047,10.63,2.398
1871,26.86,7.051,10.61,1.521
1872,27.21,7.054,10.63,0.21
1873,27.57,7.054,10.65,0.301
1874,27.92,7.058,10.61,1.158
1875,28.28,7.06,10.64,2.787
1876,28.63,7.066,10.67,2.411
1877,28.99,7.078,10.75,1.965
1878,29.35,7.084,10.74,2.444
1879,29.7,7.086,10.72,1.557
1880,30.06,7.09,10.67,1.205
1881,30.42,7.095,10.71,1.3330000000000002
1882,30.78,7.094,10.81,2.8939999999999997
1883,31.14,7.102,10.85,2.282
1884,31.5,7.098,10.89,2.951
1885,31.86,7.111,10.85,2.501
1886,32.22,7.122,10.76,4.314
1887,32.58,7.123,10.82,3.6439999999999997
1888,32.95,7.124,11.0,3.065
1889,33.31,7.126,10.99,1.063
1890,33.68,7.131,10.97,1.515
1891,34.04,7.135,11.06,3.41
1892,34.42,7.133,11.22,4.252
1893,34.79,7.143,11.25,2.4619999999999997
1894,35.16,7.153,11.12,2.9789999999999996
1895,35.53,7.159,11.21,2.792
1896,35.91,7.16,11.26,0.601
1897,36.28,7.163,11.16,3.6519999999999997
1898,36.66,7.169,11.35,2.932
1899,37.04,7.181,11.3,3.227
1900,37.41,7.192,11.41,4.495
1901,37.8,7.193,11.57,1.7380000000000002
1902,38.18,7.195,11.4,1.371
1903,38.56,7.2,11.5,2.164
1904,38.95,7.202,11.57,0.43
1905,39.33,7.21,11.47,0.8079999999999999
1906,39.71,7.214,11.57,1.831
1907,40.1,7.221,11.65,3.1180000000000003
1908,40.49,7.229,11.72,2.475
1909,40.88,7.231,11.79,1.168
1910,41.27,7.233,11.72,1.785
1911,41.66,7.237,11.69,0.474
1912,42.05,7.24,11.74,1.445
1913,42.45,7.242,11.69,1.8159999999999998
1914,42.83,7.252,11.74,0.254
1915,43.23,7.257,11.77,2.394
1916,43.62,7.26,11.73,1.423
1917,44.01,7.263,11.74,2.443
1918,44.4,7.265,11.82,2.569
1919,44.8,7.265,11.96,1.139
1920,45.2,7.266,11.88,2.738
1921,45.59,7.266,11.77,0.726
1922,45.98,7.267,11.82,0.413
1923,46.38,7.267,11.8,1.609
1924,46.77,7.266,11.68,1.778
1925,47.16,7.27,11.69,1.6669999999999998
1926,47.55,7.266,11.77,0.44
1927,47.94,7.266,11.74,2.3040000000000003
1928,48.33,7.268,11.62,1.912
1929,48.72,7.267,11.61,0.7290000000000001
1930,49.1,7.267,11.61,0.461
1931,49.49,7.267,11.57,1.528
1932,49.88,7.266,11.69,2.38
1933,50.27,7.266,11.77,1.072
1934,50.66,7.265,11.6,2.155
1935,51.04,7.264,11.59,1.308
1936,51.43,7.266,11.73,1.307
1937,51.83,7.266,11.53,3.127
1938,52.2,7.266,11.43,3.6510000000000002
1939,52.59,7.266,11.38,0.07153
1940,52.96,7.265,11.34,0.504
1941,53.34,7.265,11.48,2.8289999999999997
1942,53.73,7.265,11.51,0.317
1943,54.11,7.265,11.48,1.094
1944,54.49,7.265,11.43,2.454
1945,54.87,7.262,11.61,1.796
1946,55.27,7.259,11.61,3.141
1947,55.65,7.26,11.62,0.985
1948,56.04,7.265,11.69,1.5530000000000002
1949,56.43,7.264,11.57,1.4769999999999999
1950,56.81,7.263,11.67,1.413
1951,57.2,7.263,11.7,1.931
1952,57.59,7.264,11.74,0.344
1953,57.99,7.26,11.76,1.55
1954,58.38,7.26,11.75,0.657
1955,58.77,7.264,11.8,0.8390000000000001
1956,59.16,7.261,11.77,1.44
1957,59.56,7.262,11.78,3.216
1958,59.95,7.258,11.96,2.802
1959,60.35,7.26,12.02,1.1440000000000001
1960,60.75,7.262,11.89,3.475
1961,61.15,7.262,11.82,1.1440000000000001
1962,61.54,7.262,11.91,2.213
1963,61.94,7.26,12.02,4.511
1964,62.34,7.26,12.15,0.794
1965,62.75,7.26,12.12,2.295
1966,63.15,7.262,11.91,5.1339999999999995
1967,63.54,7.26,11.82,1.76
1968,63.93,7.262,11.96,2.338
1969,64.34,7.262,12.08,4.791
1970,64.74,7.263,12.18,
1971,65.15,7.263,,
