t,x,y,v,a
1692,0.3,3.283,,
1693,0.62,3.287,9.84,
1694,0.96,3.283,10.03,6.732
1695,1.29,3.292,10.26,3.443
1696,1.64,3.29,10.08,4.547
1697,1.96,3.304,9.895,1.5030000000000001
1698,2.3,3.317,10.11,6.358
1699,2.64,3.321,10.22,0.63
1700,2.98,3.325,10.11,3.112
1701,3.31,3.34,10.17,3.867
1702,3.66,3.351,10.43,3.7510000000000003
1703,4.01,3.362,10.34,2.201
1704,4.35,3.366,10.27,1.919
1705,4.69,3.386,10.48,4.111000000000001
1706,5.05,3.391,10.57,2.543
1707,5.4,3.409,10.6,1.432
1708,5.75,3.425,10.59,1.724
1709,6.1,3.436,10.64,1.136
1710,6.46,3.458,10.71,0.956
1711,6.82,3.466,10.6,0.5579999999999999
1712,7.17,3.488,10.69,2.151
1713,7.53,3.501,10.7,1.004
1714,7.88,3.521,10.7,2.92
1715,8.24,3.54,10.82,5.078
1716,8.6,3.564,10.97,1.459
1717,8.97,3.572,10.96,3.417
1718,9.33,3.6,10.84,3.26
1719,9.69,3.626,11.15,4.357
1720,10.07,3.636,11.12,2.109
1721,10.43,3.658,11.08,6.337999999999999
1722,10.81,3.675,11.26,4.07
1723,11.18,3.711,11.23,2.8989999999999996
1724,11.56,3.717,11.15,4.796
1725,11.92,3.748,11.22,2.343
1726,12.31,3.755,11.41,3.725
1727,12.68,3.776,11.22,3.8480000000000003
1728,13.05,3.814,11.35,5.4479999999999995
1729,13.44,3.827,11.53,1.192
1730,13.82,3.844,11.38,2.965
1731,14.19,3.879,11.35,2.3040000000000003
1732,14.57,3.891,11.53,6.374
1733,14.96,3.916,11.64,2.66
1734,15.35,3.925,11.66,1.3980000000000001
1735,15.74,3.95,11.72,3.405
1736,16.13,3.964,11.72,0.24600000000000002
1737,16.52,3.991,11.7,1.107
1738,16.91,4.01,11.73,2.028
1739,17.3,4.032,11.83,4.508
1740,17.7,4.061,12.01,4.093
1741,18.1,4.071,12.08,2.7289999999999996
1742,18.5,4.094,11.95,2.8289999999999997
1743,18.9,4.106,11.96,2.63
1744,19.3,4.131,12.14,1.207
1745,19.7,4.144,12.04,3.0010000000000003
1746,20.1,4.166,12.17,1.4409999999999998
1747,20.51,4.179,12.22,1.145
1748,20.91,4.203,12.04,2.073
1749,21.32,4.215,12.17,2.7119999999999997
1750,21.72,4.238,12.16,1.159
1751,22.13,4.249,12.21,1.264
1752,22.54,4.269,12.14,2.356
1753,22.93,4.287,12.21,2.114
1754,23.35,4.306,12.2,2.528
1755,23.75,4.319,12.2,1.4969999999999999
1756,24.16,4.347,12.24,1.453
1757,24.56,4.357,12.17,3.6069999999999998
