t,x,y,v,a
1639,-0.16,2.494,,
1640,0.13,2.498,8.721,
1641,0.42,2.509,8.791,3.0780000000000003
1642,0.72,2.502,8.812999999999999,3.406
1643,1.01,2.526,8.939,2.336
1644,1.31,2.531,8.991,3.2539999999999996
1645,1.61,2.537,8.771,2.681
1646,1.9,2.551,8.896,3.7430000000000003
1647,2.2,2.562,9.135,5.655
1648,2.5,2.569,9.138,4.5169999999999995
1649,2.81,2.574,8.901,2.3930000000000002
1650,3.1,2.587,9.054,1.015
1651,3.41,2.598,9.182,4.302
1652,3.71,2.604,9.015,2.075
1653,4.01,2.606,9.251,2.7569999999999997
1654,4.33,2.611,9.171,3.468
1655,4.63,2.623,9.201,2.7310000000000003
1656,4.94,2.634,9.422,3.444
1657,5.25,2.637,9.322000000000001,2.8739999999999997
1658,5.56,2.642,9.202,3.781
1659,5.87,2.656,9.349,4.045
1660,6.18,2.669,9.498,4.388
1661,6.5,2.671,9.461,3.002
1662,6.81,2.675,9.492,5.751
1663,7.13,2.676,9.6,3.708
1664,7.45,2.701,9.565,1.514
1665,7.77,2.707,9.53,6.867999999999999
1666,8.09,2.711,9.652999999999999,3.673
1667,8.41,2.711,9.665,3.576
1668,8.73,2.732,9.6,1.508
1669,9.05,2.74,9.597000000000001,4.979
1670,9.37,2.743,9.621,4.029
1671,9.69,2.747,9.83,6.297999999999999
1672,10.03,2.76,9.993,2.157
1673,10.36,2.775,9.948,2.596
1674,10.69,2.779,9.96,1.042
1675,11.02,2.788,9.927999999999999,1.175
1676,11.35,2.803,9.979,2.207
1677,11.69,2.807,10.03,1.879
1678,12.02,2.813,9.949,4.463
1679,12.35,2.82,10.03,2.059
1680,12.69,2.841,10.03,3.193
1681,13.02,2.848,10.11,4.665
1682,13.36,2.853,10.12,4.607
1683,13.69,2.856,10.16,86.25
1684,14.04,2.88,5.196000000000001,42.84
1685,14.04,2.881,5.0760000000000005,42.14
1686,14.38,2.887,10.17,89.12
1687,14.72,2.895,10.29,3.563
1688,15.06,2.905,10.39,0.159
1689,15.41,2.918,10.3,1.639
1690,15.75,2.925,10.26,2.702
1691,16.09,2.941,10.47,3.4389999999999996
1692,16.45,2.953,10.54,1.08
1693,16.8,2.964,10.45,1.376
1694,17.14,2.977,10.59,3.8360000000000003
1695,17.5,2.992,10.73,1.3159999999999998
1696,17.86,2.997,10.67,0.8290000000000001
1697,18.21,3.015,10.66,1.469
1698,18.57,3.026,10.78,0.88
1699,18.93,3.037,10.69,0.87
1700,19.28,3.058,10.66,1.551
1701,19.64,3.063,10.74,2.112
1702,20.0,3.075,10.76,2.241
1703,20.36,3.095,10.68,1.44
1704,20.71,3.103,10.66,3.773
1705,21.07,3.127,10.92,3.556
1706,21.44,3.132,10.94,0.21100000000000002
1707,21.8,3.153,10.84,4.289
1708,22.16,3.169,10.87,3.8819999999999997
1709,22.52,3.192,11.04,1.9880000000000002
1710,22.89,3.203,11.03,3.154
1711,23.25,3.219,10.8,0.937
1712,23.61,3.232,11.04,1.899
1713,23.99,3.241,11.04,3.533
1714,24.35,3.256,11.01,2.677
1715,24.72,3.277,11.11,2.099
1716,25.09,3.293,11.06,3.3289999999999997
1717,25.46,3.311,11.16,0.316
1718,25.83,3.318,11.05,1.611
1719,26.2,3.34,11.14,3.2110000000000003
1720,26.57,3.345,11.11,2.484
1721,26.94,3.373,11.14,4.894
1722,27.32,3.379,11.47,1.686
1723,27.7,3.383,11.26,3.463
1724,28.07,3.409,11.2,2.165
