t,x,y,v,a
1663,-0.04,2.165,,
1664,0.25,2.191,8.535,
1665,0.53,2.204,8.601,4.184
1666,0.82,2.23,8.751,3.1319999999999997
1667,1.11,2.238,8.816,1.946
1668,1.4,2.26,8.783999999999999,2.187
1669,1.7,2.272,8.698,1.9580000000000002
1670,1.98,2.28,8.64,4.42
1671,2.27,2.304,8.931000000000001,3.483
1672,2.58,2.317,8.955,4.1339999999999995
1673,2.87,2.338,8.937999999999999,2.101
1674,3.17,2.345,9.033,0.779
1675,3.47,2.372,8.818999999999999,3.5260000000000002
1676,3.76,2.384,8.972000000000001,2.539
1677,4.07,2.385,8.985,3.6639999999999997
1678,4.36,2.409,9.031,2.23
1679,4.67,2.419,9.048,3.142
1680,4.96,2.434,9.085,1.643
1681,5.27,2.451,9.275,1.4880000000000002
1682,5.58,2.461,9.083,0.24600000000000002
1683,5.88,2.475,9.205,76.75
1684,6.19,2.49,4.727,36.92
1685,6.19,2.488,4.697,36.45
1686,6.5,2.512,9.197000000000001,78.27
1687,6.8,2.519,9.165,2.158
1688,7.12,2.524,9.398,5.899
1689,7.43,2.55,9.529,3.987
1690,7.75,2.555,9.22,4.559
1691,8.04,2.562,9.172,4.166
1692,8.36,2.573,9.443,5.023
1693,8.67,2.592,9.443999999999999,1.804
1694,8.99,2.597,9.543,2.81
1695,9.31,2.62,9.62,2.455
1696,9.63,2.626,9.603,3.202
1697,9.95,2.631,9.56,2.443
1698,10.27,2.642,9.567,0.87
1699,10.59,2.654,9.562000000000001,1.739
1700,10.91,2.662,9.593,1.8130000000000002
1701,11.23,2.669,9.68,4.359
1702,11.55,2.684,9.842,2.197
1703,11.88,2.696,9.855,2.213
1704,12.21,2.701,9.756,3.147
1705,12.53,2.712,9.731,1.3940000000000001
1706,12.86,2.73,9.823,4.272
1707,13.19,2.731,9.911,1.599
1708,13.52,2.735,9.845,2.858
1709,13.84,2.747,9.957,2.883
1710,14.18,2.755,10.06,2.197
1711,14.51,2.766,9.859,1.663
1712,14.84,2.77,9.998,1.757
1713,15.18,2.776,10.11,3.3810000000000002
1714,15.51,2.788,9.954,1.7180000000000002
1715,15.84,2.801,10.03,2.719
1716,16.18,2.805,10.07,0.966
1717,16.51,2.814,10.09,4.27
1718,16.85,2.825,10.29,2.437
1719,17.2,2.836,10.3,2.71
1720,17.54,2.84,10.16,0.532
1721,17.88,2.845,10.3,3.987
1722,18.22,2.858,10.39,0.326
1723,18.57,2.869,10.27,2.326
1724,18.91,2.874,10.32,2.9589999999999996
1725,19.26,2.88,10.46,5.284
1726,19.61,2.882,10.6,2.9410000000000003
1727,19.96,2.898,10.54,0.608
1728,20.31,2.909,10.53,3.228
1729,20.67,2.913,10.67,1.555
1730,21.02,2.92,10.57,2.4619999999999997
1731,21.37,2.934,10.68,2.47
1732,21.73,2.944,10.77,2.972
1733,22.09,2.948,10.67,2.165
