t,x,y,v,a
1648,1.01,7.215,,
1649,1.29,7.215,8.497,
1650,1.57,7.215,8.545,2.642
1651,1.86,7.215,8.675,1.652
1652,2.15,7.219,8.673,1.4580000000000002
1653,2.44,7.216,8.697000000000001,1.202
1654,2.73,7.215,8.781,3.392
1655,3.02,7.216,8.885,2.279
1656,3.32,7.216,8.969,0.8959999999999999
1657,3.62,7.216,8.82,1.344
1658,3.91,7.217,8.832,1.719
1659,4.21,7.217,8.978,2.0269999999999997
1660,4.51,7.22,8.953,1.4880000000000002
1661,4.81,7.218,9.033,1.419
1662,5.11,7.218,9.062000000000001,1.133
1663,5.41,7.215,8.975,1.97
1664,5.71,7.219,9.137,1.881
1665,6.02,7.221,9.165,2.7969999999999997
1666,6.32,7.219,9.193999999999999,2.1319999999999997
1667,6.63,7.218,9.366,0.39799999999999996
1668,6.94,7.221,9.222999999999999,2.096
1669,7.25,7.217,9.182,1.476
1670,7.56,7.216,9.361,4.968999999999999
1671,7.87,7.216,9.482999999999999,2.565
1672,8.19,7.218,9.537,1.391
1673,8.51,7.217,9.557,0.76
1674,8.83,7.217,9.579,0.679
1675,9.15,7.217,9.525,0.544
1676,9.46,7.217,9.527000000000001,0.341
1677,9.78,7.215,9.572000000000001,2.291
1678,10.1,7.217,9.654,1.655
1679,10.42,7.216,9.709,0.48
1680,10.75,7.218,9.617,0.428
1681,11.07,7.217,9.661,2.65
1682,11.39,7.217,9.818,16.78
1683,11.72,7.216,9.148,90.47
1684,12.0,7.269,4.248,37.12
1685,12.0,7.269,4.893,56.25
1686,12.33,7.27,9.809,85.08
1687,12.65,7.27,9.866,2.101
1688,12.98,7.27,9.949,3.532
1689,13.32,7.27,10.1,0.35600000000000004
1690,13.66,7.27,9.995,1.636
1691,13.98,7.27,10.09,0.05319
1692,14.33,7.27,10.14,0.523
1693,14.66,7.27,9.999,1.196
1694,15.0,7.27,10.19,4.239
1695,15.34,7.275,10.29,3.8569999999999998
1696,15.68,7.273,10.4,1.227
1697,16.03,7.271,10.34,2.13
1698,16.37,7.271,10.21,0.392
1699,16.71,7.271,10.33,3.321
1700,17.06,7.271,10.45,4.001
1701,17.41,7.271,10.58,2.525
1702,17.76,7.27,10.65,0.243
1703,18.12,7.273,10.54,0.623
1704,18.47,7.272,10.59,1.7930000000000001
1705,18.82,7.271,10.7,2.285
1706,19.18,7.271,10.71,0.22
1707,19.54,7.271,10.71,1.159
1708,19.9,7.272,10.66,0.995
1709,20.25,7.274,10.75,0.929
1710,20.61,7.273,10.72,0.991
1711,20.96,7.272,10.69,1.706
1712,21.32,7.271,10.88,3.957
1713,21.69,7.271,10.95,1.729
1714,22.05,7.27,10.89,1.179
1715,22.42,7.276,10.85,0.745
1716,22.78,7.273,10.89,1.879
1717,23.14,7.274,10.93,0.723
1718,23.51,7.272,10.94,2.436
1719,23.87,7.272,11.07,1.62
1720,24.25,7.27,11.02,1.726
1721,24.61,7.276,10.87,1.929
1722,24.97,7.273,11.14,2.352
1723,25.35,7.271,11.1,0.907
1724,25.71,7.272,11.03,1.1840000000000002
1725,26.08,7.271,11.12,2.437
1726,26.45,7.27,11.12,0.7609999999999999
1727,26.83,7.274,11.13,1.629
1728,27.19,7.272,11.16,1.173
1729,27.57,7.271,11.19,1.4880000000000002
1730,27.94,7.271,11.19,0.965
1731,28.32,7.272,11.19,1.624
1732,28.69,7.272,11.25,0.494
1733,29.06,7.271,11.25,0.851
1734,29.44,7.271,11.13,1.207
1735,29.81,7.271,11.33,0.917
1736,30.19,7.271,11.28,0.895
1737,30.56,7.271,11.16,1.091
1738,30.93,7.271,11.27,2.249
1739,31.31,7.271,11.28,1.285
1740,31.69,7.271,11.35,0.789
1741,32.07,7.271,11.35,7.382000000000001
1742,32.44,7.27,11.31,11.03
1743,32.82,7.299,11.03,23.54
1744,33.18,7.32,9.882,7.9110000000000005
1745,33.48,7.352,10.28,21.98
1746,33.86,7.352,11.64,23.5
1747,34.25,7.352,11.6,0.424
1748,34.64,7.352,11.6,0.636
1749,35.03,7.352,11.71,0.364
1750,35.42,7.352,11.61,1.0979999999999999
1751,35.8,7.352,11.73,1.7590000000000001
1752,36.2,7.352,11.81,1.358
1753,36.59,7.352,11.75,1.55
1754,36.98,7.352,11.75,0.348
1755,37.37,7.352,11.74,0.304
1756,37.76,7.351,11.76,0.048369999999999996
1757,38.15,7.352,11.72,0.298
1758,38.55,7.351,11.77,2.323
1759,38.94,7.352,11.89,4.274
1760,39.34,7.351,12.05,0.825
1761,39.74,7.352,11.99,2.14
1762,40.14,7.352,12.09,0.3
1763,40.55,7.352,12.14,1.518
1764,40.95,7.352,11.89,0.5579999999999999
1765,41.34,7.352,12.16,4.408
1766,41.76,7.352,12.29,1.933
1767,42.16,7.352,11.97,3.398
1768,42.55,7.352,12.01,3.528
1769,42.96,7.352,12.28,3.3310000000000004
1770,43.37,7.352,12.23,0.8490000000000001
1771,43.78,7.352,12.28,1.7080000000000002
1772,44.19,7.352,12.21,0.665
1773,44.59,7.352,12.13,0.149
1774,45.0,7.352,12.28,1.531
1775,45.41,7.352,12.04,3.343
1776,45.8,7.352,11.97,2.9589999999999996
1777,46.21,7.352,12.3,6.824
1778,46.62,7.352,12.45,1.393
1779,47.04,7.35,12.21,2.638
1780,47.44,7.352,12.19,2.725
1781,47.85,7.352,12.47,1.629
1782,48.27,7.352,12.32,1.775
1783,48.67,7.352,12.25,0.7909999999999999
1784,49.08,7.352,12.44,2.08
1785,49.5,7.352,12.39,0.254
1786,49.91,7.352,12.41,1.5019999999999998
1787,50.33,7.352,12.53,2.6689999999999996
1788,50.75,7.352,12.26,2.765
1789,51.15,7.352,12.23,1.6980000000000002
1790,51.56,7.352,12.48,2.369
1791,51.98,7.352,12.37,0.475
1792,52.39,7.351,12.45,1.051
1793,52.81,7.352,12.43,1.226
1794,53.21,7.354,12.41,1.092
1795,53.63,7.353,12.48,1.8430000000000002
1796,54.05,7.353,12.44,2.533
1797,54.46,7.352,12.67,5.32
1798,54.89,7.351,12.82,0.955
1799,55.32,7.351,12.73,0.935
1800,55.74,7.351,12.72,1.3880000000000001
1801,56.17,7.351,12.83,1.3619999999999999
1802,56.6,7.348,12.81,2.3930000000000002
1803,57.02,7.35,12.68,1.237
1804,57.44,7.351,12.72,2.371
1805,57.87,7.351,12.88,2.5980000000000003
1806,58.3,7.352,12.89,2.339
1807,58.73,7.352,12.73,3.051
1808,59.15,7.352,13.0,5.487
1809,59.59,7.352,13.25,1.99
1810,60.03,7.352,13.04,4.81
1811,60.46,7.351,12.94,1.063
1812,60.89,7.352,13.08,2.463
1813,61.34,7.352,13.17,1.253
1814,61.77,7.352,12.96,4.426
1815,62.2,7.352,12.85,3.147
1816,62.63,7.352,12.79,2.722
1817,63.05,7.351,12.97,9.078
1818,63.49,7.353,13.45,5.349
1819,63.95,7.353,13.39,4.779
1820,64.39,7.353,13.04,
1821,64.82,7.353,,
