t,x,y
4168,0.13,2.78
4169,0.46,2.794
4170,0.8,2.814
4171,1.14,2.827
4172,1.47,2.849
4173,1.81,2.86
4174,2.15,2.884
4175,2.49,2.892
4176,2.83,2.91
4177,3.17,2.924
4178,3.51,2.942
4179,3.85,2.957
4180,4.2,2.968
4181,4.54,2.99
4182,4.87,2.996
4183,5.22,3.024
4184,5.55,3.029
4185,5.89,3.035
4186,6.23,3.049
4187,6.58,3.065
4188,6.92,3.085
4189,7.26,3.098
4190,7.6,3.104
4191,7.95,3.129
4192,8.29,3.136
4193,8.62,3.143
4194,8.97,3.16
4195,9.3,3.17
4196,9.65,3.188
4197,9.99,3.2
4198,10.33,3.207
4199,10.67,3.21
4200,11.02,3.233
4201,11.36,3.241
4202,11.69,3.25
4203,12.04,3.266
4204,12.38,3.278
4205,12.72,3.292
4206,13.06,3.304
4207,13.41,3.313
4208,13.74,3.321
4209,14.09,3.336
4210,14.43,3.346
4211,14.77,3.351
4212,15.11,3.368
4213,15.46,3.382
4214,15.8,3.386
4215,16.14,3.405
4216,16.48,3.415
4217,16.83,3.42
4218,17.17,3.424
4219,17.52,3.443
4220,17.86,3.454
4221,18.2,3.46
4222,18.54,3.461
4223,18.89,3.48
4224,19.24,3.49
4225,19.58,3.495
4226,19.93,3.511
4227,20.27,3.519
4228,20.62,3.526
4229,20.96,3.532
4230,21.31,3.549
4231,21.66,3.559
4232,22.0,3.563
4233,22.35,3.568
4234,22.69,3.577
4235,23.04,3.588
4236,23.38,3.594
4237,23.73,3.6
4238,24.06,3.606
4239,24.41,3.612
4240,24.77,3.645
4241,25.2,3.685
4242,25.54,3.692
4243,25.88,3.691
4244,26.22,3.698
4245,26.57,3.702
4246,26.92,3.709
4247,27.25,3.717
4248,27.59,3.72
4249,27.93,3.722
4250,28.27,3.726
4251,28.61,3.727
4252,28.95,3.727
4253,29.28,3.733
4254,29.61,3.743
4255,29.94,3.745
4256,30.28,3.753
4257,30.61,3.756
4258,30.93,3.757
4259,31.26,3.762
4260,31.59,3.768
4261,31.91,3.776
4262,32.24,3.785
4263,32.56,3.788
4264,32.88,3.79
4265,33.21,3.792
4266,33.53,3.793
4267,33.86,3.793
4268,34.18,3.793
4269,34.51,3.793
4270,34.83,3.796
4271,35.16,3.795
4272,35.5,3.793
4273,35.83,3.791
4274,36.16,3.793
4275,36.49,3.792
4276,36.83,3.791
4277,37.16,3.791
4278,37.5,3.789
4279,37.83,3.791
4280,38.18,3.792
4281,38.52,3.792
4282,38.86,3.79
4283,39.2,3.792
4284,39.54,3.791
4285,39.88,3.795
4286,40.23,3.792
4287,40.57,3.79
4288,40.92,3.787
4289,41.28,3.79
4290,41.62,3.79
4291,41.97,3.788
4292,42.32,3.788
4293,42.67,3.79
4294,43.02,3.793
4295,43.38,3.787
4296,43.73,3.788
4297,44.08,3.792
4298,44.43,3.787
4299,44.78,3.788
4300,45.13,3.794
4301,45.48,3.8
4302,45.83,3.809
4303,46.19,3.814
4304,46.54,3.819
4305,46.89,3.821
4306,47.24,3.819
4307,47.6,3.821
4308,47.94,3.821
4309,48.29,3.823
4310,48.64,3.839
4311,48.99,3.841
4312,49.34,3.848
4313,49.69,3.855
4314,50.03,3.861
4315,50.38,3.859
4316,50.73,3.878
4317,51.07,3.885
4318,51.42,3.887
4319,51.78,3.894
4320,52.12,3.893
4321,52.47,3.915
4322,52.83,3.919
4323,53.18,3.926
4324,53.53,3.922
4325,53.88,3.932
4326,54.24,3.945
4327,54.58,3.952
4328,54.93,3.955
4329,55.28,3.963
4330,55.62,3.959
4331,55.97,3.969
4332,56.33,3.987
4333,56.68,3.992
4334,57.03,3.991
4335,57.38,3.997
4336,57.75,4.008
4337,58.09,4.027
4338,58.43,4.027
4339,58.78,4.034
4340,59.15,4.053
4341,59.5,4.061
4342,59.84,4.064
4343,60.2,4.084
4344,60.54,4.139
4345,60.89,4.149
4346,61.26,4.163
4347,61.62,4.173
4348,61.96,4.177
4349,62.31,4.184
4350,62.67,4.185
4351,63.03,4.206
4352,63.39,4.209
4353,63.76,4.208
4354,64.12,4.211
4355,64.47,4.219
4356,64.84,4.225
4357,65.2,4.23
4358,65.58,4.239
4359,65.95,4.244
4360,66.31,4.249
4361,66.68,4.249
