t,x,y
2,0.98,5.758
3,1.35,5.762
4,1.71,5.766
5,2.08,5.77
6,2.45,5.786
7,2.82,5.79
8,3.19,5.794
9,3.58,5.794
10,3.95,5.793
11,4.33,5.797
12,4.71,5.806
13,5.09,5.812
14,5.48,5.818
15,5.86,5.823
16,6.25,5.828
17,6.64,5.827
18,7.04,5.828
19,7.42,5.834
20,7.82,5.829
21,8.22,5.832
22,8.61,5.828
23,9.01,5.83
24,9.41,5.829
25,9.82,5.828
26,10.22,5.83
27,10.62,5.83
28,11.03,5.826
29,11.44,5.832
30,11.85,5.827
31,12.25,5.827
32,12.67,5.829
33,13.08,5.827
34,13.49,5.829
35,13.9,5.826
36,14.33,5.828
37,14.76,5.829
38,15.18,5.825
39,15.59,5.824
40,16.02,5.831
41,16.45,5.829
42,16.88,5.829
43,17.31,5.828
44,17.75,5.825
45,18.19,5.826
46,18.62,5.827
47,19.06,5.823
48,19.5,5.827
49,19.93,5.827
50,20.37,5.824
51,20.82,5.826
52,21.26,5.825
53,21.7,5.828
54,22.15,5.83
55,22.6,5.825
56,23.05,5.834
57,23.5,5.843
58,23.95,5.851
59,24.4,5.852
60,24.86,5.853
61,25.32,5.907
62,25.76,5.905
63,26.22,5.909
64,26.67,5.907
65,27.12,5.913
66,27.58,5.917
67,28.03,5.912
68,28.49,5.913
69,28.94,5.913
70,29.4,5.912
71,29.86,5.911
72,30.32,5.911
73,30.77,5.91
74,31.24,5.908
75,31.7,5.907
76,32.15,5.979
77,32.62,5.981
78,33.08,5.982
79,33.54,5.982
80,34.01,5.982
81,34.48,5.982
82,34.94,5.981
83,35.4,5.98
84,35.87,5.979
85,36.34,5.978
86,36.8,5.979
87,37.27,5.98
88,37.75,5.978
89,38.21,5.977
90,38.69,5.977
91,39.17,5.978
92,39.65,5.975
93,40.13,5.975
94,40.62,5.977
95,41.1,5.975
96,41.59,5.975
97,42.07,5.977
98,42.57,5.978
99,43.05,5.975
100,43.54,5.981
101,44.03,5.978
102,44.52,5.978
103,45.02,5.977
104,45.5,5.98
105,45.99,5.987
106,46.48,5.984
107,46.87,6.038
108,47.35,6.04
109,47.84,6.041
110,48.32,6.046
111,48.81,6.063
112,49.3,6.065
113,49.78,6.061
114,50.26,6.066
115,50.74,6.073
116,51.23,6.075
117,51.71,6.074
118,52.18,6.081
119,52.67,6.097
120,53.15,6.102
121,53.64,6.114
122,54.12,6.115
123,54.6,6.112
124,55.09,6.132
125,55.57,6.14
126,56.04,6.143
127,56.51,6.139
128,57.0,6.152
129,57.48,6.152
130,57.96,6.157
131,58.45,6.161
132,58.93,6.168
133,59.42,6.177
134,59.9,6.175
135,60.39,6.182
136,60.88,6.179
137,61.37,6.183
138,61.85,6.186
139,62.34,6.184
140,62.82,6.178
141,63.31,6.188
142,63.8,6.188
143,64.3,6.196
144,64.8,6.202
145,65.28,6.198
146,65.78,6.206
147,66.27,6.21
148,66.77,6.207
