t,x,y
2,14.93,3.656
3,15.29,3.656
4,15.65,3.655
5,16.02,3.654
6,16.39,3.654
7,16.75,3.656
8,17.12,3.654
9,17.49,3.654
10,17.86,3.654
11,18.24,3.655
12,18.61,3.656
13,18.98,3.656
14,19.36,3.654
15,19.74,3.654
16,20.12,3.656
17,20.5,3.655
18,20.88,3.655
19,21.26,3.66
20,21.65,3.657
21,22.03,3.658
22,22.42,3.657
23,22.8,3.662
24,23.19,3.6639999999999997
25,23.58,3.6630000000000003
26,23.96,3.673
27,24.35,3.682
28,24.74,3.6839999999999997
29,25.13,3.688
30,25.52,3.6910000000000003
31,25.9,3.693
32,26.29,3.695
33,26.68,3.7030000000000003
34,27.08,3.718
35,27.47,3.722
36,27.86,3.725
37,28.26,3.728
38,28.64,3.7319999999999998
39,29.03,3.74
40,29.43,3.7510000000000003
41,29.82,3.7539999999999996
42,30.22,3.76
43,30.61,3.766
44,31.01,3.765
45,31.41,3.775
46,31.8,3.785
47,32.19,3.79
48,32.59,3.7960000000000003
49,32.99,3.799
50,33.4,3.801
51,33.8,3.807
52,34.2,3.821
53,34.59,3.825
54,35.0,3.8289999999999997
55,35.4,3.832
56,35.8,3.839
57,36.2,3.8489999999999998
58,36.61,3.859
59,37.02,3.86
60,37.43,3.865
61,37.84,3.878
62,38.25,3.889
63,38.66,3.895
64,39.07,3.9010000000000002
65,39.49,3.923
66,39.9,3.93
67,40.32,3.937
68,40.74,3.957
69,41.16,3.965
70,41.58,3.97
71,42.0,3.985
72,42.42,3.998
73,42.85,4.003
74,43.28,4.021
75,43.7,4.035
76,44.12,4.043
77,44.55,4.063
78,44.98,4.072
79,45.4,4.09
80,45.82,4.1080000000000005
81,46.25,4.117
82,46.68,4.138
83,47.11,4.147
84,47.54,4.169
85,47.97,4.178
86,48.39,4.204
87,48.81,4.217
88,49.24,4.243
89,49.67,4.252
90,50.1,4.277
91,50.53,4.2860000000000005
92,50.96,4.3069999999999995
93,51.39,4.323
94,51.82,4.338
95,52.31,4.4030000000000005
96,52.73,4.428
97,53.17,4.453
98,53.64,4.459
99,54.05,4.485
100,54.48,4.504
101,54.91,4.497
102,55.36,4.535
103,55.84,4.535
104,56.26,4.522
105,56.67,4.572
106,57.09,4.604
107,57.54,4.578
108,57.98,4.5969999999999995
109,58.44,4.6160000000000005
110,58.89,4.628
111,59.28,4.628
112,59.8,4.641
113,60.22,4.672
114,60.66,4.685
115,61.07,4.684
116,61.59,4.71
117,61.99,4.716
118,62.43,4.716
119,62.84,4.747
120,63.28,4.696000000000001
121,63.65,4.74
122,64.13,4.74
123,64.56,4.752
124,65.1,4.765
125,65.48,4.803
126,65.9,4.796
127,66.33,4.796
128,66.78,4.815
