t,x,y
3927,0.02,5.175
3928,0.54,5.175
3929,1.06,5.173
3930,1.58,5.179
3931,2.11,5.182
3932,2.64,5.177
3933,3.16,5.178
3934,3.68,5.181
3935,4.2,5.183
3936,4.74,5.179
3937,5.26,5.183
3938,5.78,5.179
3939,6.32,5.187
3940,6.86,5.182
3941,7.38,5.183
3942,7.92,5.178
3943,8.46,5.184
3944,9.0,5.189
3945,9.54,5.2
3946,10.08,5.206
3947,10.62,5.206
3948,11.16,5.207
3949,11.7,5.21
3950,12.24,5.209
3951,12.78,5.209
3952,13.32,5.212
3953,13.87,5.21
3954,14.41,5.209
3955,14.95,5.217
3956,15.49,5.218
3957,16.04,5.213
3958,16.58,5.212
3959,17.13,5.216
3960,17.67,5.219
3961,18.21,5.232
3962,18.76,5.236
3963,19.31,5.237
3964,19.86,5.242
3965,20.41,5.252
3966,20.96,5.25
3967,21.52,5.258
3968,22.07,5.268
3969,22.62,5.27
3970,23.16,5.273
3971,23.71,5.282
3972,24.26,5.286
3973,24.82,5.292
3974,25.37,5.303
3975,25.92,5.304
3976,26.47,5.306
3977,27.01,5.312
3978,27.55,5.317
3979,28.1,5.325
3980,28.64,5.332
3981,29.18,5.337
3982,29.72,5.341
3983,30.26,5.344
3984,30.8,5.344
3985,31.34,5.342
3986,31.88,5.351
3987,32.42,5.361
3988,32.96,5.369
3989,33.51,5.371
3990,34.05,5.371
3991,34.59,5.372
3992,35.14,5.375
3993,35.68,5.382
3994,36.23,5.377
3995,36.78,5.375
3996,37.33,5.383
3997,37.88,5.387
3998,38.43,5.397
3999,38.99,5.399
4000,39.5,5.431
4001,39.98,5.495
4002,40.44,5.524
4003,41.01,5.523
4004,41.56,5.523
4005,42.13,5.524
4006,42.7,5.524
4007,43.28,5.524
4008,43.85,5.524
4009,44.43,5.525
4010,45.01,5.523
4011,45.58,5.523
4012,46.16,5.524
4013,46.73,5.525
4014,47.29,5.523
4015,47.87,5.522
4016,48.44,5.522
4017,49.02,5.522
4018,49.59,5.522
4019,50.17,5.52
4020,50.74,5.52
4021,51.32,5.52
4022,51.89,5.518
4023,52.47,5.516
4024,53.03,5.517
4025,53.61,5.514
4026,54.19,5.513
4027,54.76,5.512
4028,55.34,5.509
4029,55.91,5.512
4030,56.49,5.51
4031,57.06,5.509
4032,57.63,5.509
4033,58.22,5.509
4034,58.8,5.507
4035,59.38,5.505
4036,59.95,5.5
4037,60.53,5.506
4038,61.11,5.507
4039,61.7,5.502
4040,62.27,5.506
4041,62.84,5.504
4042,63.42,5.497
4043,64.01,5.505
4044,64.6,5.5
4045,65.18,5.499
4046,65.77,5.499
4047,66.36,5.503
4048,66.94,5.499
