t,x,y
3014,-0.34,2.463
3015,-0.08,2.464
3016,0.16,2.467
3017,0.41,2.471
3018,0.67,2.481
3019,0.91,2.497
3020,1.16,2.499
3021,1.42,2.503
3022,1.68,2.502
3023,1.93,2.509
3024,2.18,2.522
3025,2.44,2.528
3026,2.7,2.533
3027,2.95,2.537
3028,3.2,2.536
3029,3.47,2.535
3030,3.72,2.542
3031,3.98,2.539
3032,4.24,2.537
3033,4.5,2.541
3034,4.77,2.547
3035,5.03,2.538
3036,5.29,2.539
3037,5.55,2.552
3038,5.82,2.551
3039,6.08,2.563
3040,6.34,2.565
3041,6.61,2.566
3042,6.88,2.568
3043,7.14,2.573
3044,7.42,2.571
3045,7.68,2.571
3046,7.95,2.569
3047,8.22,2.575
3048,8.5,2.577
3049,8.74,2.591
3050,9.01,2.6
3051,9.29,2.602
3052,9.55,2.604
3053,9.83,2.603
3054,10.1,2.61
3055,10.38,2.608
3056,10.64,2.616
3057,10.89,2.631
3058,11.17,2.634
3059,11.45,2.637
3060,11.72,2.639
3061,12.0,2.645
3062,12.26,2.653
3063,12.51,2.664
3064,12.8,2.671
3065,13.06,2.674
3066,13.34,2.675
3067,13.62,2.678
3068,13.88,2.701
3069,14.15,2.708
3070,14.42,2.708
3071,14.7,2.709
3072,14.98,2.71
3073,15.26,2.721
3074,15.53,2.731
3075,15.79,2.741
3076,16.08,2.742
3077,16.35,2.745
3078,16.63,2.746
3079,16.91,2.757
3080,17.18,2.775
3081,17.45,2.777
3082,17.74,2.78
3083,18.02,2.786
3084,18.28,2.807
3085,18.56,2.812
3086,18.86,2.816
3087,19.14,2.822
3088,19.4,2.846
3089,19.69,2.849
3090,19.98,2.854
3091,20.24,2.877
3092,20.52,2.885
3093,20.81,2.89
3094,21.08,2.905
3095,21.36,2.963
3096,21.58,3.019
3097,21.87,3.024
3098,22.15,3.046
3099,22.44,3.057
3100,22.73,3.078
3101,23.02,3.09
3102,23.29,3.12
3103,23.57,3.131
3104,23.86,3.157
3105,24.14,3.166
3106,24.42,3.185
3107,24.72,3.204
3108,24.98,3.234
3109,25.27,3.242
3110,25.55,3.267
3111,25.84,3.276
3112,26.11,3.306
3113,26.39,3.317
3114,26.67,3.337
3115,26.96,3.347
3116,27.23,3.364
3117,27.51,3.384
3118,27.79,3.408
3119,28.08,3.419
3120,28.36,3.442
3121,28.65,3.451
3122,28.94,3.465
3123,29.21,3.484
3124,29.49,3.499
3125,29.77,3.517
3126,30.06,3.527
3127,30.33,3.551
3128,30.61,3.56
3129,30.89,3.573
3130,31.18,3.59
3131,31.47,3.6
3132,31.74,3.624
3133,32.02,3.632
3134,32.3,3.65
3135,32.59,3.663
3136,32.88,3.675
3137,33.16,3.689
3138,33.45,3.699
3139,33.73,3.706
3140,34.02,3.708
3141,34.31,3.711
3142,34.6,3.712
3143,34.88,3.715
3144,35.18,3.728
3145,35.47,3.735
3146,35.75,3.751
3147,36.05,3.769
3148,36.34,3.773
3149,36.63,3.78
3150,36.92,3.793
3151,37.21,3.803
3152,37.49,3.808
3153,37.78,3.822
3154,38.07,3.837
3155,38.36,3.845
3156,38.66,3.853
3157,38.95,3.865
3158,39.24,3.875
3159,39.53,3.88
3160,39.83,3.886
3161,40.13,3.892
3162,40.42,3.905
3163,40.71,3.909
3164,41.01,3.913
3165,41.31,3.922
3166,41.6,3.935
3167,41.9,3.942
3168,42.19,3.945
3169,42.5,3.952
3170,42.8,3.954
3171,43.1,3.965
3172,43.4,3.977
3173,43.7,3.981
3174,44.0,3.986
3175,44.31,3.989
3176,44.6,3.99
3177,44.9,3.991
3178,45.21,3.995
3179,45.5,4.008
3180,45.82,4.011
3181,46.12,4.013
3182,46.42,4.012
3183,46.73,4.012
3184,47.03,4.018
3185,47.34,4.025
3186,47.63,4.022
3187,47.93,4.021
3188,48.24,4.021
3189,48.54,4.023
3190,48.84,4.021
3191,49.14,4.015
3192,49.44,4.015
3193,49.75,4.013
3194,50.05,4.014
3195,50.36,4.012
3196,50.66,4.011
3197,50.96,4.012
3198,51.27,4.009
3199,51.57,4.011
3200,51.86,4.013
3201,52.18,4.009
3202,52.47,4.008
3203,52.77,4.007
3204,53.08,4.008
3205,53.37,4.009
3206,53.68,3.998
3207,53.98,4.004
3208,54.28,4.008
3209,54.6,3.99
3210,54.91,3.978
3211,55.21,3.978
3212,55.51,3.976
3213,55.82,3.969
3214,56.12,3.972
3215,56.41,3.969
3216,56.72,3.965
3217,57.04,3.939
3218,57.34,3.941
3219,57.65,3.931
3220,57.95,3.932
3221,58.26,3.927
3222,58.56,3.928
3223,58.88,3.906
3224,59.18,3.902
3225,59.5,3.895
3226,59.8,3.89
3227,60.11,3.885
3228,60.44,3.87
3229,60.74,3.866
3230,61.05,3.862
3231,61.34,3.861
3232,61.63,3.854
3233,61.97,3.839
3234,62.27,3.823
3235,62.58,3.823
3236,62.88,3.817
3237,63.2,3.812
3238,63.52,3.798
3239,63.83,3.791
3240,64.13,3.789
3241,64.44,3.779
3242,64.76,3.78
3243,65.06,3.778
3244,65.38,3.755
3245,65.7,3.751
3246,66.01,3.748
3247,66.33,3.728
3248,66.64,3.718
3249,66.93,3.714
