t,x,y
4259,-0.18,2.97
4260,0.08,2.982
4261,0.36,2.986
4262,0.64,2.987
4263,0.9,3.002
4264,1.19,3.005
4265,1.45,3.036
4266,1.73,3.039
4267,2.01,3.041
4268,2.28,3.062
4269,2.56,3.074
4270,2.84,3.077
4271,3.11,3.107
4272,3.39,3.109
4273,3.67,3.11
4274,3.94,3.143
4275,4.22,3.148
4276,4.5,3.148
4277,4.76,3.166
4278,5.05,3.172
4279,5.33,3.179
4280,5.6,3.198
4281,5.88,3.208
4282,6.16,3.213
4283,6.44,3.219
4284,6.71,3.244
4285,7.0,3.252
4286,7.28,3.255
4287,7.57,3.259
4288,7.84,3.284
4289,8.12,3.289
4290,8.4,3.29
4291,8.69,3.292
4292,8.97,3.29
4293,9.24,3.32
4294,9.53,3.326
4295,9.81,3.326
4296,10.1,3.327
4297,10.38,3.333
4298,10.67,3.336
4299,10.95,3.342
4300,11.25,3.353
4301,11.53,3.358
4302,11.82,3.365
4303,12.11,3.369
4304,12.4,3.37
4305,12.69,3.381
4306,12.97,3.385
4307,13.26,3.391
4308,13.55,3.395
4309,13.85,3.398
4310,14.14,3.402
4311,14.42,3.402
4312,14.71,3.405
4313,15.0,3.422
4314,15.29,3.428
4315,15.58,3.429
4316,15.87,3.431
4317,16.16,3.437
4318,16.45,3.447
4319,16.74,3.46
4320,17.03,3.464
4321,17.32,3.468
4322,17.61,3.475
4323,17.9,3.479
4324,18.19,3.485
4325,18.48,3.497
4326,18.77,3.502
4327,19.06,3.512
4328,19.35,3.507
4329,19.66,3.516
4330,19.95,3.526
4331,20.24,3.535
4332,20.54,3.544
4333,20.84,3.542
4334,21.14,3.553
4335,21.43,3.568
4336,21.73,3.574
4337,22.03,3.579
4338,22.33,3.59
4339,22.62,3.603
4340,22.92,3.611
4341,23.22,3.615
4342,23.52,3.626
4343,23.81,3.64
4344,24.12,3.643
4345,24.42,3.65
4346,24.71,3.667
4347,25.01,3.676
4348,25.31,3.679
4349,25.61,3.702
4350,25.9,3.711
4351,26.2,3.719
4352,26.5,3.727
4353,26.8,3.735
4354,27.1,3.747
4355,27.39,3.756
4356,27.7,3.761
4357,27.99,3.776
4358,28.29,3.784
4359,28.6,3.787
4360,28.9,3.798
4361,29.19,3.812
4362,29.49,3.821
4363,29.79,3.825
4364,30.09,3.845
4365,30.38,3.853
4366,30.68,3.86
4367,30.99,3.872
4368,31.28,3.886
4369,31.59,3.893
4370,31.89,3.911
4371,32.18,3.923
4372,32.49,3.931
4373,32.78,3.939
4374,33.08,3.955
4375,33.38,3.961
4376,33.68,3.969
4377,33.99,3.988
4378,34.28,3.997
4379,34.59,4.001
4380,34.89,4.017
4381,35.2,4.031
4382,35.5,4.037
4383,35.8,4.046
4384,36.11,4.062
4385,36.41,4.068
4386,36.72,4.074
4387,37.02,4.089
4388,37.34,4.101
4389,37.63,4.107
4390,37.95,4.128
4391,38.26,4.136
4392,38.57,4.143
4393,38.89,4.15
4394,39.19,4.165
4395,39.5,4.172
4396,39.82,4.176
4397,40.13,4.185
4398,40.44,4.2
4399,40.76,4.207
4400,41.07,4.212
4401,41.38,4.224
4402,41.7,4.234
4403,42.02,4.241
4404,42.33,4.246
4405,42.65,4.253
4406,42.97,4.265
4407,43.29,4.275
4408,43.6,4.278
4409,43.93,4.282
4410,44.25,4.288
4411,44.57,4.292
4412,44.89,4.302
4413,45.21,4.31
4414,45.53,4.312
4415,45.85,4.316
4416,46.17,4.317
4417,46.48,4.324
4418,46.8,4.322
4419,47.12,4.323
4420,47.44,4.334
4421,47.76,4.34
4422,48.09,4.347
4423,48.41,4.346
4424,48.71,4.349
4425,49.03,4.348
4426,49.35,4.352
4427,49.68,4.349
4428,49.99,4.353
4429,50.32,4.35
4430,50.64,4.351
4431,50.96,4.348
4432,51.27,4.35
4433,51.59,4.347
4434,51.92,4.345
4435,52.24,4.345
4436,52.56,4.345
4437,52.89,4.343
4438,53.21,4.343
4439,53.54,4.343
4440,53.86,4.337
4441,54.19,4.341
4442,54.51,4.34
4443,54.83,4.34
4444,55.16,4.336
4445,55.49,4.33
4446,55.81,4.335
4447,56.13,4.337
4448,56.46,4.331
4449,56.78,4.323
4450,57.11,4.309
4451,57.43,4.306
4452,57.76,4.306
4453,58.08,4.304
4454,58.41,4.301
4455,58.73,4.296
4456,59.06,4.297
4457,59.38,4.285
4458,59.71,4.27
4459,60.03,4.265
4460,60.37,4.269
4461,60.69,4.27
4462,61.01,4.264
4463,61.34,4.256
4464,61.66,4.242
4465,61.99,4.236
4466,62.31,4.232
4467,62.64,4.227
4468,62.96,4.225
4469,63.3,4.222
4470,63.62,4.213
4471,63.96,4.203
4472,64.29,4.202
4473,64.62,4.193
4474,64.94,4.19
4475,65.27,4.181
4476,65.59,4.185
4477,65.93,4.172
4478,66.27,4.161
4479,66.6,4.159
4480,66.93,4.154
