t,x,y
4144,-0.56,3.697
4145,-0.19,3.695
4146,0.19,3.702
4147,0.56,3.707
4148,0.94,3.705
4149,1.31,3.705
4150,1.68,3.711
4151,2.05,3.706
4152,2.43,3.704
4153,2.8,3.704
4154,3.17,3.711
4155,3.55,3.71
4156,3.92,3.707
4157,4.3,3.707
4158,4.67,3.704
4159,5.04,3.706
4160,5.43,3.718
4161,5.8,3.72
4162,6.18,3.732
4163,6.55,3.731
4164,6.94,3.743
4165,7.32,3.742
4166,7.7,3.753
4167,8.08,3.761
4168,8.46,3.765
4169,8.83,3.769
4170,9.21,3.782
4171,9.59,3.794
4172,9.97,3.801
4173,10.35,3.806
4174,10.73,3.807
4175,11.12,3.809
4176,11.5,3.806
4177,11.88,3.814
4178,12.26,3.806
4179,12.64,3.806
4180,13.02,3.803
4181,13.4,3.81
4182,13.77,3.813
4183,14.16,3.824
4184,14.55,3.828
4185,14.93,3.83
4186,15.31,3.834
4187,15.69,3.836
4188,16.07,3.84
4189,16.45,3.837
4190,16.83,3.838
4191,17.22,3.853
4192,17.61,3.856
4193,17.99,3.866
4194,18.38,3.869
4195,18.75,3.869
4196,19.14,3.879
4197,19.53,3.893
4198,19.91,3.895
4199,20.3,3.901
4200,20.69,3.909
4201,21.08,3.925
4202,21.46,3.932
4203,21.84,3.937
4204,22.24,3.944
4205,22.62,3.953
4206,23.0,3.969
4207,23.39,3.975
4208,23.77,3.98
4209,24.16,3.992
4210,24.55,4.005
4211,24.94,4.01
4212,25.32,4.019
4213,25.71,4.032
4214,26.1,4.041
4215,26.48,4.044
4216,26.86,4.051
4217,27.26,4.068
4218,27.65,4.076
4219,28.03,4.08
4220,28.41,4.09
4221,28.81,4.1
4222,29.19,4.109
4223,29.58,4.113
4224,29.97,4.12
4225,30.35,4.137
4226,30.74,4.144
4227,31.12,4.146
4228,31.51,4.152
4229,31.89,4.159
4230,32.28,4.17
4231,32.67,4.179
4232,33.06,4.183
4233,33.44,4.184
4234,33.82,4.188
4235,34.22,4.2
4236,34.6,4.212
4237,34.98,4.217
4238,35.37,4.218
4239,35.76,4.222
4240,36.15,4.228
4241,36.54,4.236
4242,36.9,4.261
4243,37.16,4.282
4244,37.56,4.286
4245,37.95,4.288
4246,38.33,4.293
4247,38.72,4.301
4248,39.11,4.311
4249,39.5,4.314
4250,39.88,4.317
4251,40.27,4.318
4252,40.66,4.318
4253,41.04,4.319
4254,41.42,4.323
4255,41.81,4.32
4256,42.19,4.325
4257,42.58,4.326
4258,42.97,4.32
4259,43.34,4.322
4260,43.73,4.327
4261,44.12,4.326
4262,44.5,4.329
4263,44.86,4.349
4264,45.15,4.366
4265,45.54,4.367
4266,45.93,4.367
4267,46.3,4.368
4268,46.7,4.367
4269,47.07,4.368
4270,47.45,4.37
4271,47.82,4.369
4272,48.21,4.367
4273,48.58,4.367
4274,48.96,4.368
4275,49.33,4.367
4276,49.7,4.366
4277,50.07,4.366
4278,50.45,4.364
4279,50.82,4.367
4280,51.19,4.368
4281,51.57,4.364
4282,51.94,4.364
4283,52.3,4.363
4284,52.67,4.361
4285,53.05,4.362
4286,53.41,4.361
4287,53.77,4.36
4288,54.14,4.359
4289,54.52,4.359
4290,54.89,4.36
4291,55.25,4.357
4292,55.61,4.358
4293,55.97,4.357
4294,56.33,4.358
4295,56.72,4.346
4296,57.08,4.352
4297,57.45,4.35
4298,57.81,4.342
4299,58.18,4.341
4300,58.54,4.349
4301,58.9,4.349
4302,59.26,4.339
4303,59.63,4.33
4304,59.98,4.325
4305,60.34,4.329
4306,60.7,4.324
4307,61.06,4.319
4308,61.42,4.305
4309,61.79,4.3
4310,62.14,4.298
4311,62.5,4.281
4312,62.87,4.274
4313,63.22,4.273
4314,63.58,4.261
4315,63.94,4.246
4316,64.3,4.242
4317,64.65,4.236
4318,65.01,4.215
4319,65.38,4.208
4320,65.73,4.199
4321,66.08,4.198
4322,66.44,4.176
4323,66.79,4.169
