t,x,y
4143,0.33,6.908
4144,0.81,6.929
4145,1.29,6.842
4146,1.77,6.897
4147,2.27,6.816
4148,2.75,6.845
4149,3.24,6.815
4150,3.72,6.88
4151,4.21,6.811
4152,4.7,6.847
4153,5.18,6.808
4154,5.67,6.847
4155,6.17,6.81
4156,6.64,6.825
4157,7.14,6.804
4158,7.63,6.811
4159,8.12,6.776
4160,8.62,6.774
4161,9.1,6.774
4162,9.6,6.77
4163,10.09,6.766
4164,10.59,6.773
4165,11.08,6.743
4166,11.58,6.736
4167,12.06,6.811
4168,12.56,6.738
4169,13.04,6.812
4170,13.53,6.732
4171,14.01,6.79
4172,14.5,6.718
4173,14.98,6.779
4174,15.48,6.712
4175,15.97,6.692
4176,16.45,6.695
4177,16.94,6.751
4178,17.43,6.698
4179,17.9,6.732
4180,18.4,6.659
4181,18.88,6.712
4182,19.35,6.712
4183,19.84,6.643
4184,20.32,6.7
4185,20.81,6.623
4186,21.29,6.624
4187,21.76,6.667
4188,22.24,6.678
4189,22.72,6.586
4190,23.2,6.584
4191,23.67,6.66
4192,24.14,6.624
4193,24.61,6.623
4194,25.08,6.625
4195,25.55,6.625
4196,26.02,6.608
4197,26.48,6.606
4198,26.95,6.586
4199,27.42,6.531
4200,27.89,6.535
4201,28.36,6.512
4202,28.81,6.585
4203,29.26,6.551
4204,29.73,6.55
4205,30.19,6.54
4206,30.64,6.554
4207,31.1,6.533
4208,31.57,6.52
4209,32.01,6.546
4210,32.47,6.519
4211,32.92,6.527
4212,33.38,6.516
4213,33.84,6.511
4214,34.29,6.513
4215,34.74,6.497
4216,35.21,6.484
4217,35.66,6.481
4218,36.12,6.479
4219,36.57,6.473
4220,37.02,6.475
4221,37.48,6.472
4222,37.93,6.446
4223,38.39,6.443
4224,38.85,6.441
4225,39.3,6.438
4226,39.76,6.436
4227,40.2,6.408
4228,40.66,6.406
4229,41.1,6.402
4230,41.56,6.4
4231,42.01,6.371
4232,42.47,6.372
4233,42.9,6.368
4234,43.36,6.365
4235,43.8,6.346
4236,44.25,6.334
4237,44.7,6.332
4238,45.14,6.331
4239,45.58,6.302
4240,46.02,6.29
4241,46.45,6.287
4242,46.9,6.291
4243,47.34,6.285
4244,47.77,6.267
4245,48.2,6.259
4246,48.64,6.259
4247,49.07,6.253
4248,49.49,6.231
4249,49.91,6.217
4250,50.33,6.22
4251,50.76,6.213
4252,51.17,6.192
4253,51.59,6.188
4254,52.0,6.186
4255,52.42,6.178
4256,52.84,6.182
4257,53.24,6.173
4258,53.66,6.155
4259,54.06,6.144
4260,54.47,6.14
4261,54.88,6.136
4262,55.29,6.13
4263,55.69,6.114
4264,56.1,6.101
4265,56.51,6.097
4266,56.91,6.082
4267,57.32,6.066
4268,57.73,6.05
4269,58.14,6.05
4270,58.54,6.049
4271,58.94,6.049
4272,59.35,6.02
4273,59.77,5.991
4274,60.18,5.991
4275,60.57,5.977
4276,60.97,5.976
4277,61.37,5.976
4278,61.77,5.947
4279,62.2,5.947
4280,62.59,5.932
4281,63.02,5.875
4282,63.42,5.875
4283,63.86,5.903
4284,64.25,5.874
4285,64.64,5.874
4286,64.98,5.823
4287,65.38,5.811
4288,65.78,5.697
4289,66.18,5.661
4290,66.58,5.657
