t,x,y
1310,39.38,0.798
1311,39.38,0.798
1312,39.38,0.798
1313,39.38,0.798
1314,39.38,0.798
1315,39.38,0.798
1316,39.38,0.798
1317,39.38,0.798
1318,39.38,0.798
1319,39.38,0.798
1320,39.38,0.798
1321,39.38,0.798
1322,39.38,0.798
1323,39.38,0.798
1324,39.38,0.798
1325,39.38,0.798
1326,39.38,0.798
1327,39.38,0.798
1328,39.38,0.798
1329,39.38,0.798
1330,39.38,0.798
1331,39.38,0.798
1332,39.38,0.798
1333,39.38,0.798
1334,39.38,0.798
1335,39.38,0.798
1336,39.38,0.798
1337,39.38,0.798
1338,39.38,0.798
1339,39.38,0.798
1340,39.38,0.798
1341,39.38,0.798
1342,39.38,0.798
1343,39.38,0.798
1344,39.38,0.798
1345,39.38,0.798
1346,39.38,0.798
1347,39.38,0.798
1348,39.38,0.798
1349,39.38,0.798
1350,39.38,0.798
1351,39.38,0.798
1352,39.38,0.798
1353,39.38,0.798
1354,39.38,0.798
1355,39.38,0.798
1356,39.38,0.798
1357,39.38,0.798
1358,39.38,0.798
1359,39.38,0.798
1360,39.38,0.798
1361,39.38,0.798
1362,39.38,0.798
1363,39.38,0.798
1364,39.38,0.798
1365,39.38,0.798
1366,39.38,0.798
1367,39.38,0.798
1368,39.38,0.798
1369,39.38,0.798
1370,39.38,0.798
1371,39.38,0.798
1372,39.38,0.798
1373,39.38,0.798
1374,39.38,0.798
1375,39.38,0.798
1376,39.38,0.798
1377,39.38,0.798
1378,39.38,0.798
1379,39.38,0.798
1380,39.38,0.798
1381,39.38,0.798
1382,39.38,0.798
1383,39.38,0.798
1384,39.38,0.798
1385,39.38,0.798
1386,39.38,0.798
1387,39.38,0.798
1388,39.38,0.798
1389,39.38,0.798
1390,39.38,0.798
1391,39.38,0.798
1392,39.38,0.798
1393,39.38,0.798
1394,39.38,0.798
1395,39.38,0.798
1396,39.38,0.798
1397,39.38,0.798
1398,39.38,0.798
1399,39.38,0.798
1400,39.38,0.798
1401,39.38,0.798
1402,39.38,0.798
1403,39.38,0.798
1404,39.38,0.798
1405,39.38,0.798
1406,39.38,0.798
1407,39.38,0.798
1408,39.38,0.798
1409,39.38,0.798
1410,39.38,0.798
1411,39.38,0.798
1412,39.38,0.798
1413,39.38,0.798
1414,39.38,0.798
1415,39.38,0.798
1416,39.38,0.798
1417,39.38,0.798
1418,39.38,0.798
1419,39.38,0.798
1420,39.38,0.798
1421,39.38,0.798
1422,39.38,0.798
1423,39.38,0.798
1424,39.38,0.798
1425,39.38,0.798
1426,39.38,0.798
1427,39.38,0.798
1428,39.38,0.798
1429,39.38,0.798
1430,39.38,0.798
1431,39.38,0.798
1432,39.38,0.798
1433,39.38,0.798
1434,39.38,0.798
1435,39.38,0.798
1436,39.38,0.798
1437,39.38,0.798
1438,39.38,0.798
1439,39.38,0.798
1440,39.38,0.798
1441,39.38,0.798
1442,39.38,0.798
1443,39.38,0.798
1444,39.38,0.798
1445,39.38,0.798
1446,39.38,0.798
1447,39.38,0.798
1448,39.38,0.798
1449,39.38,0.798
1450,39.38,0.798
1451,39.38,0.798
1452,39.38,0.798
1453,39.38,0.798
1454,39.38,0.798
1455,39.38,0.798
1456,39.38,0.798
1457,39.38,0.798
1458,39.38,0.798
1459,39.38,0.798
1460,39.38,0.798
1461,39.38,0.798
1462,39.38,0.798
1463,39.38,0.798
1464,39.38,0.798
1465,39.38,0.798
1466,39.38,0.798
1467,39.38,0.798
1468,39.38,0.798
1469,39.38,0.798
1470,39.38,0.798
1471,39.38,0.798
1472,39.38,0.798
1473,39.38,0.798
1474,39.38,0.798
1475,39.38,0.798
1476,39.38,0.798
1477,39.38,0.798
1478,39.38,0.798
1479,39.38,0.798
1480,39.38,0.798
1481,39.38,0.798
1482,39.38,0.798
1483,39.38,0.798
1484,39.38,0.798
1485,39.38,0.798
1486,39.38,0.798
1487,39.38,0.798
1488,39.38,0.798
1489,39.38,0.798
1490,39.38,0.798
1491,39.38,0.798
1492,39.38,0.798
1493,39.38,0.798
1494,39.38,0.798
1495,39.38,0.798
1496,39.38,0.798
1497,39.38,0.798
1498,39.38,0.798
1499,39.38,0.798
1500,39.38,0.798
1501,39.38,0.798
1502,39.38,0.798
1503,39.38,0.798
1504,39.38,0.798
1505,39.38,0.798
1506,39.38,0.798
1507,39.38,0.798
1508,39.38,0.798
1509,39.38,0.798
1510,39.38,0.798
1511,39.38,0.798
1512,39.38,0.798
1513,39.38,0.798
1514,39.38,0.798
1515,39.38,0.798
1516,39.38,0.798
1517,39.38,0.798
1518,39.38,0.798
1519,39.38,0.798
1520,39.38,0.798
1521,39.38,0.798
1522,39.38,0.798
1523,39.38,0.798
1524,39.38,0.798
1525,39.38,0.798
1526,39.38,0.798
1527,39.38,0.798
1528,39.38,0.798
1529,39.38,0.798
1530,39.38,0.798
1531,39.38,0.798
1532,39.38,0.798
1533,39.38,0.798
1534,39.38,0.798
1535,39.38,0.798
1536,39.38,0.798
1537,39.38,0.798
1538,39.38,0.798
1539,39.38,0.798
1540,39.38,0.798
1541,39.38,0.798
1542,39.38,0.798
1543,39.38,0.798
1544,39.38,0.798
1545,39.38,0.798
1546,39.38,0.798
1547,39.38,0.798
1548,39.38,0.798
1549,39.38,0.798
1550,39.38,0.798
1551,39.38,0.798
1552,39.38,0.798
1553,39.38,0.798
1554,39.38,0.798
1555,39.38,0.798
1556,39.38,0.798
1557,39.38,0.798
1558,39.38,0.798
1559,39.38,0.798
1560,39.38,0.798
1561,39.38,0.798
1562,39.38,0.798
1563,39.38,0.798
1564,39.38,0.798
1565,39.38,0.798
1566,39.38,0.798
1567,39.38,0.798
1568,39.38,0.798
1569,39.38,0.798
1570,39.38,0.798
1571,39.38,0.798
1572,39.38,0.798
1573,39.38,0.798
1574,39.38,0.798
1575,39.38,0.798
1576,39.38,0.798
1577,39.38,0.798
1578,39.38,0.798
1579,39.38,0.798
1580,39.38,0.798
1581,39.38,0.798
1582,39.38,0.798
1583,39.38,0.798
1584,39.38,0.798
