t,x,y
4031,0.3,3.895
4032,0.76,3.898
4033,1.22,3.898
4034,1.67,3.899
4035,2.13,3.898
4036,2.58,3.899
4037,3.04,3.905
4038,3.49,3.906
4039,3.95,3.903
4040,4.41,3.9
4041,4.87,3.9
4042,5.32,3.906
4043,5.78,3.901
4044,6.24,3.898
4045,6.69,3.897
4046,7.15,3.895
4047,7.62,3.9
4048,8.07,3.902
4049,8.53,3.9
4050,9.0,3.896
4051,9.46,3.909
4052,9.92,3.919
4053,10.39,3.921
4054,10.84,3.925
4055,11.31,3.925
4056,11.77,3.926
4057,12.23,3.927
4058,12.68,3.928
4059,13.15,3.928
4060,13.61,3.927
4061,14.08,3.927
4062,14.54,3.928
4063,15.01,3.935
4064,15.48,3.932
4065,15.94,3.932
4066,16.4,3.932
4067,16.87,3.939
4068,17.34,3.943
4069,17.81,3.954
4070,18.28,3.955
4071,18.75,3.957
4072,19.22,3.961
4073,19.71,3.994
4074,20.2,4.042
4075,20.67,4.044
4076,21.14,4.044
4077,21.61,4.049
4078,22.09,4.061
4079,22.56,4.068
4080,23.04,4.077
4081,23.52,4.078
4082,23.99,4.085
4083,24.46,4.098
4084,24.93,4.108
4085,25.4,4.112
4086,25.88,4.117
4087,26.35,4.127
4088,26.83,4.129
4089,27.3,4.143
4090,27.77,4.147
4091,28.25,4.149
4092,28.72,4.159
4093,29.18,4.169
4094,29.65,4.177
4095,30.12,4.182
4096,30.59,4.186
4097,31.06,4.19
4098,31.53,4.203
4099,32.0,4.213
4100,32.47,4.214
4101,32.94,4.216
4102,33.42,4.22
4103,33.89,4.224
4104,34.35,4.225
4105,34.82,4.236
4106,35.29,4.242
4107,35.76,4.247
4108,36.25,4.249
4109,36.63,4.257
4110,37.1,4.257
4111,37.6,4.257
4112,38.07,4.26
4113,38.55,4.26
4114,39.04,4.257
4115,39.52,4.258
4116,40.02,4.256
4117,40.5,4.258
4118,40.99,4.257
4119,41.47,4.257
4120,41.97,4.254
4121,42.44,4.256
4122,42.94,4.256
4123,43.42,4.258
4124,43.92,4.256
4125,44.4,4.256
4126,44.89,4.255
4127,45.39,4.254
4128,45.88,4.256
4129,46.37,4.253
4130,46.85,4.253
4131,47.35,4.251
4132,47.83,4.254
4133,48.32,4.254
4134,48.8,4.254
4135,49.29,4.25
4136,49.7,4.261
4137,50.03,4.279
4138,50.51,4.278
4139,51.0,4.277
4140,51.49,4.277
4141,51.98,4.277
4142,52.48,4.276
4143,52.96,4.278
4144,53.45,4.276
4145,53.94,4.272
4146,54.44,4.274
4147,54.93,4.271
4148,55.43,4.273
4149,55.93,4.27
4150,56.42,4.269
4151,56.91,4.271
4152,57.42,4.273
4153,57.92,4.271
4154,58.42,4.266
4155,58.93,4.263
4156,59.43,4.261
4157,59.94,4.265
4158,60.45,4.267
4159,60.95,4.27
4160,61.46,4.269
4161,61.96,4.267
4162,62.47,4.265
4163,62.98,4.265
4164,63.5,4.264
4165,64.0,4.259
4166,64.51,4.258
4167,65.04,4.253
4168,65.55,4.256
4169,66.06,4.264
4170,66.57,4.262
