t,x,y
3955,0.21,4.043
3956,0.76,4.047
3957,1.32,4.048
3958,1.86,4.049
3959,2.41,4.055
3960,2.96,4.074
3961,3.5,4.079
3962,4.04,4.085
3963,4.59,4.086
3964,5.13,4.09
3965,5.68,4.098
3966,6.23,4.108
3967,6.78,4.112
3968,7.32,4.119
3969,7.88,4.121
3970,8.43,4.131
3971,8.98,4.145
3972,9.52,4.149
3973,10.08,4.152
3974,10.63,4.171
3975,11.18,4.18
3976,11.73,4.184
3977,12.28,4.184
3978,12.83,4.186
3979,13.38,4.205
3980,13.93,4.217
3981,14.48,4.216
3982,15.04,4.22
3983,15.58,4.237
3984,16.13,4.249
3985,16.69,4.248
3986,17.24,4.254
3987,17.79,4.271
3988,18.35,4.283
3989,18.9,4.288
3990,19.46,4.288
3991,20.02,4.299
3992,20.57,4.317
3993,21.11,4.325
3994,21.67,4.321
3995,22.22,4.334
3996,22.78,4.343
3997,23.33,4.358
3998,23.88,4.371
3999,24.42,4.385
4000,24.97,4.399
4001,25.53,4.389
4002,26.08,4.398
4003,26.62,4.419
4004,27.17,4.431
4005,27.73,4.42
4006,28.28,4.425
4007,28.82,4.435
4008,29.37,4.437
4009,29.9,4.449
4010,30.45,4.458
4011,31.01,4.449
4012,31.56,4.456
4013,32.1,4.456
4014,32.65,4.462
4015,33.19,4.458
4016,33.73,4.461
4017,34.27,4.461
4018,34.82,4.464
4019,35.36,4.463
4020,35.9,4.46
4021,36.44,4.464
4022,36.99,4.462
4023,37.54,4.453
4024,38.08,4.453
4025,38.63,4.454
4026,39.18,4.456
4027,39.72,4.455
4028,40.27,4.453
4029,40.82,4.452
4030,41.37,4.491
4031,41.86,4.555
4032,42.41,4.556
4033,42.95,4.558
4034,43.51,4.554
4035,44.06,4.555
4036,44.61,4.556
4037,45.17,4.556
4038,45.72,4.557
4039,46.27,4.556
4040,46.81,4.555
4041,47.35,4.553
4042,47.86,4.551
4043,48.33,4.551
4044,48.87,4.552
4045,49.41,4.573
4046,49.96,4.584
4047,50.5,4.584
4048,51.04,4.58
4049,51.59,4.57
4050,52.15,4.574
4051,52.69,4.585
4052,53.24,4.601
4053,53.78,4.584
4054,54.32,4.567
4055,54.86,4.562
4056,55.4,4.569
4057,55.97,4.584
4058,56.51,4.59
4059,57.05,4.584
4060,57.57,4.58
4061,58.13,4.577
4062,58.68,4.584
4063,59.22,4.583
4064,59.77,4.59
4065,60.32,4.583
4066,60.89,4.596
4067,61.42,4.601
4068,61.96,4.614
4069,62.51,4.595
4070,63.06,4.576
4071,63.62,4.582
4072,64.18,4.583
4073,64.74,4.581
4074,65.28,4.582
4075,65.84,4.587
4076,66.37,4.575
4077,66.93,4.566
