t,x,y
4140,0.53,4.223
4141,0.93,4.223
4142,1.33,4.217
4143,1.72,4.213
4144,2.12,4.212
4145,2.51,4.194
4146,2.91,4.202
4147,3.31,4.186
4148,3.71,4.182
4149,4.11,4.182
4150,4.5,4.181
4151,4.9,4.176
4152,5.3,4.161
4153,5.69,4.154
4154,6.09,4.149
4155,6.49,4.147
4156,6.88,4.144
4157,7.28,4.138
4158,7.68,4.136
4159,8.07,4.141
4160,8.48,4.142
4161,8.87,4.135
4162,9.28,4.134
4163,9.67,4.136
4164,10.08,4.139
4165,10.47,4.132
4166,10.87,4.131
4167,11.27,4.131
4168,11.68,4.137
4169,12.08,4.139
4170,12.48,4.14
4171,12.88,4.14
4172,13.27,4.141
4173,13.67,4.142
4174,14.08,4.143
4175,14.49,4.14
4176,14.89,4.138
4177,15.29,4.139
4178,15.69,4.138
4179,16.09,4.138
4180,16.5,4.138
4181,16.91,4.139
4182,17.31,4.14
4183,17.72,4.143
4184,18.13,4.141
4185,18.54,4.14
4186,18.94,4.141
4187,19.36,4.142
4188,19.76,4.142
4189,20.17,4.143
4190,20.59,4.141
4191,20.99,4.141
4192,21.4,4.142
4193,21.82,4.141
4194,22.23,4.141
4195,22.64,4.141
4196,23.05,4.146
4197,23.46,4.146
4198,23.86,4.143
4199,24.28,4.144
4200,24.69,4.144
4201,25.1,4.144
4202,25.51,4.144
4203,25.92,4.143
4204,26.33,4.141
4205,26.74,4.145
4206,27.14,4.144
4207,27.56,4.145
4208,27.97,4.147
4209,28.38,4.143
4210,28.79,4.142
4211,29.19,4.14
4212,29.6,4.145
4213,30.01,4.139
4214,30.42,4.138
4215,30.83,4.142
4216,31.24,4.139
4217,31.64,4.138
4218,32.05,4.136
4219,32.46,4.135
4220,32.86,4.134
4221,33.27,4.135
4222,33.68,4.132
4223,34.09,4.132
4224,34.49,4.131
4225,34.9,4.134
4226,35.31,4.132
4227,35.71,4.129
4228,36.12,4.13
4229,36.52,4.128
4230,36.94,4.128
4231,37.34,4.127
4232,37.76,4.124
4233,38.16,4.123
4234,38.57,4.122
4235,38.97,4.118
4236,39.38,4.116
4237,39.79,4.121
4238,40.19,4.117
4239,40.6,4.117
4240,41.0,4.114
4241,41.41,4.114
4242,41.81,4.11
4243,42.21,4.113
4244,42.62,4.118
4245,43.03,4.111
4246,43.43,4.119
4247,43.83,4.112
4248,44.23,4.113
4249,44.63,4.108
4250,44.95,4.101
4251,45.22,4.097
4252,45.62,4.095
4253,46.01,4.093
4254,46.41,4.096
4255,46.8,4.092
4256,47.2,4.093
4257,47.59,4.095
4258,47.98,4.091
4259,48.36,4.094
4260,48.76,4.095
4261,49.15,4.095
4262,49.54,4.095
4263,49.92,4.097
4264,50.31,4.095
4265,50.7,4.094
4266,51.08,4.096
4267,51.46,4.094
4268,51.85,4.093
4269,52.23,4.094
4270,52.61,4.093
4271,52.99,4.094
4272,53.37,4.092
4273,53.76,4.091
4274,54.14,4.092
4275,54.52,4.091
4276,54.86,4.095
4277,55.15,4.092
4278,55.53,4.089
4279,55.9,4.093
4280,56.28,4.091
4281,56.66,4.092
4282,57.04,4.094
4283,57.41,4.091
4284,57.78,4.091
4285,58.15,4.096
4286,58.48,4.098
4287,58.75,4.093
4288,59.13,4.094
4289,59.51,4.092
4290,59.87,4.093
4291,60.23,4.091
4292,60.6,4.091
4293,60.96,4.122
4294,61.34,4.091
4295,61.71,4.09
4296,62.07,4.09
4297,62.44,4.09
4298,62.8,4.09
4299,63.17,4.089
4300,63.52,4.09
4301,63.88,4.089
4302,64.25,4.088
4303,64.62,4.084
4304,64.99,4.086
4305,65.35,4.083
4306,65.71,4.083
4307,66.08,4.078
4308,66.44,4.065
4309,66.8,4.058
