t,x,y
4229,-0.33,2.754
4230,-0.02,2.758
4231,0.3,2.764
4232,0.61,2.78
4233,0.93,2.787
4234,1.25,2.79
4235,1.56,2.795
4236,1.87,2.811
4237,2.19,2.824
4238,2.5,2.829
4239,2.82,2.828
4240,3.13,2.833
4241,3.45,2.854
4242,3.76,2.862
4243,4.08,2.864
4244,4.39,2.871
4245,4.71,2.89
4246,5.04,2.895
4247,5.34,2.899
4248,5.66,2.904
4249,5.98,2.91
4250,6.3,2.924
4251,6.62,2.931
4252,6.93,2.933
4253,7.25,2.935
4254,7.56,2.943
4255,7.88,2.955
4256,8.2,2.965
4257,8.52,2.97
4258,8.86,2.978
4259,9.18,2.985
4260,9.5,3.0
4261,9.84,3.003
4262,10.16,3.009
4263,10.49,3.018
4264,10.82,3.034
4265,11.14,3.043
4266,11.47,3.053
4267,11.8,3.061
4268,12.13,3.066
4269,12.45,3.073
4270,12.78,3.08
4271,13.12,3.097
4272,13.45,3.105
4273,13.78,3.109
4274,14.1,3.119
4275,14.44,3.134
4276,14.77,3.143
4277,15.1,3.148
4278,15.44,3.158
4279,15.77,3.167
4280,16.1,3.177
4281,16.45,3.181
4282,16.77,3.191
4283,17.11,3.21
4284,17.45,3.214
4285,17.78,3.218
4286,18.13,3.244
4287,18.47,3.249
4288,18.81,3.262
4289,19.15,3.274
4290,19.5,3.286
4291,19.84,3.288
4292,20.19,3.306
4293,20.52,3.319
4294,20.88,3.348
4295,21.23,3.356
4296,21.57,3.358
4297,21.92,3.38
4298,22.27,3.391
4299,22.61,3.4
4300,22.97,3.421
4301,23.3,3.429
4302,23.66,3.456
4303,24.01,3.463
4304,24.35,3.473
4305,24.7,3.495
4306,25.04,3.497
4307,25.39,3.505
4308,25.74,3.528
4309,26.08,3.533
4310,26.44,3.558
4311,26.79,3.57
4312,27.13,3.573
4313,27.48,3.601
4314,27.81,3.607
4315,28.17,3.623
4316,28.52,3.639
4317,28.86,3.644
4318,29.22,3.668
4319,29.56,3.68
4320,29.9,3.681
4321,30.26,3.706
4322,30.59,3.709
4323,30.94,3.718
4324,31.28,3.716
4325,31.64,3.736
4326,31.97,3.743
4327,32.31,3.75
4328,32.65,3.749
4329,33.01,3.767
4330,33.36,3.78
4331,33.69,3.781
4332,34.05,3.805
4333,34.4,3.815
4334,34.74,3.814
4335,35.09,3.818
4336,35.43,3.818
4337,35.77,3.83
4338,36.11,3.821
4339,36.46,3.828
4340,36.83,3.839
4341,37.18,3.848
4342,37.52,3.849
4343,37.87,3.853
4344,38.23,3.852
4345,38.58,3.85
4346,38.92,3.855
4347,39.27,3.861
4348,39.61,3.852
4349,39.97,3.855
4350,40.32,3.855
4351,40.69,3.867
4352,41.05,3.877
4353,41.41,3.878
4354,41.77,3.881
4355,42.12,3.884
4356,42.48,3.884
4357,42.83,3.879
4358,43.18,3.881
4359,43.54,3.881
4360,43.9,3.882
4361,44.25,3.883
4362,44.61,3.884
4363,44.97,3.884
4364,45.34,3.884
4365,45.69,3.884
4366,46.04,3.879
4367,46.39,3.88
4368,46.75,3.879
4369,47.11,3.881
4370,47.46,3.885
4371,47.81,3.879
4372,48.16,3.88
4373,48.51,3.882
4374,48.87,3.884
4375,49.21,3.879
4376,49.56,3.88
4377,49.92,3.881
4378,50.26,3.878
4379,50.61,3.88
4380,50.97,3.88
4381,51.31,3.878
4382,51.65,3.88
4383,52.0,3.877
4384,52.35,3.877
4385,52.7,3.878
4386,53.03,3.874
4387,53.39,3.875
4388,53.73,3.872
4389,54.07,3.875
4390,54.41,3.874
4391,54.76,3.875
4392,55.1,3.868
4393,55.44,3.869
4394,55.79,3.873
4395,56.13,3.871
4396,56.48,3.869
4397,56.82,3.862
4398,57.17,3.868
4399,57.51,3.861
4400,57.85,3.854
4401,58.19,3.849
4402,58.54,3.838
4403,58.88,3.833
4404,59.21,3.828
4405,59.56,3.83
4406,59.9,3.82
4407,60.24,3.819
4408,60.57,3.807
4409,60.92,3.8
4410,61.26,3.796
4411,61.61,3.79
4412,61.96,3.785
4413,62.3,3.775
4414,62.65,3.762
4415,62.99,3.758
4416,63.34,3.739
4417,63.67,3.732
4418,64.03,3.725
4419,64.37,3.714
4420,64.72,3.7
4421,65.05,3.689
4422,65.4,3.686
4423,65.74,3.672
4424,66.06,3.667
4425,66.4,3.651
4426,66.74,3.648
