t,x,y
4311,-0.14,5.502
4312,0.21,5.507
4313,0.51,5.506
4314,0.82,5.498
4315,1.16,5.514
4316,1.51,5.53
4317,1.88,5.53
4318,2.23,5.579
4319,2.54,5.579
4320,2.89,5.579
4321,3.26,5.579
4322,3.5,5.596
4323,3.87,5.596
4324,4.23,5.612
4325,4.57,5.612
4326,4.92,5.612
4327,5.29,5.629
4328,5.63,5.629
4329,5.92,5.633
4330,6.25,5.637
4331,6.58,5.655
4332,6.95,5.655
4333,7.29,5.655
4334,7.63,5.641
4335,7.97,5.631
4336,8.32,5.642
4337,8.66,5.645
4338,8.99,5.639
4339,9.31,5.646
4340,9.64,5.637
4341,9.99,5.655
4342,10.32,5.652
4343,10.66,5.659
4344,11.01,5.653
4345,11.36,5.635
4346,11.68,5.641
4347,11.99,5.638
4348,12.37,5.648
4349,12.72,5.642
4350,13.03,5.648
4351,13.38,5.657
4352,13.72,5.662
4353,14.06,5.676
4354,14.38,5.694
4355,14.73,5.69
4356,15.03,5.694
4357,15.37,5.699
4358,15.71,5.696
4359,16.06,5.696
4360,16.39,5.689
4361,16.71,5.693
4362,17.07,5.708
4363,17.41,5.69
4364,17.73,5.704
4365,18.06,5.712
4366,18.37,5.723
4367,18.68,5.719
4368,19.03,5.709
4369,19.37,5.709
4370,19.73,5.718
4371,20.07,5.738
4372,20.39,5.76
4373,20.7,5.77
4374,21.04,5.77
4375,21.35,5.757
4376,21.68,5.767
4377,22.03,5.773
4378,22.34,5.776
4379,22.68,5.774
4380,23.03,5.773
4381,23.34,5.782
4382,23.68,5.777
4383,23.99,5.778
4384,24.34,5.781
4385,24.64,5.779
4386,24.99,5.778
4387,25.34,5.778
4388,25.64,5.776
4389,25.96,5.778
4390,26.29,5.779
4391,26.6,5.783
4392,26.93,5.782
4393,27.23,5.78
4394,27.57,5.783
4395,27.88,5.78
4396,28.22,5.782
4397,28.53,5.78
4398,28.83,5.783
4399,29.17,5.784
4400,29.47,5.781
4401,29.81,5.783
4402,30.11,5.78
4403,30.41,5.783
4404,30.7,5.784
4405,31.04,5.781
4406,31.34,5.783
4407,31.63,5.786
4408,31.92,5.791
4409,32.27,5.784
4410,32.57,5.786
4411,32.87,5.786
4412,33.21,5.782
4413,33.5,5.784
4414,33.8,5.783
4415,34.15,5.785
4416,34.44,5.786
4417,34.74,5.784
4418,35.03,5.785
4419,35.32,5.785
4420,35.67,5.785
4421,35.96,5.784
4422,36.25,5.784
4423,36.6,5.786
4424,36.89,5.781
4425,37.18,5.783
4426,37.47,5.784
4427,37.77,5.778
4428,38.06,5.784
4429,38.4,5.789
4430,38.69,5.796
4431,38.99,5.786
4432,39.28,5.791
4433,39.58,5.789
4434,39.87,5.787
4435,40.15,5.786
4436,40.45,5.788
4437,40.78,5.787
4438,41.08,5.786
4439,41.38,5.787
4440,41.73,5.786
4441,42.02,5.786
4442,42.31,5.788
4443,42.6,5.787
4444,42.89,5.785
4445,43.19,5.79
4446,43.48,5.791
4447,43.77,5.791
4448,44.1,5.789
4449,44.4,5.789
4450,44.69,5.79
4451,44.98,5.79
4452,45.28,5.788
4453,45.56,5.786
4454,45.85,5.789
4455,46.14,5.79
4456,46.43,5.793
4457,46.71,5.791
4458,47.0,5.796
4459,47.29,5.794
4460,47.58,5.784
4461,47.87,5.795
4462,48.16,5.793
4463,48.44,5.793
4464,48.73,5.791
4465,49.02,5.787
4466,49.31,5.789
4467,49.6,5.792
4468,49.89,5.793
4469,50.18,5.798
4470,50.5,5.788
4471,50.87,5.756
4472,51.15,5.756
4473,51.44,5.757
4474,51.73,5.757
4475,52.01,5.754
4476,52.29,5.758
4477,52.58,5.766
4478,52.82,5.767
4479,53.11,5.763
4480,53.4,5.754
4481,53.68,5.754
4482,53.96,5.75
4483,54.26,5.757
4484,54.54,5.757
4485,54.83,5.753
4486,55.11,5.749
4487,55.4,5.755
4488,55.69,5.757
4490,55.99,5.755
4490,56.21,5.753
4491,56.49,5.755
4492,56.78,5.755
4493,57.06,5.756
4494,57.35,5.757
4496,57.64,5.758
4496,57.93,5.757
4497,58.17,5.761
4498,58.44,5.755
4499,58.73,5.756
4501,59.02,5.755
4502,59.3,5.754
4502,59.58,5.745
4504,59.88,5.707
4504,60.16,5.7
4505,60.41,5.696
4507,60.71,5.694
4508,61.01,5.701
4508,61.29,5.693
4510,61.57,5.685
4510,61.85,5.682
4512,62.14,5.676
4513,62.41,5.659
4514,62.7,5.66
4515,63.0,5.669
4516,63.25,5.668
4516,63.53,5.658
4518,63.82,5.654
4519,64.1,5.653
4520,64.38,5.644
4521,64.67,5.652
4522,64.94,5.643
4523,65.23,5.637
4524,65.52,5.603
4525,65.8,5.612
4526,66.09,5.605
4527,66.38,5.601
