t,x,y
4295,-0.38,2.339
4296,-0.1,2.339
4297,0.2,2.34
4298,0.48,2.341
4299,0.77,2.344
4300,1.06,2.343
4301,1.35,2.342
4302,1.64,2.352
4303,1.92,2.358
4304,2.21,2.364
4305,2.5,2.373
4306,2.79,2.371
4307,3.08,2.372
4308,3.36,2.376
4309,3.65,2.376
4310,3.94,2.375
4311,4.2,2.396
4312,4.49,2.399
4313,4.77,2.407
4314,5.06,2.41
4315,5.34,2.41
4316,5.63,2.414
4317,5.9,2.422
4318,6.18,2.426
4319,6.47,2.435
4320,6.75,2.439
4321,7.02,2.446
4322,7.3,2.448
4323,7.57,2.45
4324,7.85,2.456
4325,8.13,2.465
4326,8.4,2.472
4327,8.67,2.48
4328,8.96,2.483
4329,9.22,2.498
4330,9.5,2.505
4331,9.77,2.516
4332,10.04,2.52
4333,10.31,2.523
4334,10.58,2.524
4335,10.84,2.537
4336,11.12,2.546
4337,11.38,2.553
4338,11.65,2.553
4339,11.93,2.559
4340,12.2,2.56
4341,12.46,2.576
4342,12.72,2.584
4343,13.0,2.585
4344,13.26,2.591
4345,13.53,2.591
4346,13.79,2.607
4347,14.06,2.619
4348,14.33,2.617
4349,14.59,2.633
4350,14.86,2.637
4351,15.13,2.649
4352,15.39,2.656
4353,15.66,2.655
4354,15.93,2.665
4355,16.18,2.674
4356,16.46,2.677
4357,16.72,2.69
4358,17.0,2.694
4359,17.26,2.699
4360,17.52,2.715
4361,17.79,2.721
4362,18.05,2.727
4363,18.33,2.731
4364,18.59,2.751
4365,18.86,2.762
4366,19.13,2.765
4367,19.39,2.785
4368,19.67,2.793
4369,19.93,2.804
4370,20.21,2.818
4371,20.48,2.833
4372,20.75,2.837
4373,21.01,2.863
4374,21.3,2.87
4375,21.56,2.894
4376,21.84,2.904
4377,22.12,2.913
4378,22.38,2.937
4379,22.67,2.94
4380,22.94,2.968
4381,23.21,2.976
4382,23.47,3.004
4383,23.75,3.01
4384,24.03,3.022
4385,24.3,3.044
4386,24.58,3.049
4387,24.85,3.074
4388,25.12,3.081
4389,25.38,3.101
4390,25.66,3.116
4391,25.92,3.138
4392,26.19,3.149
4393,26.46,3.159
4394,26.73,3.179
4395,27.0,3.19
4396,27.26,3.207
4397,27.54,3.222
4398,27.8,3.233
4399,28.08,3.254
4400,28.34,3.261
4401,28.62,3.279
4402,28.89,3.293
4403,29.16,3.299
4404,29.43,3.316
4405,29.71,3.331
4406,29.98,3.34
4407,30.25,3.356
4408,30.53,3.366
4409,30.8,3.374
4410,31.08,3.394
4411,31.36,3.403
4412,31.64,3.417
4413,31.91,3.429
4414,32.19,3.438
4415,32.46,3.446
4416,32.74,3.462
4417,33.02,3.474
4418,33.3,3.481
4419,33.58,3.489
4420,33.86,3.506
4421,34.14,3.511
4422,34.43,3.525
4423,34.72,3.532
4424,34.99,3.547
4425,35.27,3.552
4426,35.55,3.569
4427,35.84,3.58
4428,36.12,3.591
4429,36.42,3.604
4430,36.7,3.615
4431,36.99,3.621
4432,37.28,3.638
4433,37.57,3.65
4434,37.86,3.652
4435,38.15,3.66
4436,38.44,3.667
4437,38.73,3.67
4438,39.02,3.683
4439,39.31,3.686
4440,39.6,3.687
4441,39.9,3.695
4442,40.19,3.702
4443,40.49,3.708
4444,40.78,3.715
4445,41.08,3.718
4446,41.37,3.725
4447,41.66,3.731
4448,41.95,3.729
4449,42.24,3.734
4450,42.53,3.731
4451,42.83,3.74
4452,43.13,3.752
4453,43.41,3.756
4454,43.71,3.756
4455,44.0,3.758
4456,44.28,3.763
4457,44.57,3.763
4458,44.87,3.76
4459,45.15,3.759
4460,45.45,3.768
4461,45.73,3.779
4462,46.02,3.783
4463,46.31,3.787
4464,46.6,3.789
4465,46.9,3.796
4466,47.18,3.797
4467,47.47,3.797
4468,47.75,3.799
4469,48.05,3.799
4470,48.33,3.798
4471,48.63,3.804
4472,48.93,3.815
4473,49.22,3.82
4474,49.51,3.823
4475,49.8,3.823
4476,50.09,3.827
4477,50.38,3.827
4478,50.67,3.828
4479,50.95,3.833
4480,51.24,3.829
4481,51.53,3.826
4482,51.82,3.828
4483,52.1,3.826
4484,52.38,3.825
4485,52.67,3.825
4486,52.97,3.823
4487,53.24,3.82
4488,53.52,3.821
4490,53.8,3.821
4490,54.07,3.816
4491,54.35,3.818
4492,54.62,3.814
4493,54.89,3.811
4494,55.17,3.812
4496,55.44,3.813
4496,55.72,3.806
4497,55.98,3.799
4498,56.25,3.793
4499,56.52,3.786
4501,56.79,3.781
4502,57.05,3.78
4502,57.32,3.777
4504,57.59,3.764
4504,57.85,3.755
4505,58.12,3.747
4507,58.39,3.742
4508,58.65,3.742
4508,58.93,3.735
4510,59.19,3.714
4510,59.45,3.71
4512,59.72,3.708
4513,59.99,3.703
4514,60.25,3.682
4515,60.52,3.674
4516,60.79,3.671
4516,61.06,3.662
4518,61.34,3.659
4519,61.6,3.646
4520,61.88,3.636
4521,62.15,3.632
4522,62.43,3.628
4523,62.69,3.616
4524,62.97,3.597
4525,63.26,3.598
4526,63.54,3.591
4527,63.83,3.577
4528,64.12,3.566
4529,64.4,3.559
4530,64.69,3.55
4531,64.99,3.545
4532,65.27,3.532
4533,65.56,3.52
4534,65.86,3.514
4535,66.15,3.5
4536,66.45,3.478
4537,66.73,3.465
