t,x,y
4275,-0.36,2.825
4276,-0.07,2.822
4277,0.2,2.82
4278,0.49,2.817
4279,0.77,2.812
4280,1.05,2.817
4281,1.34,2.82
4282,1.62,2.816
4283,1.91,2.812
4284,2.19,2.815
4285,2.49,2.815
4286,2.78,2.817
4287,3.06,2.814
4288,3.35,2.811
4289,3.64,2.81
4290,3.93,2.805
4291,4.22,2.808
4292,4.5,2.795
4293,4.79,2.792
4294,5.08,2.789
4295,5.37,2.787
4296,5.66,2.782
4297,5.95,2.781
4298,6.24,2.781
4299,6.53,2.781
4300,6.82,2.777
4301,7.11,2.775
4302,7.4,2.779
4303,7.69,2.779
4304,7.98,2.778
4305,8.27,2.78
4306,8.55,2.775
4307,8.85,2.773
4308,9.13,2.777
4309,9.42,2.777
4310,9.71,2.777
4311,10.0,2.78
4312,10.29,2.776
4313,10.58,2.781
4314,10.87,2.781
4315,11.16,2.781
4316,11.46,2.779
4317,11.76,2.779
4318,12.05,2.78
4319,12.34,2.78
4320,12.64,2.78
4321,12.92,2.78
4322,13.21,2.781
4323,13.51,2.781
4324,13.81,2.778
4325,14.11,2.78
4326,14.4,2.78
4327,14.69,2.781
4328,14.98,2.781
4329,15.28,2.781
4330,15.58,2.78
4331,15.88,2.781
4332,16.17,2.786
4333,16.46,2.785
4334,16.76,2.783
4335,17.07,2.782
4336,17.36,2.784
4337,17.66,2.791
4338,17.95,2.787
4339,18.26,2.786
4340,18.55,2.795
4341,18.85,2.801
4342,19.15,2.808
4343,19.45,2.813
4344,19.75,2.814
4345,20.06,2.817
4346,20.35,2.826
4347,20.65,2.832
4348,20.96,2.844
4349,21.25,2.85
4350,21.56,2.861
4351,21.86,2.87
4352,22.16,2.881
4353,22.47,2.883
4354,22.77,2.888
4355,23.07,2.896
4356,23.38,2.906
4357,23.67,2.917
4358,23.98,2.922
4359,24.28,2.928
4360,24.58,2.942
4361,24.89,2.952
4362,25.19,2.958
4363,25.5,2.965
4364,25.8,2.981
4365,26.1,2.988
4366,26.41,2.993
4367,26.71,3.002
4368,27.01,3.01
4369,27.32,3.023
4370,27.61,3.029
4371,27.92,3.032
4372,28.22,3.048
4373,28.51,3.059
4374,28.83,3.062
4375,29.12,3.068
4376,29.42,3.081
4377,29.73,3.093
4378,30.02,3.098
4379,30.33,3.098
4380,30.64,3.107
4381,30.93,3.12
4382,31.23,3.129
4383,31.54,3.132
4384,31.85,3.137
4385,32.14,3.149
4386,32.45,3.162
4387,32.76,3.165
4388,33.05,3.169
4389,33.36,3.177
4390,33.66,3.187
4391,33.96,3.197
4392,34.27,3.201
4393,34.57,3.203
4394,34.88,3.213
4395,35.18,3.218
4396,35.49,3.23
4397,35.79,3.235
4398,36.1,3.242
4399,36.41,3.243
4400,36.71,3.246
4401,37.02,3.261
4402,37.32,3.267
4403,37.63,3.269
4404,37.92,3.272
4405,38.24,3.277
4406,38.54,3.279
4407,38.85,3.291
4408,39.15,3.301
4409,39.47,3.306
4410,39.79,3.307
4411,40.09,3.31
4412,40.41,3.319
4413,40.72,3.32
4414,41.03,3.328
4415,41.34,3.336
4416,41.67,3.339
4417,41.97,3.343
4418,42.29,3.348
4419,42.61,3.347
4420,42.93,3.35
4421,43.25,3.357
4422,43.57,3.372
4423,43.9,3.374
4424,44.2,3.38
4425,44.53,3.383
4426,44.85,3.397
4427,45.17,3.404
4428,45.49,3.41
4429,45.82,3.412
4430,46.15,3.418
4431,46.47,3.416
4432,46.79,3.431
4433,47.12,3.441
4434,47.44,3.443
4435,47.76,3.446
4436,48.09,3.452
4437,48.42,3.451
4438,48.74,3.463
4439,49.07,3.475
4440,49.39,3.475
4441,49.72,3.481
4442,50.04,3.484
4443,50.36,3.487
4444,50.69,3.484
4445,51.02,3.483
4446,51.34,3.493
4447,51.67,3.503
4448,51.99,3.501
4449,52.32,3.509
4450,52.64,3.511
4451,52.97,3.513
4452,53.29,3.515
4453,53.61,3.518
4454,53.94,3.516
4455,54.26,3.516
4456,54.59,3.518
4457,54.91,3.519
4458,55.24,3.512
4459,55.56,3.512
4460,55.89,3.514
4461,56.21,3.514
4462,56.54,3.512
4463,56.86,3.512
4464,57.18,3.509
4465,57.51,3.51
4466,57.84,3.51
4467,58.16,3.506
4468,58.48,3.506
4469,58.82,3.502
4470,59.14,3.494
4471,59.46,3.486
4472,59.78,3.486
4473,60.11,3.476
4474,60.43,3.473
4475,60.76,3.468
4476,61.08,3.47
4477,61.4,3.45
4478,61.73,3.441
4479,62.05,3.437
4480,62.38,3.425
4481,62.7,3.41
4482,63.03,3.401
4483,63.35,3.395
4484,63.67,3.384
4485,64.0,3.383
4486,64.33,3.368
4487,64.65,3.359
4488,64.98,3.359
4490,65.3,3.343
4490,65.62,3.326
4491,65.95,3.322
4492,66.27,3.309
4493,66.6,3.292
4494,66.92,3.287
