t,x,y
3983,-0.69,2.989
3984,-0.21,2.989
3985,0.31,2.991
3986,0.84,2.999
3987,1.35,3.014
3988,1.88,3.003
3989,2.4,2.987
3990,2.88,2.987
3991,3.35,2.991
3992,3.83,3.003
3993,4.31,3.012
3994,4.78,3.016
3995,5.25,3.02
3996,5.73,3.024
3997,6.2,3.027
3998,6.67,3.037
3999,7.15,3.043
4000,7.63,3.052
4001,8.1,3.056
4002,8.57,3.056
4003,9.05,3.057
4004,9.52,3.057
4005,10.01,3.075
4006,10.48,3.087
4007,10.96,3.088
4008,11.43,3.092
4009,11.91,3.102
4010,12.39,3.099
4011,12.87,3.104
4012,13.36,3.119
4013,13.84,3.121
4014,14.32,3.123
4015,14.78,3.127
4016,15.27,3.136
4017,15.75,3.149
4018,16.23,3.157
4019,16.71,3.16
4020,17.19,3.165
4021,17.67,3.174
4022,18.16,3.183
4023,18.64,3.191
4024,19.11,3.201
4025,19.61,3.218
4026,20.09,3.227
4027,20.58,3.233
4028,21.06,3.243
4029,21.55,3.256
4030,22.03,3.266
4031,22.53,3.28
4032,23.01,3.296
4033,23.5,3.306
4034,23.98,3.327
4035,24.47,3.335
4036,24.95,3.348
4037,25.44,3.367
4038,25.92,3.379
4039,26.4,3.398
4040,26.89,3.406
4041,27.37,3.429
4042,27.85,3.446
4043,28.33,3.51
4044,28.72,3.567
4045,29.2,3.58
4046,29.68,3.595
4047,30.16,3.609
4048,30.64,3.633
4049,31.12,3.644
4050,31.61,3.661
4051,32.08,3.674
4052,32.56,3.696
4053,33.04,3.716
4054,33.52,3.736
4055,34.0,3.745
4056,34.49,3.766
4057,34.97,3.78
4058,35.46,3.802
4059,35.94,3.815
4060,36.42,3.817
4061,36.91,3.831
4062,37.4,3.851
4063,37.89,3.853
4064,38.39,3.871
4065,38.87,3.881
4066,39.36,3.889
4067,39.87,3.913
4068,40.36,3.925
4069,40.85,3.923
4070,41.35,3.933
4071,41.86,3.95
4072,42.36,3.956
4073,42.86,3.963
4074,43.37,3.975
4075,43.87,3.989
4076,44.37,3.991
4077,44.88,3.995
4078,45.38,4.002
4079,45.85,4.002
4080,46.29,4.016
4081,46.66,4.023
4082,47.16,4.032
4083,47.65,4.051
4084,48.16,4.059
4085,48.67,4.065
4086,49.18,4.07
4087,49.67,4.087
4088,50.18,4.083
4089,50.68,4.095
4090,51.18,4.099
4091,51.68,4.099
4092,52.18,4.106
4093,52.67,4.119
4094,53.17,4.124
4095,53.66,4.127
4096,54.17,4.136
4097,54.68,4.133
4098,55.18,4.136
4099,55.68,4.132
4100,56.18,4.125
4101,56.68,4.125
4102,57.19,4.126
4103,57.7,4.129
4104,58.08,4.131
4105,58.59,4.131
4106,59.09,4.136
4107,59.6,4.131
4108,60.1,4.133
4109,60.64,4.141
4110,61.13,4.166
4111,61.6,4.153
4112,62.12,4.16
4113,62.61,4.158
4114,63.13,4.165
4115,63.64,4.168
4116,64.15,4.167
4117,64.66,4.17
4118,65.17,4.169
4119,65.68,4.166
4120,66.2,4.164
4121,66.72,4.166
