t,x,y
4109,0.75,4.092
4110,1.11,4.091
4111,1.48,4.091
4112,1.84,4.092
4113,2.21,4.091
4114,2.58,4.09
4115,2.95,4.093
4116,3.32,4.088
4117,3.69,4.091
4118,4.06,4.092
4119,4.42,4.092
4120,4.79,4.09
4121,5.16,4.09
4122,5.52,4.095
4123,5.89,4.091
4124,6.26,4.093
4125,6.63,4.093
4126,6.99,4.093
4127,7.38,4.101
4128,7.75,4.095
4129,8.12,4.098
4130,8.5,4.094
4131,8.87,4.092
4132,9.24,4.098
4133,9.61,4.096
4134,9.98,4.108
4135,10.35,4.113
4136,10.73,4.115
4137,11.1,4.119
4138,11.48,4.123
4139,11.86,4.122
4140,12.22,4.121
4141,12.6,4.122
4142,12.98,4.123
4143,13.35,4.123
4144,13.73,4.122
4145,14.1,4.12
4146,14.47,4.122
4147,14.85,4.12
4148,15.22,4.12
4149,15.6,4.12
4150,15.97,4.119
4151,16.35,4.119
4152,16.73,4.118
4153,17.11,4.117
4154,17.49,4.119
4155,17.87,4.115
4156,18.25,4.116
4157,18.64,4.114
4158,19.01,4.114
4159,19.39,4.115
4160,19.78,4.115
4161,20.16,4.116
4162,20.55,4.115
4163,20.94,4.113
4164,21.32,4.114
4165,21.72,4.138
4166,22.1,4.164
4167,22.48,4.161
4168,22.86,4.164
4169,23.25,4.164
4170,23.63,4.164
4171,24.01,4.166
4172,24.41,4.166
4173,24.79,4.166
4174,25.17,4.167
4175,25.56,4.163
4176,25.94,4.163
4177,26.32,4.162
4178,26.71,4.162
4179,27.08,4.164
4180,27.47,4.163
4181,27.85,4.167
4182,28.23,4.169
4183,28.62,4.172
4184,29.0,4.172
4185,29.38,4.169
4186,29.76,4.177
4187,30.14,4.188
4188,30.52,4.194
4189,30.9,4.194
4190,31.27,4.196
4191,31.66,4.198
4192,32.04,4.199
4193,32.42,4.205
4194,32.81,4.201
4195,33.19,4.202
4196,33.57,4.213
4197,33.96,4.225
4198,34.33,4.228
4199,34.72,4.231
4200,35.12,4.231
4201,35.5,4.24
4202,35.88,4.242
4203,36.27,4.238
4204,36.67,4.236
4205,37.04,4.245
4206,37.43,4.24
4207,37.82,4.245
4208,38.21,4.255
4209,38.6,4.259
4210,38.99,4.261
4211,39.38,4.262
4212,39.77,4.265
4213,40.17,4.265
4214,40.57,4.265
4215,40.97,4.264
4216,41.36,4.266
4217,41.76,4.264
4218,42.16,4.264
4219,42.56,4.262
4220,42.95,4.262
4221,43.35,4.262
4222,43.75,4.261
4223,44.15,4.264
4224,44.55,4.26
4225,44.94,4.265
4226,45.34,4.262
4227,45.71,4.297
4228,46.1,4.296
4229,46.5,4.298
4230,46.9,4.297
4231,47.3,4.296
4232,47.7,4.296
4233,48.09,4.297
4234,48.49,4.296
4235,48.88,4.295
4236,49.28,4.295
4237,49.68,4.295
4238,50.07,4.294
4239,50.47,4.293
4240,50.87,4.293
4241,51.26,4.294
4242,51.66,4.291
4243,52.06,4.291
4244,52.46,4.291
4245,52.86,4.29
4246,53.26,4.293
4247,53.66,4.289
4248,54.05,4.286
4249,54.45,4.285
4250,54.84,4.286
4251,55.25,4.286
4252,55.64,4.286
4253,56.05,4.283
4254,56.45,4.288
4255,56.85,4.28
4256,57.25,4.285
4257,57.65,4.286
4258,58.05,4.276
4259,58.44,4.28
4260,58.85,4.283
4261,59.25,4.284
4262,59.65,4.282
4263,60.04,4.276
4264,60.44,4.278
4265,60.85,4.268
4266,61.26,4.255
4267,61.65,4.253
4268,62.06,4.249
4269,62.47,4.244
4270,62.88,4.244
4271,63.28,4.235
4272,63.69,4.224
4273,64.1,4.216
4274,64.51,4.212
4275,64.91,4.205
4276,65.32,4.204
4277,65.73,4.192
4278,66.15,4.18
4279,66.56,4.177
