t,x,y
4174,-0.62,3.786
4175,-0.26,3.79
4176,0.1,3.799
4177,0.46,3.82
4178,0.82,3.826
4179,1.19,3.837
4180,1.55,3.853
4181,1.91,3.863
4182,2.27,3.87
4183,2.63,3.891
4184,3.0,3.9
4185,3.35,3.912
4186,3.71,3.928
4187,4.08,3.943
4188,4.44,3.96
4189,4.8,3.967
4190,5.16,3.978
4191,5.52,3.997
4192,5.9,4.005
4193,6.27,4.022
4194,6.64,4.034
4195,7.01,4.048
4196,7.38,4.065
4197,7.76,4.08
4198,8.12,4.101
4199,8.5,4.106
4200,8.87,4.134
4201,9.26,4.144
4202,9.63,4.171
4203,10.02,4.179
4204,10.39,4.208
4205,10.78,4.22
4206,11.15,4.244
4207,11.54,4.256
4208,11.91,4.28
4209,12.3,4.292
4210,12.69,4.313
4211,13.08,4.325
4212,13.46,4.352
4213,13.85,4.364
4214,14.25,4.388
4215,14.64,4.414
4216,15.03,4.425
4217,15.43,4.447
4218,15.82,4.464
4219,16.22,4.488
4220,16.62,4.504
4221,17.02,4.529
4222,17.42,4.539
4223,17.82,4.565
4224,18.22,4.584
4225,18.62,4.603
4226,19.03,4.619
4227,19.44,4.637
4228,19.84,4.652
4229,20.24,4.675
4230,20.65,4.695
4231,21.07,4.713
4232,21.49,4.74
4233,21.89,4.754
4234,22.3,4.777
4235,22.72,4.789
4236,23.13,4.815
4237,23.55,4.837
4238,23.95,4.855
4239,24.38,4.876
4240,24.79,4.898
4241,25.2,4.923
4242,25.62,4.937
4243,26.04,4.959
4244,26.45,4.971
4245,26.87,4.994
4246,27.28,5.009
4247,27.7,5.028
4248,28.11,5.039
4249,28.53,5.062
4250,28.95,5.073
4251,29.37,5.097
4252,29.79,5.106
4253,30.2,5.123
4254,30.62,5.141
4255,31.04,5.152
4256,31.45,5.171
4257,31.88,5.185
4258,32.29,5.2
4259,32.71,5.212
4260,33.13,5.232
4261,33.55,5.245
4262,33.97,5.255
4263,34.39,5.272
4264,34.81,5.281
4265,35.23,5.295
4266,35.65,5.305
4267,36.07,5.315
4268,36.5,5.32
4269,36.92,5.33
4270,37.34,5.345
4271,37.77,5.35
4272,38.2,5.351
4273,38.62,5.358
4274,39.06,5.363
4275,39.48,5.364
4276,39.9,5.374
4277,40.33,5.382
4278,40.76,5.384
4279,41.2,5.385
4280,41.63,5.387
4281,42.06,5.386
4282,42.5,5.386
4283,42.93,5.389
4284,43.36,5.386
4285,43.8,5.387
4286,44.23,5.388
4287,44.66,5.382
4288,45.1,5.382
4289,45.54,5.383
4290,45.97,5.383
4291,46.4,5.381
4292,46.83,5.381
4293,47.26,5.38
4294,47.69,5.381
4295,48.13,5.376
4296,48.56,5.377
4297,48.99,5.376
4298,49.42,5.373
4299,49.86,5.371
4300,50.28,5.374
4301,50.71,5.374
4302,51.14,5.368
4303,51.58,5.372
4304,52.0,5.372
4305,52.44,5.367
4306,52.86,5.358
4307,53.29,5.345
4308,53.71,5.34
4309,54.14,5.337
4310,54.55,5.339
4311,54.98,5.33
4312,55.41,5.318
4313,55.83,5.311
4314,56.24,5.303
4315,56.66,5.298
4316,57.07,5.296
4317,57.49,5.295
4318,57.91,5.289
4319,58.34,5.28
4320,58.74,5.27
4321,59.15,5.272
4322,59.57,5.276
4323,59.98,5.267
4324,60.39,5.259
4325,60.8,5.259
4326,61.21,5.256
4327,61.6,5.258
4328,62.0,5.279
4329,62.41,5.278
4330,62.82,5.273
4331,63.23,5.273
4332,63.62,5.266
4333,64.04,5.274
4334,64.44,5.266
4335,64.86,5.263
4336,65.28,5.263
4337,65.68,5.27
4338,66.09,5.263
4339,66.5,5.263
4340,66.92,5.264
