t,x,y
4004,0.05,4.403
4005,0.49,4.409
4006,0.93,4.418
4007,1.36,4.426
4008,1.8,4.439
4009,2.23,4.451
4010,2.66,4.459
4011,3.11,4.472
4012,3.56,4.469
4013,3.99,4.471
4014,4.44,4.475
4015,4.88,4.478
4016,5.32,4.482
4017,5.76,4.495
4018,6.19,4.506
4019,6.64,4.505
4020,7.09,4.51
4021,7.53,4.518
4022,7.96,4.527
4023,8.42,4.53
4024,8.86,4.542
4025,9.32,4.545
4026,9.76,4.548
4027,10.21,4.545
4028,10.66,4.547
4029,11.11,4.556
4030,11.56,4.56
4031,12.0,4.571
4032,12.46,4.575
4033,12.91,4.579
4034,13.36,4.579
4035,13.83,4.578
4036,14.28,4.585
4037,14.74,4.587
4038,15.2,4.584
4039,15.67,4.586
4040,16.13,4.582
4041,16.59,4.586
4042,17.05,4.589
4043,17.52,4.593
4044,17.99,4.6
4045,18.45,4.607
4046,18.92,4.608
4047,19.4,4.609
4048,19.88,4.616
4049,20.35,4.61
4050,20.83,4.61
4051,21.31,4.616
4052,21.78,4.627
4053,22.25,4.639
4054,22.73,4.638
4055,23.22,4.641
4056,23.65,4.661
4057,23.98,4.678
4058,24.46,4.679
4059,24.95,4.681
4060,25.43,4.68
4061,25.92,4.684
4062,26.4,4.69
4063,26.9,4.699
4064,27.38,4.707
4065,27.87,4.71
4066,28.35,4.711
4067,28.85,4.715
4068,29.33,4.719
4069,29.82,4.72
4070,30.31,4.72
4071,30.8,4.725
4072,31.28,4.733
4073,31.77,4.744
4074,32.25,4.745
4075,32.74,4.749
4076,33.23,4.748
4077,33.72,4.748
4078,34.21,4.75
4079,34.7,4.752
4080,35.19,4.761
4081,35.68,4.753
4082,36.18,4.762
4083,36.68,4.774
4084,37.17,4.774
4085,37.66,4.778
4086,38.16,4.782
4087,38.66,4.785
4088,39.16,4.784
4089,39.67,4.784
4090,40.12,4.804
4091,40.48,4.821
4092,40.99,4.821
4093,41.49,4.824
4094,42.0,4.822
4095,42.5,4.823
4096,43.01,4.835
4097,43.52,4.826
4098,44.03,4.832
4099,44.55,4.825
4100,45.06,4.824
4101,45.57,4.827
4102,46.08,4.826
4103,46.58,4.838
4104,47.09,4.845
4105,47.6,4.849
4106,48.1,4.851
4107,48.61,4.852
4108,49.12,4.857
4109,49.62,4.861
4110,50.12,4.859
4111,50.65,4.856
4112,51.16,4.86
4113,51.66,4.854
4114,52.17,4.854
4115,52.68,4.853
4116,53.2,4.85
4117,53.72,4.851
4118,54.23,4.852
4119,54.74,4.851
4120,55.26,4.846
4121,55.78,4.847
4122,56.28,4.848
4123,56.79,4.848
4124,57.3,4.848
4125,57.81,4.845
4126,58.32,4.845
4127,58.84,4.845
4128,59.3,4.864
4129,59.64,4.882
4130,60.15,4.921
4131,60.68,4.915
4132,61.19,4.918
4133,61.7,4.909
4134,62.2,4.916
4135,62.73,4.915
4136,63.25,4.915
4137,63.77,4.917
4138,64.28,4.915
4139,64.81,4.909
4140,65.32,4.91
4141,65.84,4.905
4142,66.36,4.911
4143,66.86,4.909
