t,x,y
14,-1.02,4.582
15,-0.67,4.611
16,-0.33,4.651
17,0.03,4.665
18,0.38,4.691
19,0.74,4.725
20,1.09,4.752
21,1.44,4.788
22,1.81,4.803
23,2.18,4.837
24,2.55,4.874
25,2.92,4.895
26,3.28,4.928
27,3.65,4.962
28,4.04,5.002
29,4.42,5.039
30,4.79,5.066
31,5.16,5.099
32,5.53,5.135
33,5.91,5.166
34,6.3,5.195
35,6.67,5.218
36,7.06,5.248
37,7.44,5.28
38,7.83,5.306
39,8.22,5.326
40,8.62,5.36
41,9.01,5.386
42,9.4,5.414
43,9.8,5.447
44,10.21,5.466
45,10.61,5.497
46,11.0,5.521
47,11.4,5.543
48,11.8,5.574
49,12.17,5.578
50,12.61,5.623
51,13.01,5.644
52,13.42,5.673
53,13.83,5.705
54,14.25,5.721
55,14.65,5.751
56,15.07,5.777
57,15.48,5.794
58,15.9,5.823
59,16.33,5.843
60,16.75,5.863
61,17.17,5.889
62,17.6,5.907
63,18.03,5.928
64,18.47,5.941
65,18.9,5.964
66,19.33,5.984
67,19.77,6.001
68,20.2,6.016
69,20.64,6.036
70,21.08,6.049
71,21.51,6.064
72,21.96,6.074
73,22.4,6.093
74,22.84,6.109
75,23.29,6.115
76,23.74,6.137
77,24.18,6.146
78,24.63,6.16
79,25.08,6.173
80,25.54,6.181
81,25.98,6.188
82,26.43,6.202
83,26.88,6.213
84,27.34,6.221
85,27.78,6.224
86,28.24,6.238
87,28.69,6.248
88,29.15,6.252
89,29.6,6.256
90,30.05,6.268
91,30.51,6.283
92,30.96,6.278
93,31.42,6.284
94,31.89,6.288
95,32.36,6.297
96,32.81,6.288
97,33.27,6.289
98,33.74,6.291
99,34.2,6.291
100,34.67,6.29
101,35.14,6.291
102,35.61,6.287
103,36.08,6.284
104,36.55,6.284
105,37.02,6.284
106,37.51,6.285
107,37.99,6.281
108,38.47,6.281
109,38.96,6.28
110,39.44,6.279
111,39.93,6.278
112,40.42,6.28
113,40.91,6.278
114,41.41,6.278
115,41.9,6.281
116,42.4,6.279
117,42.9,6.277
118,43.4,6.278
119,43.9,6.278
120,44.41,6.277
121,44.92,6.275
122,45.41,6.274
123,45.92,6.274
124,46.43,6.277
125,46.94,6.276
126,47.44,6.275
127,47.95,6.273
128,48.45,6.276
129,48.96,6.277
130,49.46,6.276
131,49.97,6.275
132,50.47,6.277
133,50.98,6.277
134,51.49,6.276
135,51.99,6.279
136,52.5,6.278
137,53.01,6.277
138,53.52,6.281
139,54.04,6.279
140,54.55,6.273
141,55.06,6.277
142,55.56,6.285
143,56.07,6.283
144,56.59,6.284
145,57.1,6.279
146,57.62,6.28
147,58.13,6.293
148,58.64,6.298
149,59.16,6.3
150,59.68,6.302
151,60.18,6.302
152,60.72,6.306
153,61.23,6.306
154,61.74,6.303
155,62.27,6.305
156,62.78,6.307
157,63.3,6.304
158,63.83,6.31
159,64.34,6.311
160,64.87,6.304
161,65.4,6.306
162,65.92,6.305
163,66.44,6.304
