t,x,y
4224,-0.97,4.894
4225,-0.46,4.894
4226,0.04,4.894
4227,0.56,4.894
4228,1.06,4.894
4229,1.58,4.899
4230,2.1,4.9
4231,2.63,4.914
4232,3.13,4.925
4233,3.65,4.923
4234,4.18,4.863
4235,4.68,4.869
4236,5.18,4.876
4237,5.74,4.913
4238,6.26,4.915
4239,6.79,4.916
4240,7.32,4.936
4241,7.85,4.948
4242,8.38,4.952
4243,8.91,4.956
4244,9.45,4.969
4245,9.99,4.983
4246,10.54,4.984
4247,11.08,5.001
4248,11.62,5.015
4249,12.16,5.019
4250,12.71,5.035
4251,13.25,5.051
4252,13.79,5.055
4253,14.34,5.066
4254,14.89,5.084
4255,15.44,5.091
4256,16.0,5.111
4257,16.54,5.124
4258,17.1,5.134
4259,17.66,5.152
4260,18.21,5.165
4261,18.78,5.185
4262,19.34,5.198
4263,19.91,5.22
4264,20.48,5.233
4265,21.04,5.259
4266,21.61,5.274
4267,22.19,5.297
4268,22.76,5.31
4269,23.34,5.333
4270,23.92,5.362
4271,24.49,5.384
4272,25.07,5.404
4273,25.65,5.424
4274,26.23,5.451
4275,26.81,5.475
4276,27.39,5.503
4277,27.96,5.523
4278,28.54,5.544
4279,29.12,5.572
4280,29.69,5.595
4281,30.28,5.62
4282,30.85,5.648
4283,31.43,5.671
4284,32.01,5.692
4285,32.59,5.723
4286,33.17,5.752
4287,33.75,5.773
4288,34.34,5.799
4289,34.93,5.831
4290,35.52,5.863
4291,36.11,5.888
4292,36.7,5.915
4293,37.3,5.941
4294,37.89,5.976
4295,38.5,6.004
4296,39.1,6.033
4297,39.71,6.057
4298,40.31,6.082
4299,40.92,6.116
4300,41.53,6.151
4301,42.15,6.183
4302,42.76,6.211
4303,43.39,6.242
4304,44.02,6.268
4305,44.64,6.296
4306,45.25,6.327
4307,45.89,6.348
4308,46.51,6.368
4309,47.13,6.401
4310,47.74,6.436
4311,48.38,6.452
4312,49.01,6.478
4313,49.63,6.511
4314,50.26,6.544
4315,50.88,6.572
4316,51.5,6.605
4317,52.14,6.63
4318,52.76,6.65
4319,53.4,6.673
4320,54.04,6.698
4321,54.67,6.725
4322,55.31,6.749
4323,55.94,6.767
4324,56.58,6.79
4325,57.22,6.818
4326,57.86,6.835
4327,58.49,6.864
4328,59.14,6.882
4329,59.79,6.904
4330,60.44,6.93
4331,61.09,6.955
4332,61.73,6.976
4333,62.39,7.004
4334,63.03,7.016
4335,63.69,7.039
4336,64.34,7.057
4337,64.99,7.077
4338,65.63,7.094
4339,66.29,7.11
4340,66.95,7.137
