t,x,y
4140,0.32,4.224
4141,0.72,4.223
4142,1.12,4.217
4143,1.51,4.213
4144,1.91,4.214
4145,2.3,4.194
4146,2.7,4.195
4147,3.1,4.185
4148,3.5,4.181
4149,3.9,4.181
4150,4.29,4.18
4151,4.69,4.176
4152,5.09,4.159
4153,5.48,4.155
4154,5.88,4.149
4155,6.28,4.147
4156,6.68,4.144
4157,7.08,4.138
4158,7.47,4.133
4159,7.87,4.141
4160,8.27,4.14
4161,8.66,4.134
4162,9.07,4.132
4163,9.46,4.135
4164,9.87,4.138
4165,10.27,4.131
4166,10.68,4.134
4167,11.07,4.133
4168,11.47,4.139
4169,11.87,4.139
4170,12.27,4.14
4171,12.67,4.139
4172,13.06,4.14
4173,13.47,4.142
4174,13.87,4.143
4175,14.28,4.14
4176,14.68,4.138
4177,15.08,4.139
4178,15.49,4.136
4179,15.89,4.136
4180,16.3,4.139
4181,16.7,4.139
4182,17.1,4.14
4183,17.51,4.143
4184,17.93,4.141
4185,18.33,4.14
4186,18.74,4.14
4187,19.15,4.143
4188,19.55,4.142
4189,19.97,4.144
4190,20.38,4.141
4191,20.79,4.141
4192,21.2,4.142
4193,21.61,4.141
4194,22.04,4.141
4195,22.44,4.14
4196,22.85,4.145
4197,23.26,4.146
4198,23.67,4.142
4199,24.08,4.143
4200,24.49,4.143
4201,24.9,4.143
4202,25.31,4.144
4203,25.72,4.144
4204,26.12,4.142
4205,26.53,4.145
4206,26.94,4.144
4207,27.35,4.146
4208,27.76,4.147
4209,28.17,4.144
4210,28.58,4.142
4211,28.91,4.134
4212,29.31,4.138
4213,29.73,4.136
4214,30.14,4.135
4215,30.54,4.138
4216,30.96,4.138
4217,31.36,4.135
4218,31.77,4.138
4219,32.17,4.136
4220,32.58,4.135
4221,32.99,4.134
4222,33.39,4.134
4223,33.81,4.132
4224,34.21,4.132
4225,34.61,4.135
4226,35.02,4.132
4227,35.44,4.13
4228,35.84,4.13
4229,36.24,4.131
4230,36.65,4.127
4231,37.06,4.127
4232,37.48,4.122
4233,37.82,4.129
4234,38.22,4.128
4235,38.63,4.117
4236,39.05,4.124
4237,39.45,4.126
4238,39.85,4.123
4239,40.27,4.112
4240,40.67,4.122
4241,41.07,4.121
4242,41.48,4.124
4243,41.89,4.102
4244,42.3,4.101
4245,42.7,4.099
4246,43.07,4.097
4247,43.38,4.111
4248,43.78,4.11
4249,44.18,4.108
4250,44.58,4.109
4251,44.98,4.107
4252,45.37,4.106
4253,45.77,4.104
4254,46.16,4.109
4255,46.56,4.103
4256,46.95,4.106
4257,47.35,4.105
4258,47.74,4.099
4259,48.12,4.109
4260,48.51,4.109
4261,48.9,4.108
4262,49.3,4.107
4263,49.67,4.113
4264,50.06,4.108
4265,50.45,4.105
4266,50.83,4.111
4267,51.21,4.106
4268,51.6,4.103
4269,51.93,4.099
4270,52.3,4.104
4271,52.68,4.098
4272,53.07,4.094
4273,53.44,4.099
4274,53.83,4.096
4275,54.2,4.098
4276,54.59,4.094
4277,54.96,4.097
4278,55.33,4.101
4279,55.71,4.096
4280,56.08,4.102
4281,56.47,4.094
4282,56.83,4.097
4283,57.2,4.102
4284,57.58,4.091
4285,57.95,4.097
4286,58.31,4.097
4287,58.68,4.096
4288,59.07,4.09
4289,59.43,4.096
4290,59.8,4.098
4291,60.16,4.095
4292,60.54,4.077
4293,60.89,4.127
4294,61.27,4.103
4295,61.65,4.082
4296,62.02,4.087
4297,62.39,4.089
4298,62.75,4.09
4299,63.12,4.09
4300,63.47,4.091
4301,63.83,4.09
4302,64.2,4.09
4303,64.57,4.082
4304,64.94,4.085
4305,65.31,4.083
4306,65.67,4.084
4307,66.03,4.078
4308,66.4,4.066
4309,66.76,4.06
