t,x,y
4248,0.5,4.1
4249,0.84,4.102
4250,1.18,4.109
4251,1.52,4.124
4252,1.86,4.134
4253,2.2,4.137
4254,2.54,4.142
4255,2.88,4.156
4256,3.24,4.171
4257,3.57,4.176
4258,3.92,4.187
4259,4.26,4.2
4260,4.6,4.207
4261,4.95,4.211
4262,5.29,4.219
4263,5.63,4.23
4264,5.98,4.241
4265,6.33,4.253
4266,6.68,4.269
4267,7.03,4.277
4268,7.38,4.281
4269,7.72,4.29
4270,8.07,4.308
4271,8.42,4.315
4272,8.77,4.319
4273,9.12,4.332
4274,9.48,4.349
4275,9.83,4.366
4276,10.18,4.381
4277,10.53,4.386
4278,10.88,4.393
4279,11.23,4.41
4280,11.59,4.42
4281,11.94,4.437
4282,12.29,4.453
4283,12.65,4.459
4284,13.0,4.479
4285,13.35,4.491
4286,13.7,4.506
4287,14.06,4.521
4288,14.42,4.527
4289,14.77,4.538
4290,15.13,4.556
4291,15.49,4.563
4292,15.84,4.568
4293,16.2,4.591
4294,16.55,4.601
4295,16.92,4.618
4296,17.27,4.63
4297,17.63,4.637
4298,18.0,4.659
4299,18.36,4.669
4300,18.72,4.681
4301,19.08,4.698
4302,19.44,4.708
4303,19.81,4.726
4304,20.16,4.739
4305,20.53,4.761
4306,20.89,4.772
4307,21.25,4.779
4308,21.61,4.799
4309,21.97,4.811
4310,22.33,4.831
4311,22.7,4.846
4312,23.06,4.858
4313,23.41,4.88
4314,23.78,4.896
4315,24.14,4.908
4316,24.5,4.919
4317,24.86,4.943
4318,25.22,4.955
4319,25.58,4.971
4320,25.94,4.988
4321,26.3,5.009
4322,26.66,5.024
4323,27.02,5.043
4324,27.38,5.057
4325,27.74,5.072
4326,28.1,5.089
4327,28.46,5.099
4328,28.82,5.119
4329,29.18,5.131
4330,29.54,5.15
4331,29.9,5.166
4332,30.26,5.186
4333,30.62,5.201
4334,30.98,5.208
4335,31.34,5.228
4336,31.71,5.236
4337,32.06,5.255
4338,32.42,5.27
4339,32.79,5.275
4340,33.14,5.297
4341,33.51,5.308
4342,33.87,5.316
4343,34.23,5.336
4344,34.59,5.342
4345,34.96,5.35
4346,35.31,5.367
4347,35.67,5.377
4348,36.04,5.383
4349,36.4,5.403
4350,36.76,5.413
4351,37.12,5.419
4352,37.48,5.432
4353,37.85,5.445
4354,38.21,5.451
4355,38.57,5.46
4356,38.93,5.47
4357,39.3,5.482
4358,39.67,5.486
4359,40.04,5.49
4360,40.41,5.498
4361,40.77,5.507
4362,41.14,5.518
4363,41.51,5.519
4364,41.79,5.526
4365,42.15,5.529
4366,42.53,5.531
4367,42.9,5.533
4368,43.28,5.537
4369,43.65,5.544
4370,44.02,5.557
4371,44.39,5.561
4372,44.78,5.563
4373,45.14,5.564
4374,45.52,5.573
4375,45.86,5.568
4376,46.17,5.574
4377,46.54,5.58
4378,46.91,5.58
4379,47.29,5.579
4380,47.67,5.582
4381,48.04,5.582
4382,48.41,5.579
4383,48.77,5.577
4384,49.15,5.582
4385,49.52,5.578
4386,49.89,5.575
4387,50.26,5.582
4388,50.63,5.575
4389,51.0,5.574
4390,51.37,5.58
4391,51.75,5.572
4392,52.12,5.571
4393,52.49,5.571
4394,52.86,5.57
4395,53.24,5.57
4396,53.61,5.57
4397,53.98,5.57
4398,54.35,5.568
4399,54.72,5.568
4400,55.09,5.564
4401,55.46,5.564
4402,55.84,5.562
4403,56.2,5.563
4404,56.57,5.563
4405,56.95,5.562
4406,57.31,5.58
4407,57.59,5.605
4408,57.95,5.602
4409,58.33,5.595
4410,58.71,5.599
4411,59.07,5.59
4412,59.46,5.594
4413,59.82,5.593
4414,60.21,5.58
4415,60.58,5.572
4416,60.95,5.564
4417,61.32,5.564
4418,61.69,5.561
4419,62.06,5.565
4420,62.45,5.545
4421,62.82,5.531
4422,63.18,5.529
4423,63.56,5.516
4424,63.92,5.517
4425,64.29,5.513
4426,64.66,5.502
4427,65.02,5.488
4428,65.38,5.485
4429,65.75,5.469
4430,66.12,5.462
4431,66.47,5.445
4432,66.84,5.446
