t,x,y
2995,-0.31,4.763
2996,0.06,4.766
2997,0.42,4.77
2998,0.8,4.77
2999,1.17,4.766
3000,1.54,4.792
3001,1.9,4.796
3002,2.28,4.795
3003,2.65,4.804
3004,3.01,4.808
3005,3.38,4.805
3006,3.75,4.822
3007,4.13,4.831
3008,4.5,4.832
3009,4.88,4.838
3010,5.25,4.859
3011,5.62,4.866
3012,5.99,4.865
3013,6.36,4.871
3014,6.73,4.889
3015,7.12,4.901
3016,7.49,4.905
3017,7.88,4.91
3018,8.25,4.919
3019,8.64,4.936
3020,9.01,4.94
3021,9.4,4.944
3022,9.78,4.95
3023,10.16,4.961
3024,10.55,4.974
3025,10.94,4.979
3026,11.33,4.99
3027,11.72,5.001
3028,12.1,5.008
3029,12.5,5.011
3030,12.89,5.02
3031,13.28,5.03
3032,13.66,5.038
3033,14.05,5.044
3034,14.45,5.05
3035,14.84,5.058
3036,15.24,5.071
3037,15.64,5.078
3038,16.04,5.08
3039,16.43,5.08
3040,16.83,5.087
3041,17.23,5.089
3042,17.63,5.091
3043,18.03,5.101
3044,18.45,5.109
3045,18.85,5.111
3046,19.25,5.113
3047,19.66,5.118
3048,20.07,5.117
3049,20.48,5.121
3050,20.89,5.127
3051,21.3,5.131
3052,21.71,5.138
3053,22.13,5.141
3054,22.54,5.145
3055,22.96,5.145
3056,23.36,5.146
3057,23.79,5.149
3058,24.2,5.147
3059,24.62,5.149
3060,25.03,5.147
3061,25.45,5.148
3062,25.85,5.145
3063,26.28,5.145
3064,26.68,5.145
3065,27.1,5.145
3066,27.51,5.144
3067,27.93,5.146
3068,28.34,5.144
3069,28.76,5.144
3070,29.17,5.143
3071,29.59,5.143
3072,30.0,5.14
3073,30.41,5.14
3074,30.83,5.141
3075,31.2,5.149
3076,31.54,5.164
3077,31.94,5.162
3078,32.36,5.162
3079,32.79,5.163
3080,33.2,5.162
3081,33.61,5.163
3082,34.03,5.161
3083,34.45,5.162
3084,34.86,5.161
3085,35.28,5.162
3086,35.69,5.16
3087,36.12,5.161
3088,36.54,5.161
3089,36.95,5.16
3090,37.38,5.16
3091,37.8,5.16
3092,38.22,5.158
3093,38.64,5.159
3094,39.07,5.159
3095,39.5,5.158
3096,39.92,5.157
3097,40.34,5.154
3098,40.77,5.156
3099,41.21,5.155
3100,41.61,5.156
3101,41.95,5.168
3102,42.38,5.168
3103,42.81,5.168
3104,43.24,5.169
3105,43.68,5.166
3106,44.11,5.166
3107,44.54,5.16
3108,44.98,5.164
3109,45.41,5.165
3110,45.84,5.164
3111,46.28,5.164
3112,46.7,5.165
3113,47.14,5.165
3114,47.57,5.166
3115,48.01,5.163
3116,48.44,5.165
3117,48.87,5.166
3118,49.3,5.164
3119,49.72,5.171
3120,50.16,5.166
3121,50.6,5.166
3122,51.04,5.161
3123,51.47,5.16
3124,51.89,5.163
3125,52.33,5.163
3126,52.75,5.163
3127,53.17,5.161
3128,53.61,5.16
3129,54.03,5.16
3130,54.47,5.158
3131,54.9,5.157
3132,55.32,5.158
3133,55.74,5.157
3134,56.17,5.151
3135,56.6,5.161
3136,57.03,5.158
3137,57.46,5.156
3138,57.8,5.16
3139,58.12,5.167
3140,58.55,5.165
3141,58.98,5.166
3142,59.43,5.194
3143,59.86,5.19
3144,60.29,5.195
3145,60.72,5.19
3146,61.14,5.195
3147,61.58,5.182
3148,62.02,5.172
3149,62.45,5.167
3150,62.88,5.16
3151,63.3,5.16
3152,63.74,5.153
3153,64.16,5.139
3154,64.59,5.127
3155,65.02,5.122
3156,65.46,5.101
3157,65.89,5.093
3158,66.31,5.093
3159,66.75,5.089
