t,x,y
3984,-0.54,4.598
3985,-0.03,4.602
3986,0.5,4.603
3987,1.01,4.605
3988,1.53,4.625
3989,2.05,4.626
3990,2.56,4.639
3991,3.08,4.637
3992,3.6,4.639
3993,4.12,4.636
3994,4.64,4.638
3995,5.16,4.64
3996,5.68,4.657
3997,6.2,4.666
3998,6.71,4.671
3999,7.23,4.672
4000,7.75,4.677
4001,8.28,4.691
4002,8.79,4.696
4003,9.31,4.7
4004,9.84,4.701
4005,10.36,4.707
4006,10.88,4.714
4007,11.41,4.721
4008,11.93,4.734
4009,12.45,4.738
4010,12.98,4.74
4011,13.5,4.754
4012,14.03,4.767
4013,14.55,4.768
4014,15.08,4.774
4015,15.59,4.781
4016,16.12,4.794
4017,16.65,4.805
4018,17.18,4.811
4019,17.71,4.82
4020,18.23,4.832
4021,18.76,4.84
4022,19.29,4.848
4023,19.83,4.853
4024,20.36,4.867
4025,20.89,4.876
4026,21.43,4.888
4027,21.97,4.9
4028,22.5,4.909
4029,23.03,4.916
4030,23.56,4.934
4031,24.1,4.945
4032,24.63,4.956
4033,25.17,4.973
4034,25.69,4.983
4035,26.23,4.992
4036,26.76,5.007
4037,27.29,5.019
4038,27.82,5.035
4039,28.36,5.05
4040,28.89,5.058
4041,29.42,5.069
4042,29.95,5.086
4043,30.48,5.093
4044,31.0,5.101
4045,31.53,5.112
4046,32.0,5.142
4047,32.38,5.169
4048,32.92,5.174
4049,33.45,5.185
4050,33.99,5.187
4051,34.52,5.201
4052,35.05,5.206
4053,35.59,5.213
4054,36.13,5.222
4055,36.67,5.235
4056,37.2,5.24
4057,37.75,5.245
4058,38.29,5.249
4059,38.83,5.255
4060,39.38,5.249
4061,39.93,5.25
4062,40.47,5.261
4063,41.01,5.27
4064,41.56,5.272
4065,42.11,5.272
4066,42.66,5.274
4067,43.22,5.276
4068,43.77,5.277
4069,44.33,5.277
4070,44.88,5.276
4071,45.44,5.278
4072,45.99,5.279
4073,46.53,5.287
4074,47.08,5.298
4075,47.57,5.313
4076,47.99,5.34
4077,48.53,5.34
4078,49.09,5.338
4079,49.65,5.339
4080,50.19,5.343
4081,50.74,5.344
4082,51.28,5.358
4083,51.83,5.368
4084,52.37,5.371
4085,52.91,5.367
4086,53.47,5.373
4087,54.02,5.377
4088,54.57,5.377
4089,55.12,5.37
4090,55.67,5.376
4091,56.22,5.373
4092,56.76,5.374
4093,57.31,5.381
4094,57.86,5.376
4095,58.41,5.367
4096,58.96,5.375
4097,59.51,5.373
4098,60.06,5.369
4099,60.62,5.369
4100,61.17,5.368
4101,61.71,5.371
4102,62.25,5.427
4103,62.82,5.412
4104,63.38,5.373
4105,63.94,5.374
4106,64.5,5.368
4107,65.06,5.367
4108,65.62,5.368
4109,66.18,5.367
4110,66.72,5.367
