t,x,y
4098,0.58,3.078
4099,0.98,3.091
4100,1.39,3.113
4101,1.8,3.123
4102,2.21,3.145
4103,2.61,3.151
4104,3.03,3.183
4105,3.44,3.197
4106,3.84,3.217
4107,4.24,3.229
4108,4.65,3.25
4109,5.05,3.262
4110,5.46,3.286
4111,5.88,3.296
4112,6.28,3.32
4113,6.69,3.329
4114,7.11,3.349
4115,7.52,3.364
4116,7.94,3.377
4117,8.35,3.397
4118,8.76,3.414
4119,9.17,3.429
4120,9.58,3.435
4121,9.99,3.445
4122,10.4,3.467
4123,10.82,3.473
4124,11.24,3.495
4125,11.65,3.506
4126,12.06,3.511
4127,12.49,3.536
4128,12.9,3.542
4129,13.32,3.559
4130,13.73,3.573
4131,14.15,3.578
4132,14.57,3.597
4133,14.98,3.612
4134,15.41,3.624
4135,15.83,3.639
4136,16.25,3.647
4137,16.68,3.67
4138,17.1,3.683
4139,17.52,3.69
4140,17.95,3.701
4141,18.37,3.717
4142,18.79,3.724
4143,19.22,3.741
4144,19.65,3.752
4145,20.07,3.755
4146,20.5,3.777
4147,20.93,3.788
4148,21.36,3.8
4149,21.8,3.82
4150,22.23,3.826
4151,22.66,3.846
4152,23.1,3.859
4153,23.53,3.872
4154,23.96,3.889
4155,24.39,3.897
4156,24.82,3.913
4157,25.26,3.93
4158,25.69,3.936
4159,26.12,3.959
4160,26.56,3.97
4161,26.98,3.987
4162,27.42,4.001
4163,27.85,4.017
4164,28.28,4.027
4165,28.71,4.036
4166,29.02,4.069
4167,29.45,4.075
4168,29.88,4.097
4169,30.3,4.107
4170,30.73,4.116
4171,31.16,4.134
4172,31.58,4.143
4173,32.01,4.155
4174,32.45,4.168
4175,32.88,4.174
4176,33.31,4.178
4177,33.74,4.188
4178,34.17,4.201
4179,34.61,4.209
4180,35.04,4.214
4181,35.48,4.219
4182,35.91,4.235
4183,36.34,4.245
4184,36.78,4.248
4185,37.22,4.251
4186,37.65,4.266
4187,38.08,4.277
4188,38.53,4.276
4189,38.97,4.282
4190,39.34,4.29
4191,39.65,4.324
4192,40.09,4.326
4193,40.54,4.326
4194,40.99,4.328
4195,41.44,4.328
4196,41.89,4.334
4197,42.32,4.344
4198,42.77,4.345
4199,43.22,4.358
4200,43.68,4.355
4201,44.13,4.357
4202,44.57,4.358
4203,45.02,4.358
4204,45.47,4.358
4205,45.92,4.358
4206,46.36,4.357
4207,46.81,4.358
4208,47.26,4.357
4209,47.7,4.356
4210,48.15,4.355
4211,48.55,4.352
4212,48.88,4.363
4213,49.33,4.359
4214,49.78,4.36
4215,50.22,4.36
4216,50.67,4.357
4217,51.12,4.351
4218,51.56,4.353
4219,51.99,4.354
4220,52.45,4.355
4221,52.89,4.35
4222,53.32,4.338
4223,53.78,4.337
4224,54.22,4.326
4225,54.66,4.327
4226,55.1,4.322
4227,55.54,4.32
4228,55.98,4.316
4229,56.42,4.312
4230,56.86,4.3
4231,57.32,4.289
4232,57.76,4.282
4233,58.19,4.282
4234,58.62,4.279
4235,59.08,4.27
4236,59.52,4.254
4237,59.98,4.232
4238,60.42,4.2
4239,60.87,4.186
4240,61.31,4.184
4241,61.75,4.14
4242,62.19,4.134
4243,62.64,4.107
4244,63.08,4.103
4245,63.54,4.083
4246,63.98,4.078
4247,64.42,4.067
4248,64.86,4.06
4249,65.32,4.032
4250,65.75,4.026
4251,66.19,4.021
4252,66.65,3.996
