t,x,y
4069,0.5,2.802
4070,0.9,2.805
4071,1.27,2.809
4072,1.66,2.825
4073,2.05,2.841
4074,2.44,2.854
4075,2.84,2.869
4076,3.22,2.876
4077,3.61,2.884
4078,4.0,2.898
4079,4.4,2.908
4080,4.79,2.934
4081,5.17,2.94
4082,5.56,2.945
4083,5.95,2.968
4084,6.34,2.98
4085,6.72,2.983
4086,7.12,3.005
4087,7.5,3.015
4088,7.9,3.026
4089,8.3,3.04
4090,8.68,3.052
4091,9.07,3.056
4092,9.46,3.081
4093,9.85,3.087
4094,10.24,3.101
4095,10.63,3.119
4096,11.02,3.12
4097,11.4,3.13
4098,11.8,3.152
4099,12.19,3.157
4100,12.58,3.172
4101,12.99,3.185
4102,13.38,3.191
4103,13.78,3.197
4104,14.18,3.224
4105,14.57,3.229
4106,14.95,3.232
4107,15.35,3.25
4108,15.74,3.263
4109,16.13,3.285
4110,16.53,3.296
4111,16.92,3.3
4112,17.32,3.326
4113,17.72,3.331
4114,18.11,3.34
4115,18.52,3.355
4116,18.92,3.368
4117,19.32,3.395
4118,19.73,3.406
4119,20.13,3.413
4120,20.53,3.419
4121,20.93,3.435
4122,21.32,3.446
4123,21.73,3.463
4124,22.13,3.476
4125,22.54,3.499
4126,22.94,3.509
4127,23.34,3.521
4128,23.75,3.534
4129,24.15,3.545
4130,24.54,3.555
4131,24.94,3.568
4132,25.33,3.584
4133,25.73,3.59
4134,26.14,3.607
4135,26.53,3.616
4136,26.92,3.621
4137,27.33,3.642
4138,27.71,3.653
4139,28.12,3.658
4140,28.51,3.657
4141,28.91,3.672
4142,29.34,3.707
4143,29.75,3.739
4144,30.15,3.742
4145,30.54,3.745
4146,30.94,3.766
4147,31.34,3.773
4148,31.74,3.776
4149,32.13,3.783
4150,32.53,3.798
4151,32.93,3.807
4152,33.32,3.811
4153,33.72,3.816
4154,34.12,3.82
4155,34.51,3.818
4156,34.91,3.821
4157,35.31,3.83
4158,35.71,3.837
4159,36.1,3.844
4160,36.5,3.848
4161,36.9,3.85
4162,37.31,3.85
4163,37.72,3.867
4164,38.12,3.87
4165,38.52,3.873
4166,38.93,3.876
4167,39.34,3.879
4168,39.74,3.879
4169,40.15,3.881
4170,40.56,3.883
4171,40.97,3.887
4172,41.37,3.888
4173,41.79,3.893
4174,42.2,3.885
4175,42.62,3.88
4176,43.03,3.878
4177,43.45,3.88
4178,43.86,3.879
4179,44.28,3.877
4180,44.69,3.877
4181,45.11,3.875
4182,45.52,3.877
4183,45.94,3.875
4184,46.36,3.874
4185,46.77,3.873
4186,47.18,3.874
4187,47.6,3.873
4188,48.01,3.872
4189,48.41,3.873
4190,48.83,3.868
4191,49.24,3.871
4192,49.66,3.865
4193,50.06,3.868
4194,50.48,3.862
4195,50.89,3.866
4196,51.3,3.867
4197,51.71,3.864
4198,52.12,3.86
4199,52.53,3.868
4200,52.95,3.857
4201,53.35,3.862
4202,53.76,3.853
4203,54.18,3.854
4204,54.6,3.838
4205,55.01,3.833
4206,55.41,3.831
4207,55.82,3.825
4208,56.24,3.827
4209,56.64,3.823
4210,57.06,3.816
4211,57.46,3.816
4212,57.89,3.8
4213,58.3,3.794
4214,58.72,3.787
4215,59.12,3.78
4216,59.54,3.764
4217,59.95,3.755
4218,60.36,3.752
4219,60.78,3.735
4220,61.19,3.722
4221,61.6,3.71
4222,62.01,3.697
4223,62.44,3.683
4224,62.84,3.673
4225,63.24,3.674
4226,63.67,3.653
4227,64.07,3.643
4228,64.49,3.619
4229,64.89,3.609
4230,65.3,3.601
4231,65.73,3.575
4232,66.15,3.563
4233,66.56,3.547
4234,66.91,3.538
